Date,activeaddresses90rsi
2018/01/30,51.904
2018/01/31,51.827
2018/02/01,52.909
2018/02/02,52.713
2018/02/03,50.906
2018/02/04,50.753
2018/02/05,51.493
2018/02/06,51.691
2018/02/07,50.905
2018/02/08,49.551
2018/02/09,50.544
2018/02/10,51.022
2018/02/11,50.201
2018/02/12,50.996
2018/02/13,50.07
2018/02/14,50.234
2018/02/15,50.372
2018/02/16,49.634
2018/02/17,49.73
2018/02/18,49.807
2018/02/19,50.486
2018/02/20,51.089
2018/02/21,50.492
2018/02/22,50.038
2018/02/23,49.628
2018/02/24,48.979
2018/02/25,49.067
2018/02/26,50.024
2018/02/27,49.635
2018/02/28,49.87
2018/03/01,49.506
2018/03/02,49.579
2018/03/03,48.945
2018/03/04,48.597
2018/03/05,49.611
2018/03/06,49.637
2018/03/07,50.726
2018/03/08,49.408
2018/03/09,49.241
2018/03/10,48.844
2018/03/11,48.47
2018/03/12,49.13
2018/03/13,49.216
2018/03/14,49.65
2018/03/15,49.331
2018/03/16,49.028
2018/03/17,48.623
2018/03/18,49.133
2018/03/19,49.59
2018/03/20,49.079
2018/03/21,49.396
2018/03/22,49.061
2018/03/23,49.913
2018/03/24,49.296
2018/03/25,48.27
2018/03/26,49.139
2018/03/27,48.833
2018/03/28,48.59
2018/03/29,48.933
2018/03/30,49.156
2018/03/31,48.593
2018/04/01,48.331
2018/04/02,48.803
2018/04/03,49.204
2018/04/04,48.963
2018/04/05,49.679
2018/04/06,49.328
2018/04/07,48.712
2018/04/08,49.107
2018/04/09,49.402
2018/04/10,48.961
2018/04/11,49.089
2018/04/12,49.733
2018/04/13,49.847
2018/04/14,49.045
2018/04/15,49.175
2018/04/16,49.373
2018/04/17,49.69
2018/04/18,49.484
2018/04/19,49.941
2018/04/20,50.238
2018/04/21,50.34
2018/04/22,50.51
2018/04/23,50.931
2018/04/24,51.006
2018/04/25,50.283
2018/04/26,50.169
2018/04/27,49.849
2018/04/28,49.843
2018/04/29,49.563
2018/04/30,50.187
2018/05/01,49.612
2018/05/02,50.311
2018/05/03,50.858
2018/05/04,53.779
2018/05/05,50.551
2018/05/06,50.226
2018/05/07,50.634
2018/05/08,50.866
2018/05/09,51.052
2018/05/10,51.025
2018/05/11,50.819
