Date,sentinusd14emaUSD
2017/04/07,566261688
2017/04/08,530883369
2017/04/09,499705457
2017/04/10,482837316
2017/04/11,468331347
2017/04/12,452752884
2017/04/13,430439616
2017/04/14,418824028
2017/04/15,385755232
2017/04/16,345970306
2017/04/17,315274923
2017/04/18,329496762
2017/04/19,350698109
2017/04/20,375863731
2017/04/21,376759016
2017/04/22,371796271
2017/04/23,367778751
2017/04/24,376007755
2017/04/25,378412158
2017/04/26,405366669
2017/04/27,468625360
2017/04/28,534599524
2017/04/29,594313310
2017/04/30,670496957
2017/05/01,838070332
2017/05/02,933893047
2017/05/03,1042151792
2017/05/04,1162995849
2017/05/05,1294217130
2017/05/06,1309278795
2017/05/07,1380164569
2017/05/08,1425857335
2017/05/09,1453292256
2017/05/10,1475552143
2017/05/11,1543628460
2017/05/12,1550433197
2017/05/13,1496881716
2017/05/14,1444293270
2017/05/15,1454565933
2017/05/16,1516373249
2017/05/17,1477295204
2017/05/18,1396541240
2017/05/19,1433977265
2017/05/20,1403272439
2017/05/21,1444393171
2017/05/22,1822581291
2017/05/23,1931957318
2017/05/24,2063204566
2017/05/25,2166008394
2017/05/26,2266782705
2017/05/27,2203854805
2017/05/28,2131379382
2017/05/29,2093115376
2017/05/30,2145339554
2017/05/31,2554284690
2017/06/01,2709438358
2017/06/02,2832130701
2017/06/03,2909683245
2017/06/04,2960844631
2017/06/05,3126256992
2017/06/06,3404260387
2017/06/07,3571365730
2017/06/08,3624485713
2017/06/09,3710600601
2017/06/10,3662721440
2017/06/11,3725049617
2017/06/12,4511337950
2017/06/13,5008515540
2017/06/14,5002897959
2017/06/15,5237410946
2017/06/16,5387676448
2017/06/17,5159095800
2017/06/18,4930063862
2017/06/19,4802202183
2017/06/20,4858961287
2017/06/21,4467330197
2017/06/22,4235948856
2017/06/23,4115255741
2017/06/24,4050231677
2017/06/25,3671155731
2017/06/26,3549631410
2017/06/27,3457035103
2017/06/28,3402999910
2017/06/29,3404888657
2017/06/30,3338625218
2017/07/01,3216521589
2017/07/02,3039494012
2017/07/03,3550686996
2017/07/04,3819082699
2017/07/05,3557220052
2017/07/06,3377976749
2017/07/07,3236587915
2017/07/08,3045923383
2017/07/09,2751297407
2017/07/10,2706840342
2017/07/11,2681676768
2017/07/12,2672940649
2017/07/13,2921379017
2017/07/14,3189179309
2017/07/15,3366737574
2017/07/16,3451040535
2017/07/17,3514917065
2017/07/18,3756292738
2017/07/19,3943931566
2017/07/20,4013509195
2017/07/21,4103175732
2017/07/22,3692503255
2017/07/23,3410730647
2017/07/24,3584859353
2017/07/25,3757797122
2017/07/26,3763134075
2017/07/27,3829276405
2017/07/28,3961421480
2017/07/29,3987757607
2017/07/30,3832511067
2017/07/31,3550552425
2017/08/01,3353214874
2017/08/02,3170724971
2017/08/03,2972544841
2017/08/04,2808281475
2017/08/05,2723092348
2017/08/06,2661319193
2017/08/07,2653584550
2017/08/08,2709773356
2017/08/09,2791400873
2017/08/10,3350428643
2017/08/11,4771778751
2017/08/12,5292801469
2017/08/13,5785509849
2017/08/14,5983705350
2017/08/15,5929367918
2017/08/16,5742528298
2017/08/17,5591386711
2017/08/18,5471648394
2017/08/19,5199837502
2017/08/20,4900853775
2017/08/21,4777091706
2017/08/22,4612867473
2017/08/23,4552493118
2017/08/24,4453951894
2017/08/25,4317529872
2017/08/26,3977583758
2017/08/27,4326195260
2017/08/28,5037356170
2017/08/29,5377775744
2017/08/30,6468814657
2017/08/31,6457183652
2017/09/01,6408280129
2017/09/02,6212458610
2017/09/03,5878698197
2017/09/04,5781628107
2017/09/05,5648162058
2017/09/06,5613545027
2017/09/07,5372618044
2017/09/08,5221295158
2017/09/09,5321625513
2017/09/10,5279749279
2017/09/11,5168094879
2017/09/12,5090254321
2017/09/13,4768102318
2017/09/14,4637798393
2017/09/15,4580204843
2017/09/16,4311672270
2017/09/17,4137276957
2017/09/18,4293050164
2017/09/19,4285512615
2017/09/20,4079792178
2017/09/21,3876854687
2017/09/22,3653450649
2017/09/23,3439627811
2017/09/24,3229716245
2017/09/25,3120678939
2017/09/26,3036977983
2017/09/27,2989317056
2017/09/28,2980594818
2017/09/29,2902253802
2017/09/30,2771872107
2017/10/01,2581728070
2017/10/02,2518151630
2017/10/03,3062072244
2017/10/04,3237081585
2017/10/05,3172458917
2017/10/06,3125522485
2017/10/07,3016884928
2017/10/08,2967219880
2017/10/09,2986132689
2017/10/10,3028974774
2017/10/11,3019556322
2017/10/12,3059865062
2017/10/13,3255915193
2017/10/14,3277739681
2017/10/15,3248106828
2017/10/16,3150569430
2017/10/17,3210578033
2017/10/18,3374918405
2017/10/19,3434960744
2017/10/20,3441273899
2017/10/21,3396667043
2017/10/22,3308960106
2017/10/23,3354768901
2017/10/24,3415020561
2017/10/25,3360683889
2017/10/26,3297464936
2017/10/27,2857802944
2017/10/28,2476762552
2017/10/29,2146527545
2017/10/30,1860323872
2017/10/31,1612280689
2017/11/01,1952035531
2017/11/02,2288021617
2017/11/03,2478466123
2017/11/04,2485371420
2017/11/05,2469252636
2017/11/06,2523553365
2017/11/07,2501902110
2017/11/08,2622765338
