Date,transactionvalue90stdUSD
2017/02/12,688.411
2017/02/13,688.237
2017/02/14,689.906
2017/02/15,694.993
2017/02/16,694.394
2017/02/17,693.906
2017/02/18,691.48
2017/02/19,689.004
2017/02/20,689.755
2017/02/21,693.227
2017/02/22,692.317
2017/02/23,691.993
2017/02/24,706.084
2017/02/25,704.912
2017/02/26,709.017
2017/02/27,824.394
2017/02/28,963.968
2017/03/01,1101
2017/03/02,1362
2017/03/03,1646
2017/03/04,1748
2017/03/05,1813
2017/03/06,2042
2017/03/07,2100
2017/03/08,2180
2017/03/09,2275
2017/03/10,2349
2017/03/11,2485
2017/03/12,2889
2017/03/13,3080
2017/03/14,3095
2017/03/15,3112
2017/03/16,3791
2017/03/17,3965
2017/03/18,4370
2017/03/19,4366
2017/03/20,4378
2017/03/21,4499
2017/03/22,4583
2017/03/23,4663
2017/03/24,4857
2017/03/25,4975
2017/03/26,5037
2017/03/27,5089
2017/03/28,5162
2017/03/29,5274
2017/03/30,5479
2017/03/31,5568
2017/04/01,5604
2017/04/02,5734
2017/04/03,5828
2017/04/04,5835
2017/04/05,5885
2017/04/06,5988
2017/04/07,5977
2017/04/08,5967
2017/04/09,5960
2017/04/10,5963
2017/04/11,5966
2017/04/12,5958
2017/04/13,5935
2017/04/14,5912
2017/04/15,5882
2017/04/16,5863
2017/04/17,5843
2017/04/18,5825
2017/04/19,5817
2017/04/20,5828
2017/04/21,5800
2017/04/22,5770
2017/04/23,5735
2017/04/24,5708
2017/04/25,5668
2017/04/26,5660
2017/04/27,5705
2017/04/28,5767
2017/04/29,5901
2017/04/30,6103
2017/05/01,6648
2017/05/02,6913
2017/05/03,7423
2017/05/04,7814
2017/05/05,8374
2017/05/06,8563
2017/05/07,8873
2017/05/08,9023
2017/05/09,9149
2017/05/10,9277
2017/05/11,9496
2017/05/12,9598
2017/05/13,9580
2017/05/14,9543
2017/05/15,9550
2017/05/16,9704
2017/05/17,9628
2017/05/18,9541
2017/05/19,9478
2017/05/20,9395
2017/05/21,9341
2017/05/22,9912
2017/05/23,9908
2017/05/24,9941
2017/05/25,9976
2017/05/26,10052
2017/05/27,9973
2017/05/28,9915
2017/05/29,9874
2017/05/30,9855
2017/05/31,10363
2017/06/01,10541
2017/06/02,10677
2017/06/03,10821
2017/06/04,10953
2017/06/05,11194
2017/06/06,11641
2017/06/07,11873
2017/06/08,12026
2017/06/09,12137
2017/06/10,12179
2017/06/11,12226
2017/06/12,12980
2017/06/13,13436
2017/06/14,13558
2017/06/15,13864
2017/06/16,14175
2017/06/17,14057
2017/06/18,13954
2017/06/19,13916
2017/06/20,13895
2017/06/21,13851
2017/06/22,13838
2017/06/23,13799
2017/06/24,13745
2017/06/25,13759
2017/06/26,13726
2017/06/27,13688
2017/06/28,13677
2017/06/29,13632
2017/06/30,13565
2017/07/01,13548
2017/07/02,13551
2017/07/03,13603
2017/07/04,13614
2017/07/05,13636
2017/07/06,13485
2017/07/07,13400
2017/07/08,13319
2017/07/09,13355
2017/07/10,13288
2017/07/11,13194
2017/07/12,13059
2017/07/13,12950
2017/07/14,12807
2017/07/15,12600
2017/07/16,12344
2017/07/17,12208
2017/07/18,12137
2017/07/19,12067
2017/07/20,11917
2017/07/21,11793
2017/07/22,11772
2017/07/23,11748
2017/07/24,11559
2017/07/25,11477
2017/07/26,11402
2017/07/27,11361
