Date,activeaddresses3var
2017/08/29,642389828
2017/08/30,245948230
2017/08/31,34833337
2017/09/01,41433835
2017/09/02,492423593
2017/09/03,625885796
2017/09/04,1875232671
2017/09/05,2096248553
2017/09/06,57567341
2017/09/07,234130475
2017/09/08,260561211
2017/09/09,230985058
2017/09/10,820595438
2017/09/11,248765395
2017/09/12,838248150
2017/09/13,327163293
2017/09/14,247231282
2017/09/15,711940499
2017/09/16,959149158
2017/09/17,2321592001
2017/09/18,632408243
2017/09/19,620102441
2017/09/20,194647653
2017/09/21,64018773
2017/09/22,309364965
2017/09/23,271658565
2017/09/24,17769030
2017/09/25,147721074
2017/09/26,60656018
2017/09/27,14263823
2017/09/28,82047020
2017/09/29,65617886
2017/09/30,146227864
2017/10/01,293706379
2017/10/02,101024299
2017/10/03,188640654
2017/10/04,47628342
2017/10/05,49291608
2017/10/06,5408296
2017/10/07,33691274
2017/10/08,21332900
2017/10/09,37473601
2017/10/10,328419573
2017/10/11,189309415
2017/10/12,14254042
2017/10/13,231400257
2017/10/14,325822372
2017/10/15,525593380
2017/10/16,15926598
2017/10/17,721653414
2017/10/18,508720814
2017/10/19,217872414
2017/10/20,83956428
2017/10/21,82613175
2017/10/22,42375718
2017/10/23,41793083
2017/10/24,7594143
2017/10/25,107843171
2017/10/26,101918250
2017/10/27,14364774
2017/10/28,12649986495
2017/10/29,12485265547
2017/10/30,0
2017/10/31,16020380667
2017/11/01,16988687634
2017/11/02,449791840
2017/11/03,456749871
2017/11/04,1905656256
2017/11/05,758716373
2017/11/06,314899189
2017/11/07,378023649
2017/11/08,124897548
2017/11/09,151903869
2017/11/10,7002418
2017/11/11,382565046
2017/11/12,343503891
2017/11/13,266355891
2017/11/14,115154054
2017/11/15,829268420
2017/11/16,382229830
2017/11/17,253777489
2017/11/18,283302979
2017/11/19,331245814
2017/11/20,393497592
2017/11/21,392980654
2017/11/22,23294054
2017/11/23,7058161
2017/11/24,23116659
2017/11/25,33269088
2017/11/26,3019428
2017/11/27,1063696322
2017/11/28,1447472221
2017/11/29,618642345
2017/11/30,249344200
2017/12/01,637896663
2017/12/02,251549796
2017/12/03,352450418
2017/12/04,324015752
2017/12/05,18768966
2017/12/06,6268286270
2017/12/07,7250066035
2017/12/08,6092985763
2017/12/09,616402934
2017/12/10,376610607
2017/12/11,1827553211
2017/12/12,4150811533
2017/12/13,1889771325
2017/12/14,1520010568
2017/12/15,671497766
2017/12/16,1112165354
2017/12/17,68661124
2017/12/18,2533529829
2017/12/19,6837129178
2017/12/20,1531121923
2017/12/21,811169846
2017/12/22,1243454994
2017/12/23,6999547148
2017/12/24,17938529333
2017/12/25,4565683659
2017/12/26,822037555
2017/12/27,2669401745
2017/12/28,1783408654
2017/12/29,5888458372
2017/12/30,8413912418
