Date,sentbyaddress3rsi
2017/03/08,35.956
2017/03/09,67.572
2017/03/10,76.507
2017/03/11,52.598
2017/03/12,74.323
2017/03/13,91.477
2017/03/14,56.945
2017/03/15,60.898
2017/03/16,86.56
2017/03/17,81.262
2017/03/18,46.913
2017/03/19,31.71
2017/03/20,33.858
2017/03/21,36.156
2017/03/22,24.913
2017/03/23,25.336
2017/03/24,74.622
2017/03/25,52.911
2017/03/26,31.499
2017/03/27,57.953
2017/03/28,46.214
2017/03/29,49.825
2017/03/30,79.136
2017/03/31,90.198
2017/04/01,36.741
2017/04/02,48.938
2017/04/03,69.169
2017/04/04,41.591
2017/04/05,46.374
2017/04/06,61.081
2017/04/07,32.217
2017/04/08,26.74
2017/04/09,22.528
2017/04/10,48.68
2017/04/11,44.432
2017/04/12,56.856
2017/04/13,68.646
2017/04/14,45.562
2017/04/15,33.149
2017/04/16,17.293
2017/04/17,37.778
2017/04/18,65.851
2017/04/19,68.685
2017/04/20,74.023
2017/04/21,36.607
2017/04/22,28.166
2017/04/23,34.997
2017/04/24,72.819
2017/04/25,59.796
2017/04/26,67.792
2017/04/27,92.96
2017/04/28,64.108
2017/04/29,43.679
2017/04/30,57.068
2017/05/01,71.94
2017/05/02,67.807
2017/05/03,36.003
2017/05/04,70.445
2017/05/05,67.402
2017/05/06,36.603
2017/05/07,58.767
2017/05/08,79.518
2017/05/09,54.762
2017/05/10,41.88
2017/05/11,55.906
2017/05/12,39.994
2017/05/13,24.462
2017/05/14,36.076
2017/05/15,68.877
2017/05/16,67.329
2017/05/17,85.654
2017/05/18,74.946
2017/05/19,90.634
2017/05/20,42.563
2017/05/21,48.231
2017/05/22,69.866
2017/05/23,74.661
2017/05/24,78.724
2017/05/25,73.106
2017/05/26,50.955
2017/05/27,20.808
2017/05/28,17.785
2017/05/29,49.512
2017/05/30,75.914
2017/05/31,90.385
2017/06/01,71.809
2017/06/02,38.682
2017/06/03,38.17
2017/06/04,37.294
2017/06/05,65.593
2017/06/06,62.628
2017/06/07,55.473
2017/06/08,29.135
2017/06/09,71.44
2017/06/10,69.229
2017/06/11,85.167
2017/06/12,95.447
2017/06/13,69.616
2017/06/14,48.519
2017/06/15,53.715
2017/06/16,34.108
2017/06/17,37.997
2017/06/18,47.705
2017/06/19,68.479
2017/06/20,86.301
2017/06/21,76.921
2017/06/22,72.555
2017/06/23,40.436
2017/06/24,27.866
2017/06/25,14.556
2017/06/26,76.621
2017/06/27,46.139
2017/06/28,13.543
2017/06/29,56.686
2017/06/30,55.904
2017/07/01,53.2
2017/07/02,51.175
2017/07/03,67.478
2017/07/04,65.864
2017/07/05,44.87
2017/07/06,39.998
2017/07/07,71.145
2017/07/08,32.704
2017/07/09,30.202
2017/07/10,63.323
2017/07/11,56.938
2017/07/12,51.417
2017/07/13,29.934
2017/07/14,27.555
2017/07/15,28.325
2017/07/16,23.684
2017/07/17,55.54
2017/07/18,72.279
2017/07/19,78.509
2017/07/20,50.103
2017/07/21,25.388
2017/07/22,14.388
2017/07/23,75.766
2017/07/24,46.877
2017/07/25,41.438
2017/07/26,35.266
2017/07/27,45.943
2017/07/28,49.595
2017/07/29,24.377
2017/07/30,26.507
2017/07/31,79.615
2017/08/01,44.531
2017/08/02,52.269
2017/08/03,51.31
2017/08/04,66.856
2017/08/05,71.825
2017/08/06,52.109
2017/08/07,74.069
2017/08/08,85.75
2017/08/09,59.366
2017/08/10,78.269
2017/08/11,78.911
2017/08/12,54.057
2017/08/13,33.748
2017/08/14,77.088
2017/08/15,78.065
2017/08/16,78.302
2017/08/17,80.419
2017/08/18,90.188
2017/08/19,28.495
2017/08/20,20.938
2017/08/21,58.552
2017/08/22,46.318
2017/08/23,57.845
2017/08/24,34.218
2017/08/25,51.193
2017/08/26,24.006
2017/08/27,34.291
2017/08/28,58.819
2017/08/29,74.278
2017/08/30,75.139
2017/08/31,81.923
2017/09/01,59.761
2017/09/02,25.842
2017/09/03,17.808
2017/09/04,74.56
2017/09/05,62.681
2017/09/06,66.949
2017/09/07,48.93
2017/09/08,46.404
2017/09/09,28.041
2017/09/10,14.01
2017/09/11,51.838
2017/09/12,71.121
2017/09/13,49.219
2017/09/14,64.139
2017/09/15,71.568
2017/09/16,29.185
2017/09/17,19.836
2017/09/18,51.884
2017/09/19,50.877
2017/09/20,45.755
2017/09/21,35.423
2017/09/22,21.91
2017/09/23,32.2
2017/09/24,48.392
2017/09/25,65.043
2017/09/26,44.868
2017/09/27,44.562
2017/09/28,73.712
2017/09/29,74.284
2017/09/30,36.387
2017/10/01,19.743
2017/10/02,52.756
2017/10/03,60.585
2017/10/04,41.064
2017/10/05,57.722
2017/10/06,42.61
2017/10/07,36.514
2017/10/08,41.808
2017/10/09,62.439
2017/10/10,88.967
2017/10/11,90.48
2017/10/12,68.309
2017/10/13,86.975
2017/10/14,37.651
2017/10/15,28.678
2017/10/16,31.74
2017/10/17,80.549
2017/10/18,49.161
2017/10/19,39.648
2017/10/20,59.898
2017/10/21,51.472
2017/10/22,76.351
2017/10/23,44.823
2017/10/24,45.522
2017/10/25,32.418
2017/10/26,32.151
2017/10/27,5.226
2017/10/28,5.226
2017/10/29,5.226
2017/10/30,5.226
2017/10/31,5.226
2017/11/01,90.326
2017/11/02,91.61
2017/11/03,64.393
2017/11/04,49.122
2017/11/05,47.834
2017/11/06,61.987
2017/11/07,63.51
2017/11/08,74.039
2017/11/09,76.533
2017/11/10,50.849
2017/11/11,30.72
2017/11/12,61.181
2017/11/13,48.579
2017/11/14,70.465
2017/11/15,82.66
2017/11/16,50.575
2017/11/17,64.653
2017/11/18,35.188
2017/11/19,42.742
2017/11/20,58.178
2017/11/21,72.567
2017/11/22,74.245
2017/11/23,59.897
2017/11/24,48.801
2017/11/25,46.692
2017/11/26,65.02
2017/11/27,92.883
2017/11/28,93.647
2017/11/29,96.448
2017/11/30,55.032
2017/12/01,29.202
2017/12/02,42.647
2017/12/03,69.669
2017/12/04,64.476
2017/12/05,69.503
2017/12/06,90.631
2017/12/07,37.251
2017/12/08,56.899
2017/12/09,57.674
2017/12/10,55.97
2017/12/11,76.612
2017/12/12,88.765
2017/12/13,90.134
2017/12/14,91.793
2017/12/15,58.587
2017/12/16,39.496
2017/12/17,38.943
2017/12/18,68.918
2017/12/19,86.798
2017/12/20,72.956
2017/12/21,81.996
2017/12/22,91.777
2017/12/23,35.421
2017/12/24,20.42
2017/12/25,19.633
2017/12/26,49.161
2017/12/27,57.808
2017/12/28,56.946
2017/12/29,84.925
2017/12/30,88.351
2017/12/31,37.753
2018/01/01,37.967
2018/01/02,74.03
2018/01/03,68.875
2018/01/04,79.921
2018/01/05,59.95
2018/01/06,53.038
2018/01/07,48.255
2018/01/08,48.201
2018/01/09,84.408
2018/01/10,42.553
2018/01/11,54.814
2018/01/12,36.164
2018/01/13,56.063
2018/01/14,40.28
2018/01/15,70.682
2018/01/16,76.11
2018/01/17,66.092
2018/01/18,48.647
2018/01/19,16.662
2018/01/20,10.373
2018/01/21,63.314
2018/01/22,38.178
2018/01/23,34.676
2018/01/24,31.1
2018/01/25,21.72
2018/01/26,54.466
2018/01/27,40.468
2018/01/28,36.445
2018/01/29,55.657
2018/01/30,49.295
2018/01/31,45.483
2018/02/01,74.604
2018/02/02,63.527
2018/02/03,25.619
2018/02/04,43.706
2018/02/05,44.372
2018/02/06,56.93
2018/02/07,33.797
2018/02/08,16.052
2018/02/09,43.021
2018/02/10,54.2
2018/02/11,41.663
2018/02/12,60.136
2018/02/13,31.313
2018/02/14,50.387
2018/02/15,50.19
2018/02/16,22.115
2018/02/17,23.333
2018/02/18,38.707
2018/02/19,64.527
2018/02/20,81.256
2018/02/21,53.772
2018/02/22,35.066
2018/02/23,26.687
2018/02/24,15.338
2018/02/25,27.236
2018/02/26,68.585
2018/02/27,57.289
2018/02/28,66.472
2018/03/01,51.814
2018/03/02,48.631
2018/03/03,18.981
2018/03/04,13.518
2018/03/05,64.075
2018/03/06,72.615
2018/03/07,90.965
2018/03/08,41.232
2018/03/09,37.432
2018/03/10,32.262
2018/03/11,26.557
2018/03/12,37.804
2018/03/13,58.516
2018/03/14,73.651
2018/03/15,47.558
2018/03/16,33.448
2018/03/17,28.634
2018/03/18,46.521
2018/03/19,70.193
2018/03/20,44.906
2018/03/21,63.574
2018/03/22,38.835
2018/03/23,76.29
2018/03/24,51.881
2018/03/25,27.722
2018/03/26,45.823
2018/03/27,42.865
2018/03/28,35.359
2018/03/29,53.871
2018/03/30,61.854
2018/03/31,33.607
2018/04/01,26.099
2018/04/02,48.978
2018/04/03,67.444
2018/04/04,53.029
2018/04/05,75.579
2018/04/06,52.156
2018/04/07,32.594
2018/04/08,50.513
2018/04/09,61.995
2018/04/10,44.58
2018/04/11,59.598
2018/04/12,77.281
2018/04/13,78.53
2018/04/14,34.848
2018/04/15,32.2
2018/04/16,46.171
2018/04/17,52.092
2018/04/18,65.91
2018/04/19,85.412
2018/04/20,88.49
2018/04/21,68.492
2018/04/22,88.053
2018/04/23,90.968
2018/04/24,80.834
2018/04/25,36.649
2018/04/26,35.523
2018/04/27,21.229
2018/04/28,15.167
2018/04/29,12.704
2018/04/30,57.09
2018/05/01,29.564
2018/05/02,67.371
2018/05/03,79.639
2018/05/04,96.523
2018/05/05,44.194
2018/05/06,38.425
2018/05/07,46.638
2018/05/08,49.788
2018/05/09,43.547
2018/05/10,46.191
2018/05/11,43.193
2018/05/12,38.272
2018/05/13,24.722
2018/05/14,53.511
2018/05/15,67.788
2018/05/16,71.692
2018/05/17,80.561
2018/05/18,59.919
2018/05/19,76.24
2018/05/20,38.539
2018/05/21,30.15
2018/05/22,71.07
2018/05/23,51.248
2018/05/24,44.448
2018/05/25,36.157
2018/05/26,32.642
2018/05/27,52.904
2018/05/28,76.121
2018/05/29,65.908
2018/05/30,38.396
2018/05/31,63.689
2018/06/01,23.293
2018/06/02,56.077
2018/06/03,53.053
2018/06/04,38.246
2018/06/05,25.259
2018/06/06,24.786
2018/06/07,58.114
2018/06/08,34.963
2018/06/09,67.938
2018/06/10,71.348
2018/06/11,43.39
2018/06/12,23.383
2018/06/13,22.624
2018/06/14,22.322
2018/06/15,71.73
2018/06/16,26.824
2018/06/17,41.478
2018/06/18,38.957
2018/06/19,70.279
2018/06/20,77.796
2018/06/21,63.804
2018/06/22,72.937
2018/06/23,27.876
2018/06/24,42.607
2018/06/25,83.708
2018/06/26,45.441
2018/06/27,43.13
2018/06/28,39.43
2018/06/29,49.799
2018/06/30,18.162
2018/07/01,13.123
2018/07/02,26.16
2018/07/03,32.72
2018/07/04,29.756
2018/07/05,55.715
2018/07/06,33.151
2018/07/07,38.501
2018/07/08,69.798
2018/07/09,75.77
2018/07/10,79.597
2018/07/11,61.315
2018/07/12,34.004
2018/07/13,23.798
2018/07/14,23.795
2018/07/15,21.38
2018/07/16,86.933
2018/07/17,88.407
2018/07/18,94.797
2018/07/19,60.71
2018/07/20,43.397
2018/07/21,28.633
2018/07/22,57.488
2018/07/23,74.162
2018/07/24,78.348
2018/07/25,72.428
2018/07/26,40.439
2018/07/27,59.965
2018/07/28,31.447
2018/07/29,39.796
2018/07/30,51.396
2018/07/31,43.786
2018/08/01,56.534
2018/08/02,51.705
2018/08/03,73.289
2018/08/04,33.769
2018/08/05,21.705
2018/08/06,45.183
2018/08/07,30.573
2018/08/08,18.135
2018/08/09,12.662
2018/08/10,52.442
2018/08/11,69.785
2018/08/12,70.064
2018/08/13,71.668
2018/08/14,48.705
2018/08/15,40.545
2018/08/16,74.103
2018/08/17,38.295
2018/08/18,31.953
2018/08/19,26.977
2018/08/20,61.291
2018/08/21,27.989
2018/08/22,44.069
2018/08/23,33.945
2018/08/24,61.843
2018/08/25,47.88
2018/08/26,61.065
2018/08/27,73.382
2018/08/28,38.269
2018/08/29,23.716
2018/08/30,31.71
2018/08/31,45.596
2018/09/01,72.967
2018/09/02,76.294
2018/09/03,78.442
2018/09/04,46.882
2018/09/05,50.027
2018/09/06,21.199
2018/09/07,45.1
2018/09/08,34.43
2018/09/09,37.843
2018/09/10,26.384
2018/09/11,9.943
2018/09/12,19.543
2018/09/13,48.502
2018/09/14,26.249
2018/09/15,11.708
2018/09/16,11.151
2018/09/17,64.221
2018/09/18,42.503
2018/09/19,37.258
2018/09/20,53.548
2018/09/21,64.996
2018/09/22,36.896
2018/09/23,40.29
2018/09/24,36.566
2018/09/25,58.389
2018/09/26,31.195
2018/09/27,46.05
2018/09/28,37.406
2018/09/29,18.022
2018/09/30,68.744
2018/10/01,43.253
2018/10/02,38.851
2018/10/03,79.603
2018/10/04,76.395
2018/10/05,86.078
2018/10/06,85.242
2018/10/07,31.453
2018/10/08,46.011
2018/10/09,55.01
2018/10/10,37.357
2018/10/11,57.381
2018/10/12,44.149
2018/10/13,54.84
2018/10/14,29.784
2018/10/15,61.463
2018/10/16,68.698
2018/10/17,78.759
2018/10/18,45.347
2018/10/19,48.788
2018/10/20,33.689
2018/10/21,24.3
2018/10/22,70.27
2018/10/23,53.208
2018/10/24,56.783
2018/10/25,40.694
2018/10/26,53.756
2018/10/27,29.322
2018/10/28,15.383
2018/10/29,70.295
2018/10/30,72.862
2018/10/31,60.804
2018/11/01,36.406
2018/11/02,20.819
2018/11/03,19.115
2018/11/04,36.409
2018/11/05,65.167
2018/11/06,54.908
2018/11/07,30.406
2018/11/08,28.537
2018/11/09,67.196
2018/11/10,43.196
2018/11/11,68.52
2018/11/12,58.272
2018/11/13,41.717
2018/11/14,61.218
2018/11/15,46.138
2018/11/16,32.269
2018/11/17,19.668
2018/11/18,16.156
2018/11/19,82.416
2018/11/20,57.629
2018/11/21,39.372
2018/11/22,38.494
2018/11/23,38.75
2018/11/24,22.592
2018/11/25,48.154
2018/11/26,57.814
2018/11/27,46.712
2018/11/28,57.178
2018/11/29,31.723
2018/11/30,61.004
2018/12/01,31.648
2018/12/02,30.412
2018/12/03,55.556
2018/12/04,43.091
2018/12/05,71.732
2018/12/06,55.857
2018/12/07,75.648
2018/12/08,85.688
2018/12/09,41.399
