Date,activeaddresses3ema
2017/05/10,75326
2017/05/11,77371
2017/05/12,73822
2017/05/13,67913
2017/05/14,67472
2017/05/15,72581
2017/05/16,74940
2017/05/17,73292
2017/05/18,81735
2017/05/19,95398
2017/05/20,87558
2017/05/21,89226
2017/05/22,101122
2017/05/23,111466
2017/05/24,116208
2017/05/25,118420
2017/05/26,115470
2017/05/27,105604
2017/05/28,99434
2017/05/29,99946
2017/05/30,105513
2017/05/31,113893
2017/06/01,126187
2017/06/02,121410
2017/06/03,118772
2017/06/04,118022
2017/06/05,122107
2017/06/06,130072
2017/06/07,131502
2017/06/08,128391
2017/06/09,135887
2017/06/10,142636
2017/06/11,155335
2017/06/12,183519
2017/06/13,192442
2017/06/14,187095
2017/06/15,187961
2017/06/16,177984
2017/06/17,171175
2017/06/18,170738
2017/06/19,181177
2017/06/20,186150
2017/06/21,171675
2017/06/22,189204
2017/06/23,195938
2017/06/24,188260
2017/06/25,172074
2017/06/26,204785
2017/06/27,193643
2017/06/28,191060
2017/06/29,186968
2017/06/30,182291
2017/07/01,176490
2017/07/02,174716
2017/07/03,187987
2017/07/04,190688
2017/07/05,185304
2017/07/06,181059
2017/07/07,192264
2017/07/08,176094
2017/07/09,163221
2017/07/10,181792
2017/07/11,187632
2017/07/12,187289
2017/07/13,175451
2017/07/14,169832
2017/07/15,163211
2017/07/16,162725
2017/07/17,163833
2017/07/18,171009
2017/07/19,175735
2017/07/20,175093
2017/07/21,169746
2017/07/22,155047
2017/07/23,169234
2017/07/24,169064
2017/07/25,165782
2017/07/26,158287
2017/07/27,158137
2017/07/28,161522
2017/07/29,150294
2017/07/30,149094
2017/07/31,167359
2017/08/01,159365
2017/08/02,159816
2017/08/03,158208
2017/08/04,166051
2017/08/05,169821
2017/08/06,170521
2017/08/07,178221
2017/08/08,196644
2017/08/09,194258
2017/08/10,210366
2017/08/11,220278
2017/08/12,217435
2017/08/13,214204
2017/08/14,243496
2017/08/15,255176
2017/08/16,261536
2017/08/17,268586
2017/08/18,278661
2017/08/19,257256
2017/08/20,228826
2017/08/21,240362
2017/08/22,233017
2017/08/23,241187
2017/08/24,233680
2017/08/25,235289
2017/08/26,212858
2017/08/27,205774
2017/08/28,218529
2017/08/29,239638
2017/08/30,253501
2017/08/31,264344
2017/09/01,261882
2017/09/02,242068
2017/09/03,220354
2017/09/04,260179
2017/09/05,275531
2017/09/06,292499
2017/09/07,282243
2017/09/08,281032
2017/09/09,262708
2017/09/10,236181
2017/09/11,238926
2017/09/12,259695
2017/09/13,251113
2017/09/14,259193
2017/09/15,283242
2017/09/16,257356
2017/09/17,224203
2017/09/18,237860
2017/09/19,233049
2017/09/20,225630
2017/09/21,217135
2017/09/22,197091
2017/09/23,184084
2017/09/24,182721
2017/09/25,191567
2017/09/26,191615
2017/09/27,195126
2017/09/28,204259
2017/09/29,210881
2017/09/30,200463
2017/10/01,188369
2017/10/02,194603
2017/10/03,201535
2017/10/04,196562
2017/10/05,196869
2017/10/06,196107
2017/10/07,190079
2017/10/08,189607
2017/10/09,194208
2017/10/10,212850
2017/10/11,217563
2017/10/12,221896
2017/10/13,239117
2017/10/14,226181
2017/10/15,214895
2017/10/16,210944
2017/10/17,236578
2017/10/18,236349
2017/10/19,231920
2017/10/20,240834
2017/10/21,239947
2017/10/22,247300
2017/10/23,248276
2017/10/24,251868
2017/10/25,241430
2017/10/26,240774
2017/10/27,238902
2017/10/28,119451
