Date,mining_profitability14roc
2018/03/08,-18.199
2018/03/09,-23.781
2018/03/10,-20.035
2018/03/11,-18.45
2018/03/12,-20.951
2018/03/13,-26.521
2018/03/14,-27.106
2018/03/15,-32.434
2018/03/16,-34.455
2018/03/17,-34.367
2018/03/18,-43.231
2018/03/19,-40.865
2018/03/20,-38.132
2018/03/21,-28.933
2018/03/22,-25.683
2018/03/23,-26.624
2018/03/24,-26.601
2018/03/25,-28.016
2018/03/26,-32.999
2018/03/27,-35.157
2018/03/28,-34.046
2018/03/29,-31.508
2018/03/30,-35.745
2018/03/31,-29.331
2018/04/01,-24.189
2018/04/02,-26.524
2018/04/03,-22.612
2018/04/04,-29.795
2018/04/05,-28.952
2018/04/06,-28.482
2018/04/07,-29.084
2018/04/08,-22.665
2018/04/09,-13.301
2018/04/10,-9.2
2018/04/11,-3.741
2018/04/12,10.806
2018/04/13,36.707
2018/04/14,26.695
2018/04/15,39.994
2018/04/16,35.642
2018/04/17,26.678
2018/04/18,35.766
2018/04/19,44.392
2018/04/20,65.78
2018/04/21,60.161
2018/04/22,59.469
2018/04/23,53.273
2018/04/24,71.453
2018/04/25,54.261
2018/04/26,36.502
2018/04/27,28.912
2018/04/28,35.795
2018/04/29,29.921
2018/04/30,30.427
2018/05/01,29.071
2018/05/02,29.537
2018/05/03,32.178
2018/05/04,28.096
2018/05/05,30.259
2018/05/06,21.825
2018/05/07,11.212
2018/05/08,1.587
2018/05/09,9.703
2018/05/10,17.949
2018/05/11,1.732
2018/05/12,-8.135
2018/05/13,-3.297
2018/05/14,1.59
2018/05/15,6.4
2018/05/16,-1.485
2018/05/17,-6.903
2018/05/18,-13.563
2018/05/19,-13.467
2018/05/20,-10.833
2018/05/21,-4.446
2018/05/22,-7.642
2018/05/23,-15.74
2018/05/24,-20.964
2018/05/25,-13.017
2018/05/26,-7.661
2018/05/27,-13.86
2018/05/28,-22.257
2018/05/29,-23.755
2018/05/30,-16.381
2018/05/31,-16.646
2018/06/01,-12.03
2018/06/02,-14.569
2018/06/03,-11.737
2018/06/04,-10.769
2018/06/05,-11.248
2018/06/06,0.717
2018/06/07,4.165
2018/06/08,-0.152
2018/06/09,-2.345
2018/06/10,-5.13
2018/06/11,-5.282
2018/06/12,-9.191
2018/06/13,-17.913
2018/06/14,-16.384
2018/06/15,-16.716
2018/06/16,-17.441
2018/06/17,-20.303
2018/06/18,-22.475
2018/06/19,-16.438
2018/06/20,-18.491
2018/06/21,-19.197
2018/06/22,-22.006
2018/06/23,-23.023
2018/06/24,-22.793
2018/06/25,-16.464
2018/06/26,-14.3
2018/06/27,-15.396
2018/06/28,-15.581
2018/06/29,-20.712
2018/06/30,-8.381
2018/07/01,0.622
2018/07/02,15.84
2018/07/03,3.784
2018/07/04,-2.994
2018/07/05,-6.114
2018/07/06,4.155
2018/07/07,7.722
2018/07/08,11.438
2018/07/09,4.948
2018/07/10,-1.819
2018/07/11,7.639
2018/07/12,4.408
2018/07/13,9.557
2018/07/14,2.954
2018/07/15,-1.41
2018/07/16,-20.304
2018/07/17,-12.169
2018/07/18,-6.335
2018/07/19,-4.818
2018/07/20,-10.849
2018/07/21,-3.516
2018/07/22,-5.446
2018/07/23,-6.122
2018/07/24,4.789
2018/07/25,1.986
2018/07/26,1.914
2018/07/27,-1.199
2018/07/28,-6.78
2018/07/29,-12.548
2018/07/30,-4.945
2018/07/31,-10.781
2018/08/01,-14.355
2018/08/02,-15.707
2018/08/03,-13.06
2018/08/04,-19.39
2018/08/05,-18.082
2018/08/06,-13.795
2018/08/07,-13.779
2018/08/08,-16.204
2018/08/09,-18.469
2018/08/10,-20.795
2018/08/11,-32.418
2018/08/12,-30.261
2018/08/13,-31.434
2018/08/14,-39.475
2018/08/15,-31.648
2018/08/16,-27.107
2018/08/17,-21.105
2018/08/18,-23.57
2018/08/19,-23.93
2018/08/20,-26.106
2018/08/21,-32.465
2018/08/22,-29.325
2018/08/23,-26.959
2018/08/24,-20.568
2018/08/25,-10.855
2018/08/26,-13.2
2018/08/27,-10.279
2018/08/28,9.841
2018/08/29,3.058
2018/08/30,-2.373
2018/08/31,-11.431
2018/09/01,-3.873
2018/09/02,1.663
2018/09/03,2.004
2018/09/04,7.625
2018/09/05,-3.823
2018/09/06,-16.122
2018/09/07,-20.287
2018/09/08,-20.984
2018/09/09,-21.778
2018/09/10,-22.579
2018/09/11,-27.077
2018/09/12,-33.298
2018/09/13,-20.512
2018/09/14,-16.368
2018/09/15,-17.609
2018/09/16,-19.493
2018/09/17,-19.79
2018/09/18,-23.887
2018/09/19,-12.735
2018/09/20,-0.287
2018/09/21,13.589
2018/09/22,17.401
2018/09/23,21.556
2018/09/24,20.766
2018/09/25,12.11
2018/09/26,16.863
2018/09/27,3.543
2018/09/28,2.717
2018/09/29,1.878
2018/09/30,3.325
2018/10/01,6.338
2018/10/02,12.221
2018/10/03,2.363
2018/10/04,3.821
2018/10/05,-8.25
2018/10/06,-5.616
2018/10/07,-8.084
2018/10/08,-6.082
2018/10/09,3.957
2018/10/10,4.424
2018/10/11,-6.225
2018/10/12,-11.511
2018/10/13,-11.431
2018/10/14,-13.447
2018/10/15,-9.27
2018/10/16,-8.826
2018/10/17,-3.389
2018/10/18,-7.003
2018/10/19,-7.014
2018/10/20,-5.777
2018/10/21,-3.187
2018/10/22,-4.096
2018/10/23,-5.387
2018/10/24,-5.051
2018/10/25,4.097
2018/10/26,8.354
2018/10/27,4.336
2018/10/28,5.977
2018/10/29,0.943
2018/10/30,-3.257
2018/10/31,-3.825
2018/11/01,1.218
2018/11/02,5.489
2018/11/03,2.489
2018/11/04,1.475
2018/11/05,6.395
2018/11/06,8.21
2018/11/07,12.373
2018/11/08,7.864
2018/11/09,5.922
2018/11/10,8.234
2018/11/11,3.778
2018/11/12,7.433
2018/11/13,9.371
2018/11/14,2.767
2018/11/15,-8.854
2018/11/16,-12.82
2018/11/17,-12.781
2018/11/18,-11.276
2018/11/19,-22.974
2018/11/20,-31.874
2018/11/21,-33.698
2018/11/22,-30.702
2018/11/23,-36.097
2018/11/24,-36.127
2018/11/25,-39.422
2018/11/26,-40.149
2018/11/27,-38.169
2018/11/28,-23.686
2018/11/29,-14.65
2018/11/30,-16.024
2018/12/01,-19.152
2018/12/02,-17.426
2018/12/03,-13.014
2018/12/04,-5.563
2018/12/05,-6.124
2018/12/06,-15.295
2018/12/07,-16.411
2018/12/08,-11.342
2018/12/09,0.278
2018/12/10,-6.308
2018/12/11,-10.064
2018/12/12,-18.591
2018/12/13,-18.83
2018/12/14,-19.284
2018/12/15,-18.777
2018/12/16,-19.846
2018/12/17,-13.469
2018/12/18,-3.537
2018/12/19,2.979
2018/12/20,19.097
2018/12/21,35.781
2018/12/22,24.939
2018/12/23,37.671
2018/12/24,57.811
2018/12/25,39.098
2018/12/26,30.95
2018/12/27,23.295
2018/12/28,29.308
2018/12/29,50.07
2018/12/30,43.683
2018/12/31,35.387
2019/01/01,29.794
2019/01/02,32.199
2019/01/03,19.907
2019/01/04,16.48
2019/01/05,23.181
2019/01/06,1.957
2019/01/07,-7.812
2019/01/08,6.248
2019/01/09,6.779
2019/01/10,2.426
2019/01/11,-6.698
2019/01/12,-15.661
2019/01/13,-16.883
2019/01/14,-14.458
2019/01/15,-16.546
2019/01/16,-23.402
2019/01/17,-19.334
2019/01/18,-19.383
2019/01/19,-22.687
2019/01/20,-21.156
2019/01/21,-27.325
2019/01/22,-26.613
2019/01/23,-22.761
2019/01/24,-18.143
2019/01/25,-11.999
2019/01/26,-11.414
2019/01/27,-9.918
