Date,sentbyaddress7wma
2017/08/24,98710
2017/08/25,98407
2017/08/26,92677
2017/08/27,88893
2017/08/28,88907
2017/08/29,93241
2017/08/30,97446
2017/08/31,103271
2017/09/01,106553
2017/09/02,104240
2017/09/03,98623
2017/09/04,106174
2017/09/05,109964
2017/09/06,114597
2017/09/07,115827
2017/09/08,116721
2017/09/09,114298
2017/09/10,106084
2017/09/11,103443
2017/09/12,107519
2017/09/13,107255
2017/09/14,111447
2017/09/15,117610
2017/09/16,112601
2017/09/17,102405
2017/09/18,100366
2017/09/19,98192
2017/09/20,96006
2017/09/21,92431
2017/09/22,86725
2017/09/23,84069
2017/09/24,83370
2017/09/25,84100
2017/09/26,83361
2017/09/27,83141
2017/09/28,86205
2017/09/29,89077
2017/09/30,88588
2017/10/01,84976
2017/10/02,84602
2017/10/03,85362
2017/10/04,84146
2017/10/05,84448
2017/10/06,83796
2017/10/07,83076
2017/10/08,82730
2017/10/09,83063
2017/10/10,87746
2017/10/11,92587
2017/10/12,95551
2017/10/13,102048
2017/10/14,101343
2017/10/15,97984
2017/10/16,94785
2017/10/17,102294
2017/10/18,102492
2017/10/19,100148
2017/10/20,102668
2017/10/21,103935
2017/10/22,112184
2017/10/23,111889
2017/10/24,110960
2017/10/25,107787
2017/10/26,104808
2017/10/27,77810
2017/10/28,54762
2017/10/29,35453
2017/10/30,20938
2017/10/31,10252
2017/11/01,36477
2017/11/02,65160
2017/11/03,84021
2017/11/04,93197
2017/11/05,98627
2017/11/06,104778
2017/11/07,107502
2017/11/08,109093
2017/11/09,111796
2017/11/10,113000
2017/11/11,111188
2017/11/12,113183
2017/11/13,112650
2017/11/14,115848
2017/11/15,122677
2017/11/16,124331
2017/11/17,128850
2017/11/18,126665
2017/11/19,125124
2017/11/20,125899
2017/11/21,129127
2017/11/22,132227
2017/11/23,134344
2017/11/24,135222
2017/11/25,136067
2017/11/26,137239
2017/11/27,145649
2017/11/28,153356
2017/11/29,163802
2017/11/30,168111
2017/12/01,165111
2017/12/02,163720
2017/12/03,167964
2017/12/04,169982
2017/12/05,172810
2017/12/06,186716
2017/12/07,183569
2017/12/08,188755
2017/12/09,192466
2017/12/10,194276
2017/12/11,202595
2017/12/12,220125
2017/12/13,236491
2017/12/14,253245
2017/12/15,260865
2017/12/16,261724
2017/12/17,260656
2017/12/18,263490
2017/12/19,275233
2017/12/20,283067
2017/12/21,294790
2017/12/22,316694
2017/12/23,312337
2017/12/24,288892
2017/12/25,265763
2017/12/26,256469
2017/12/27,253725
2017/12/28,252103
2017/12/29,273461
2017/12/30,301891
2017/12/31,302208
2018/01/01,300242
2018/01/02,322500
2018/01/03,337704
2018/01/04,361195
2018/01/05,371524
2018/01/06,377698
2018/01/07,382118
2018/01/08,382959
2018/01/09,397545
2018/01/10,393709
2018/01/11,395586
2018/01/12,388605
2018/01/13,391044
2018/01/14,385763
2018/01/15,398066
2018/01/16,413230
2018/01/17,424976
2018/01/18,429084
2018/01/19,407364
2018/01/20,371605
2018/01/21,379537
2018/01/22,356552
2018/01/23,333359
2018/01/24,312210
2018/01/25,285923
2018/01/26,285116
2018/01/27,275333
2018/01/28,262998
2018/01/29,265342
2018/01/30,266280
2018/01/31,266668
2018/02/01,278753
2018/02/02,285245
2018/02/03,274977
2018/02/04,271492
2018/02/05,267752
2018/02/06,267947
2018/02/07,261550
2018/02/08,244029
2018/02/09,237610
2018/02/10,237422
2018/02/11,233309
2018/02/12,235228
2018/02/13,228092
2018/02/14,228312
2018/02/15,229099
2018/02/16,218450
2018/02/17,209429
2018/02/18,204424
2018/02/19,205593
2018/02/20,215006
2018/02/21,217916
2018/02/22,215522
2018/02/23,210771
2018/02/24,199154
2018/02/25,190179
2018/02/26,193002
2018/02/27,193451
2018/02/28,198198
2018/03/01,200886
2018/03/02,203041
2018/03/03,196564
2018/03/04,186223
2018/03/05,188180
2018/03/06,194709
2018/03/07,224531
2018/03/08,222118
2018/03/09,216313
2018/03/10,206988
2018/03/11,193412
2018/03/12,182844
2018/03/13,179963
2018/03/14,185412
2018/03/15,187019
2018/03/16,183236
2018/03/17,177976
2018/03/18,176530
2018/03/19,181570
2018/03/20,179283
2018/03/21,183246
2018/03/22,180724
2018/03/23,198404
2018/03/24,203195
2018/03/25,188065
2018/03/26,182892
2018/03/27,177193
2018/03/28,168430
2018/03/29,166752
2018/03/30,167631
2018/03/31,162462
2018/04/01,155905
2018/04/02,154140
2018/04/03,158777
2018/04/04,160093
2018/04/05,169227
2018/04/06,172223
2018/04/07,168681
2018/04/08,169385
2018/04/09,172166
2018/04/10,170289
2018/04/11,172016
2018/04/12,179434
2018/04/13,187194
2018/04/14,185569
2018/04/15,182328
2018/04/16,180903
2018/04/17,180368
2018/04/18,181184
2018/04/19,187400
2018/04/20,195172
2018/04/21,200914
2018/04/22,213206
2018/04/23,225638
2018/04/24,234408
2018/04/25,233925
2018/04/26,231929
2018/04/27,225708
2018/04/28,217352
2018/04/29,208377
2018/04/30,206087
2018/05/01,199372
2018/05/02,204404
2018/05/03,216463
2018/05/04,288702
2018/05/05,292095
2018/05/06,282228
2018/05/07,279728
2018/05/08,278265
2018/05/09,269654
2018/05/10,261292
2018/05/11,251802
2018/05/12,249749
2018/05/13,243766
2018/05/14,243169
2018/05/15,247140
2018/05/16,252485
2018/05/17,260322
2018/05/18,264841
2018/05/19,272721
2018/05/20,272306
2018/05/21,268052
2018/05/22,274461
2018/05/23,274956
2018/05/24,273431
2018/05/25,270324
2018/05/26,266828
2018/05/27,266709
2018/05/28,271326
2018/05/29,273661
2018/05/30,272769
2018/05/31,276254
2018/06/01,267686
2018/06/02,268961
2018/06/03,268847
2018/06/04,264743
2018/06/05,257026
2018/06/06,250766
2018/06/07,250648
2018/06/08,246542
2018/06/09,251094
2018/06/10,257124
2018/06/11,257553
2018/06/12,250134
2018/06/13,242839
2018/06/14,235975
2018/06/15,239675
2018/06/16,226292
2018/06/17,220043
2018/06/18,215212
2018/06/19,222924
2018/06/20,234438
2018/06/21,241500
2018/06/22,250687
2018/06/23,244678
2018/06/24,242032
2018/06/25,272266
2018/06/26,270595
2018/06/27,266574
2018/06/28,260704
2018/06/29,259538
2018/06/30,231402
2018/07/01,194564
2018/07/02,166989
2018/07/03,150131
2018/07/04,136377
2018/07/05,133749
2018/07/06,126304
2018/07/07,125000
2018/07/08,134560
2018/07/09,145219
2018/07/10,156005
2018/07/11,162318
2018/07/12,160892
2018/07/13,155662
2018/07/14,149857
2018/07/15,143003
2018/07/16,158405
2018/07/17,174505
2018/07/18,204738
2018/07/19,220313
2018/07/20,224646
2018/07/21,216700
2018/07/22,219836
2018/07/23,232974
2018/07/24,248247
2018/07/25,259463
2018/07/26,260227
2018/07/27,268405
2018/07/28,260198
2018/07/29,252980
2018/07/30,248991
