Date,hashrate7mom
2018/10/29,-3419840941901
2018/10/30,-5114110984209
2018/10/31,-1714431205991
2018/11/01,-4535730905598
2018/11/02,-9163337601361
2018/11/03,-11028594743012
2018/11/04,-5075660178127
2018/11/05,-4580141868485
2018/11/06,-5581797005223
2018/11/07,-8591141008230
2018/11/08,331841383281
2018/11/09,1041484281526
2018/11/10,3442407186688
2018/11/11,4299639535517
2018/11/12,-248757008382
2018/11/13,1446631973480
2018/11/14,366815869483
2018/11/15,-2844956167870
2018/11/16,6513840971514
2018/11/17,-4784847829577
2018/11/18,-9106139779807
2018/11/19,-5513376370762
2018/11/20,-11751204625881
2018/11/21,-21121813811545
2018/11/22,-25795149985346
2018/11/23,-27394451176140
2018/11/24,-20714147222333
2018/11/25,-25120078551810
2018/11/26,-22533077758079
2018/11/27,-35202632555161
2018/11/28,-34002792417893
2018/11/29,-25050784975582
2018/11/30,-28758481024771
2018/12/01,-21584474028987
2018/12/02,-26098254762095
2018/12/03,-26404428862593
2018/12/04,-5325145160891
2018/12/05,-2397251709898
2018/12/06,-2173993503525
2018/12/07,-9635224021936
2018/12/08,-18119488936001
2018/12/09,-11368485140753
2018/12/10,-1126290156783
2018/12/11,-12055725858982
2018/12/12,-12403827760138
2018/12/13,-17288684436313
2018/12/14,-12086810209009
2018/12/15,-4356880613035
2018/12/16,-5350508065334
2018/12/17,-17755843428994
2018/12/18,-14381292565506
2018/12/19,-7552377520959
2018/12/20,-6945193013891
2018/12/21,-1814555490872
2018/12/22,-3647645793599
2018/12/23,-114077258682
2018/12/24,10306260945351
2018/12/25,19226324996573
2018/12/26,24439568106378
2018/12/27,20262935736415
2018/12/28,15304167867167
2018/12/29,13771893813785
2018/12/30,13766156565767
2018/12/31,8429693158535
2019/01/01,-7724525107351
2019/01/02,-8789424869690
2019/01/03,-3258049877124
2019/01/04,-1016720262432
2019/01/05,3395973762365
2019/01/06,4066900257586
2019/01/07,4749138212906
2019/01/08,10142806888424
2019/01/09,9344121732845
2019/01/10,5013423519905
2019/01/11,6377565881040
2019/01/12,-4360030323121
2019/01/13,-4634093013423
2019/01/14,-5354907173785
2019/01/15,3730645066753
2019/01/16,-10685444686987
2019/01/17,-8523008118629
2019/01/18,-9065553743141
2019/01/19,3369218229318
2019/01/20,2010470535879
2019/01/21,-6799540860426
2019/01/22,-8692706887903
2019/01/23,-11033980181799
2019/01/24,-2475182543318
2019/01/25,-2101241564509
2019/01/26,-13510751648019
2019/01/27,-15868043798911
2019/01/28,-22194778376038
2019/01/29,-33142073340378
2019/01/30,-23195011502679
2019/01/31,-25235549914627
2019/02/01,-32524071168491
2019/02/02,-27962004885866
2019/02/03,-29507224394548
2019/02/04,-14893724396308
2019/02/05,-5281804924597
2019/02/06,-5856456495895
2019/02/07,-10570162250689
2019/02/08,-652984777611
2019/02/09,-1848033637233
2019/02/10,5968347813492
2019/02/11,1178873275760
2019/02/12,5955876333208
2019/02/13,3126887788668
2019/02/14,876458012899
2019/02/15,-2507514882062
2019/02/16,2822154680660
2019/02/17,-4602938487068
2019/02/18,2544109269772
2019/02/19,6539805328662
2019/02/20,10353516929899
2019/02/21,11707962063959
2019/02/22,10136939826396
2019/02/23,15996796339103
2019/02/24,15652061642199
2019/02/25,9319061840632
2019/02/26,2363265450556
2019/02/27,3185911098636
2019/02/28,5648538831140
2019/03/01,2913342999239
2019/03/02,-6912240724345
2019/03/03,-4642814205804
2019/03/04,-3660913397851
2019/03/05,-3662236354557
2019/03/06,-4772592842308
2019/03/07,-5805372134103
2019/03/08,460379310719
2019/03/09,-4451991457517
2019/03/10,759172628192
2019/03/11,-1733092531264
2019/03/12,-4843043631113
2019/03/13,-4884793531281
2019/03/14,-4289537048851
2019/03/15,-6085529342924
2019/03/16,4467101790582
2019/03/17,-1424426632721
2019/03/18,-79504110984
2019/03/19,-3714316681134
2019/03/20,3765073540129
2019/03/21,470697150723
2019/03/22,-582332172245
2019/03/23,-5666211085812
2019/03/24,-3609119315209
2019/03/25,-1619204222488
2019/03/26,-1747668211101
2019/03/27,-8616317764978
2019/03/28,-6631101928415
2019/03/29,-4820266644081
2019/03/30,-10660201274131
