Date,sentbyaddress3ema
2018/05/14,241205
2018/05/15,252258
2018/05/16,260321
2018/05/17,270720
2018/05/18,271252
2018/05/19,279859
2018/05/20,270803
2018/05/21,261265
2018/05/22,278203
2018/05/23,277117
2018/05/24,273081
2018/05/25,267037
2018/05/26,262465
2018/05/27,264751
2018/05/28,275742
2018/05/29,279174
2018/05/30,273542
2018/05/31,278900
2018/06/01,258559
2018/06/02,266448
2018/06/03,268787
2018/06/04,262271
2018/06/05,249575
2018/06/06,242872
2018/06/07,249539
2018/06/08,242892
2018/06/09,256745
2018/06/10,266360
2018/06/11,260311
2018/06/12,241483
2018/06/13,231303
2018/06/14,226000
2018/06/15,241940
2018/06/16,217289
2018/06/17,213662
2018/06/18,209975
2018/06/19,229792
2018/06/20,249229
2018/06/21,253439
2018/06/22,262434
2018/06/23,237508
2018/06/24,233194
2018/06/25,298143
2018/06/26,278010
2018/06/27,263832
2018/06/28,251687
2018/06/29,253731
2018/06/30,199694
2018/07/01,150491
2018/07/02,135301
2018/07/03,131783
2018/07/04,126977
2018/07/05,137720
2018/07/06,126949
2018/07/07,123876
2018/07/08,142292
2018/07/09,157943
2018/07/10,169843
2018/07/11,170665
2018/07/12,159123
2018/07/13,145679
2018/07/14,138955
2018/07/15,134310
2018/07/16,174283
2018/07/17,198569
2018/07/18,241917
2018/07/19,242399
2018/07/20,226965
2018/07/21,200354
2018/07/22,212179
2018/07/23,244831
2018/07/24,269944
2018/07/25,279545
2018/07/26,263719
2018/07/27,270991
2018/07/28,246622
2018/07/29,239882
2018/07/30,243624
2018/07/31,241219
2018/08/01,245663
2018/08/02,246335
2018/08/03,256451
2018/08/04,244436
2018/08/05,226698
2018/08/06,227205
2018/08/07,217497
2018/08/08,198555
2018/08/09,179107
2018/08/10,187820
2018/08/11,207665
2018/08/12,217851
2018/08/13,224022
2018/08/14,220781
2018/08/15,216510
2018/08/16,228037
2018/08/17,218712
2018/08/18,209917
2018/08/19,202451
2018/08/20,210362
2018/08/21,194663
2018/08/22,193747
2018/08/23,187116
2018/08/24,196898
2018/08/25,195759
2018/08/26,201219
2018/08/27,211300
2018/08/28,202126
2018/08/29,185386
2018/08/30,179510
2018/08/31,180622
2018/09/01,194620
2018/09/02,204120
2018/09/03,210220
2018/09/04,206586
2018/09/05,205466
2018/09/06,194234
2018/09/07,193994
2018/09/08,190212
2018/09/09,188887
2018/09/10,185074
2018/09/11,171695
2018/09/12,166469
2018/09/13,169007
2018/09/14,162189
2018/09/15,144184
2018/09/16,134305
2018/09/17,147601
2018/09/18,143849
2018/09/19,139087
2018/09/20,142174
2018/09/21,148309
2018/09/22,141917
2018/09/23,139550
2018/09/24,137320
2018/09/25,140164
2018/09/26,134898
2018/09/27,134901
2018/09/28,133022
2018/09/29,124896
2018/09/30,135835
2018/10/01,131779
2018/10/02,127810
2018/10/03,151222
2018/10/04,161861
2018/10/05,179455
2018/10/06,188056
2018/10/07,169391
2018/10/08,166601
2018/10/09,169314
2018/10/10,162906
2018/10/11,167281
2018/10/12,164731
2018/10/13,166698
2018/10/14,158183
2018/10/15,165318
2018/10/16,172778
2018/10/17,183052
2018/10/18,178187
2018/10/19,176810
2018/10/20,171110
2018/10/21,164089
2018/10/22,176008
2018/10/23,176535
2018/10/24,178033
2018/10/25,174525
2018/10/26,175600
2018/10/27,169004
2018/10/28,156224
2018/10/29,174414
2018/10/30,185898
2018/10/31,187985
2018/11/01,179164
2018/11/02,162483
2018/11/03,152439
2018/11/04,151190
2018/11/05,160278
2018/11/06,162147
2018/11/07,153953
2018/11/08,148962
2018/11/09,157884
2018/11/10,154527
2018/11/11,164588
2018/11/12,166531
2018/11/13,162041
2018/11/14,166240
2018/11/15,164144
2018/11/16,158214
2018/11/17,148314
2018/11/18,140790
2018/11/19,173238
2018/11/20,176324
2018/11/21,164362
2018/11/22,157733
2018/11/23,154500
2018/11/24,143605
2018/11/25,145471
