Date,transactions7rsi
2017/12/06,82.776
2017/12/07,51.158
2017/12/08,64.101
2017/12/09,54.765
2017/12/10,55.948
2017/12/11,67.76
2017/12/12,71.239
2017/12/13,74.045
2017/12/14,76.415
2017/12/15,68.007
2017/12/16,66.997
2017/12/17,61.471
2017/12/18,73.319
2017/12/19,80.4
2017/12/20,61.671
2017/12/21,68.626
2017/12/22,70.827
2017/12/23,47.541
2017/12/24,35.645
2017/12/25,35.268
2017/12/26,42.628
2017/12/27,52.79
2017/12/28,56.146
2017/12/29,66.714
2017/12/30,69.542
2017/12/31,49.505
2018/01/01,46.384
2018/01/02,63.637
2018/01/03,67.788
2018/01/04,72.636
2018/01/05,64.685
2018/01/06,60.248
2018/01/07,53.289
2018/01/08,58.097
2018/01/09,61.129
2018/01/10,52.576
2018/01/11,52.172
2018/01/12,46.055
2018/01/13,53.094
2018/01/14,42.623
2018/01/15,55.655
2018/01/16,61.5
2018/01/17,61.387
2018/01/18,52.022
2018/01/19,37.136
2018/01/20,33.122
2018/01/21,36.142
2018/01/22,33.454
2018/01/23,30.014
2018/01/24,28.858
2018/01/25,20.923
2018/01/26,44.418
2018/01/27,35.38
2018/01/28,41.875
2018/01/29,47.056
2018/01/30,44.146
2018/01/31,41.264
2018/02/01,56.226
2018/02/02,52.897
2018/02/03,37.438
2018/02/04,36.422
2018/02/05,45.852
2018/02/06,47.366
2018/02/07,40.062
2018/02/08,29.568
2018/02/09,43.266
2018/02/10,49.46
2018/02/11,42.534
2018/02/12,48.742
2018/02/13,40.994
2018/02/14,41.076
2018/02/15,45.455
2018/02/16,37.773
2018/02/17,47.396
2018/02/18,45.449
2018/02/19,53.205
2018/02/20,61.849
2018/02/21,56.03
2018/02/22,44.213
2018/02/23,40.938
2018/02/24,40.911
2018/02/25,35.641
2018/02/26,44.832
2018/02/27,38.904
2018/02/28,44.092
2018/03/01,38.739
2018/03/02,50.489
2018/03/03,39.932
2018/03/04,36.184
2018/03/05,54.309
2018/03/06,48.425
2018/03/07,57.863
2018/03/08,45.175
2018/03/09,40.716
2018/03/10,34.841
2018/03/11,37.959
2018/03/12,49.143
2018/03/13,52.227
