Date,activeaddresses30roc
2016/12/31,11.681
2017/01/01,-14.272
2017/01/02,-8.481
2017/01/03,-3.509
2017/01/04,22.993
2017/01/05,6.694
2017/01/06,22.239
2017/01/07,12.756
2017/01/08,-0.878
2017/01/09,19.979
2017/01/10,8.362
2017/01/11,7.663
2017/01/12,18.292
2017/01/13,-1.124
2017/01/14,-10.383
2017/01/15,-3.123
2017/01/16,15.633
2017/01/17,23.862
2017/01/18,-4.258
2017/01/19,-3.159
2017/01/20,4.838
2017/01/21,-23.35
2017/01/22,-3.875
2017/01/23,7.168
2017/01/24,25.146
2017/01/25,15.948
2017/01/26,10.941
2017/01/27,5.308
2017/01/28,-1.224
2017/01/29,-0.052
2017/01/30,1.551
2017/01/31,15.645
2017/02/01,8.694
2017/02/02,9.353
2017/02/03,-15.06
2017/02/04,-11.26
2017/02/05,-1.952
2017/02/06,1.557
2017/02/07,7.499
2017/02/08,-1.79
2017/02/09,5.219
2017/02/10,5.773
2017/02/11,-6.151
2017/02/12,5.782
2017/02/13,29.231
2017/02/14,28.468
2017/02/15,16.052
2017/02/16,10.85
2017/02/17,16.777
2017/02/18,18.435
2017/02/19,4.33
2017/02/20,19.914
2017/02/21,18.597
2017/02/22,15.875
2017/02/23,7.543
2017/02/24,31.665
2017/02/25,22.329
2017/02/26,23.497
2017/02/27,35.9
2017/02/28,60.691
2017/03/01,53.926
2017/03/02,96.096
2017/03/03,67.523
2017/03/04,49.652
2017/03/05,47.561
2017/03/06,47.004
2017/03/07,31.915
2017/03/08,38.446
2017/03/09,56.152
2017/03/10,49.732
2017/03/11,54.689
2017/03/12,61.007
2017/03/13,136.337
2017/03/14,94.932
2017/03/15,75.637
2017/03/16,145.305
2017/03/17,138.064
2017/03/18,107.001
2017/03/19,83.777
2017/03/20,80.609
2017/03/21,96.403
2017/03/22,71.169
2017/03/23,73.009
2017/03/24,107.886
2017/03/25,96.824
2017/03/26,56.066
2017/03/27,84.898
2017/03/28,78.299
2017/03/29,70.858
2017/03/30,76.417
2017/03/31,93.029
2017/04/01,7.907
2017/04/02,41.032
2017/04/03,86.514
2017/04/04,60.367
2017/04/05,51.92
2017/04/06,94.73
2017/04/07,49.556
2017/04/08,17.675
2017/04/09,15.29
2017/04/10,23.565
2017/04/11,11.087
2017/04/12,-8.975
2017/04/13,10.842
2017/04/14,1.722
2017/04/15,-32.809
2017/04/16,-40.473
2017/04/17,-22.104
2017/04/18,5.246
2017/04/19,3.143
2017/04/20,9.535
2017/04/21,-1.949
2017/04/22,-4.482
2017/04/23,-16.286
2017/04/24,0.555
2017/04/25,9.596
2017/04/26,13.331
2017/04/27,43.381
2017/04/28,23.88
2017/04/29,-3.813
2017/04/30,-9.33
2017/05/01,51.843
2017/05/02,25.986
2017/05/03,-5.532
2017/05/04,44.543
2017/05/05,40.775
2017/05/06,0.95
2017/05/07,46.643
2017/05/08,91.197
2017/05/09,84.685
2017/05/10,59.214
2017/05/11,75.863
2017/05/12,44.646
2017/05/13,21.4
2017/05/14,36.569
2017/05/15,69.701
2017/05/16,94.201
2017/05/17,66.886
2017/05/18,77.722
2017/05/19,114.114
2017/05/20,46.465
2017/05/21,99.161
2017/05/22,155.703
2017/05/23,165.996
2017/05/24,136.693
2017/05/25,142.204
2017/05/26,96.779
2017/05/27,36.839
2017/05/28,49.384
2017/05/29,72.941
2017/05/30,81.48
2017/05/31,70.982
2017/06/01,102.674
2017/06/02,90.297
2017/06/03,50.566
2017/06/04,55.949
2017/06/05,98.886
2017/06/06,91.46
2017/06/07,59.974
2017/06/08,62.07
2017/06/09,94.571
2017/06/10,88.104
2017/06/11,139.118
2017/06/12,241.436
2017/06/13,200.404
2017/06/14,133.937
2017/06/15,144.284
2017/06/16,134.504
2017/06/17,82.268
2017/06/18,56.152
2017/06/19,140.367
2017/06/20,110.267
2017/06/21,39.094
2017/06/22,69.717
2017/06/23,67.567
2017/06/24,49.697
2017/06/25,38.542
2017/06/26,148.072
2017/06/27,95.68
2017/06/28,87.617
2017/06/29,64.635
2017/06/30,45.259
2017/07/01,23.259
2017/07/02,48.278
2017/07/03,73.3
2017/07/04,64.906
2017/07/05,42.575
2017/07/06,28.092
2017/07/07,53.063
2017/07/08,27.653
2017/07/09,4.857
2017/07/10,34.125
2017/07/11,15.139
2017/07/12,-11.695
2017/07/13,-18.748
2017/07/14,-9.647
2017/07/15,-17.073
2017/07/16,-3.434
2017/07/17,0.35
2017/07/18,4.629
2017/07/19,-5.822
2017/07/20,-8.723
2017/07/21,4.579
2017/07/22,-32.112
2017/07/23,-9.499
2017/07/24,-6.473
2017/07/25,4.242
2017/07/26,-36.508
2017/07/27,-13.432
2017/07/28,-12.506
2017/07/29,-23.956
2017/07/30,-16.733
2017/07/31,8.749
2017/08/01,-12.472
2017/08/02,-20.368
