Date,sentbyaddress14mom
2017/07/23,25633
2017/07/24,-15317
2017/07/25,-16129
2017/07/26,-17979
2017/07/27,-1907
2017/07/28,901
2017/07/29,-10697
2017/07/30,-8394
2017/07/31,12980
2017/08/01,-11766
2017/08/02,-9681
2017/08/03,-5574
2017/08/04,9837
2017/08/05,20920
2017/08/06,-16336
2017/08/07,11704
2017/08/08,27064
2017/08/09,24125
2017/08/10,33998
2017/08/11,33475
2017/08/12,38719
2017/08/13,30384
2017/08/14,30081
2017/08/15,50779
2017/08/16,46203
2017/08/17,48001
2017/08/18,50051
2017/08/19,20385
2017/08/20,15402
2017/08/21,27782
2017/08/22,8714
2017/08/23,22977
2017/08/24,-5716
2017/08/25,2196
2017/08/26,-16500
2017/08/27,-3708
2017/08/28,-15872
2017/08/29,-1669
2017/08/30,-927
2017/08/31,4785
2017/09/01,-10960
2017/09/02,-4730
2017/09/03,-6236
2017/09/04,24724
2017/09/05,23112
2017/09/06,21321
2017/09/07,25145
2017/09/08,15129
2017/09/09,27294
2017/09/10,918
2017/09/11,9047
2017/09/12,16390
2017/09/13,-1414
2017/09/14,6685
2017/09/15,22104
2017/09/16,793
2017/09/17,-10530
2017/09/18,-32205
2017/09/19,-23599
2017/09/20,-32727
2017/09/21,-29144
2017/09/22,-41448
2017/09/23,-25052
2017/09/24,2246
2017/09/25,-12505
2017/09/26,-42438
2017/09/27,-25687
2017/09/28,-29378
2017/09/29,-38056
2017/09/30,-6330
2017/10/01,4599
2017/10/02,-14738
2017/10/03,-9982
2017/10/04,-13199
2017/10/05,208
2017/10/06,9147
2017/10/07,3413
2017/10/08,-1523
2017/10/09,-5399
2017/10/10,19214
2017/10/11,21935
2017/10/12,6318
2017/10/13,22081
2017/10/14,8569
2017/10/15,11187
2017/10/16,686
2017/10/17,39852
2017/10/18,21457
2017/10/19,5151
2017/10/20,28259
2017/10/21,24398
2017/10/22,53094
2017/10/23,22189
2017/10/24,5319
2017/10/25,-9215
2017/10/26,-5318
2017/10/27,-117016
2017/10/28,-93163
2017/10/29,-84389
2017/10/30,-85490
2017/10/31,-128391
2017/11/01,29397
2017/11/02,54911
2017/11/03,4770
2017/11/04,-11553
2017/11/05,-42812
2017/11/06,186
2017/11/07,1261
2017/11/08,24217
2017/11/09,27157
2017/11/10,113268
2017/11/11,100902
2017/11/12,117244
2017/11/13,110816
2017/11/14,126232
2017/11/15,10965
2017/11/16,-21461
2017/11/17,22342
2017/11/18,21276
2017/11/19,27462
2017/11/20,21015
2017/11/21,31704
2017/11/22,22223
2017/11/23,15450
2017/11/24,21764
2017/11/25,33612
2017/11/26,21456
2017/11/27,59661
2017/11/28,47444
2017/11/29,46127
2017/11/30,45696
2017/12/01,9318
2017/12/02,40790
2017/12/03,61781
2017/12/04,49375
2017/12/05,41334
2017/12/06,85283
2017/12/07,26596
2017/12/08,62159
2017/12/09,63940
2017/12/10,58329
2017/12/11,54927
2017/12/12,95376
2017/12/13,87479
2017/12/14,113896
2017/12/15,119066
2017/12/16,93715
2017/12/17,67723
2017/12/18,93574
2017/12/19,131491
2017/12/20,76707
2017/12/21,158934
2017/12/22,172757
2017/12/23,81287
2017/12/24,10764
2017/12/25,-22149
2017/12/26,-20186
2017/12/27,-10993
2017/12/28,-20591
2017/12/29,82223
2017/12/30,124622
2017/12/31,26065
2018/01/01,3517
2018/01/02,68438
2018/01/03,68522
2018/01/04,97470
2018/01/05,20966
2018/01/06,100637
2018/01/07,166547
2018/01/08,171035
2018/01/09,194609
2018/01/10,112745
2018/01/11,137429
2018/01/12,15782
2018/01/13,24431
2018/01/14,95123
2018/01/15,164379
2018/01/16,77982
2018/01/17,75865
2018/01/18,6894
2018/01/19,-62418
2018/01/20,-113123
2018/01/21,49008
2018/01/22,-66936
2018/01/23,-155790
2018/01/24,-107326
2018/01/25,-176898
2018/01/26,-65803
2018/01/27,-139867
2018/01/28,-123017
2018/01/29,-159213
2018/01/30,-189461
2018/01/31,-182803
2018/02/01,-116241
2018/02/02,-26640
2018/02/03,-31930
2018/02/04,-164142
2018/02/05,-47364
2018/02/06,-14816
2018/02/07,-24410
2018/02/08,-25731
2018/02/09,-70308
2018/02/10,-15719
2018/02/11,-18901
