Date,price90smaUSD
2017/04/14,24.496
2017/04/15,24.922
2017/04/16,25.354
2017/04/17,25.78
2017/04/18,26.217
2017/04/19,26.663
2017/04/20,27.09
2017/04/21,27.52
2017/04/22,27.943
2017/04/23,28.366
2017/04/24,28.806
2017/04/25,29.246
2017/04/26,29.707
2017/04/27,30.231
2017/04/28,30.852
2017/04/29,31.514
2017/04/30,32.201
2017/05/01,32.96
2017/05/02,33.695
2017/05/03,34.436
2017/05/04,35.262
2017/05/05,36.162
2017/05/06,37.046
2017/05/07,37.95
2017/05/08,38.807
2017/05/09,39.61
2017/05/10,40.451
2017/05/11,41.295
2017/05/12,42.147
2017/05/13,42.974
2017/05/14,43.825
2017/05/15,44.685
2017/05/16,45.523
2017/05/17,46.336
2017/05/18,47.217
2017/05/19,48.313
2017/05/20,49.554
2017/05/21,50.891
2017/05/22,52.563
2017/05/23,54.239
2017/05/24,56.172
2017/05/25,58.183
2017/05/26,60.004
2017/05/27,61.506
2017/05/28,63.207
2017/05/29,64.996
2017/05/30,67.124
2017/05/31,69.437
2017/06/01,71.71
2017/06/02,73.968
2017/06/03,76.214
2017/06/04,78.648
2017/06/05,81.168
2017/06/06,83.818
2017/06/07,86.513
2017/06/08,89.154
2017/06/09,91.892
2017/06/10,94.963
2017/06/11,98.43
2017/06/12,102.197
2017/06/13,106.139
2017/06/14,109.836
2017/06/15,112.945
2017/06/16,116.383
2017/06/17,119.923
2017/06/18,123.473
2017/06/19,126.973
2017/06/20,130.523
2017/06/21,133.758
2017/06/22,136.843
2017/06/23,139.922
2017/06/24,142.919
2017/06/25,145.659
2017/06/26,148
2017/06/27,150.137
2017/06/28,152.764
2017/06/29,155.606
2017/06/30,158.291
2017/07/01,160.716
2017/07/02,163.174
2017/07/03,165.784
2017/07/04,168.342
2017/07/05,170.775
2017/07/06,173.247
2017/07/07,175.577
2017/07/08,177.769
2017/07/09,179.994
2017/07/10,182.023
2017/07/11,183.708
2017/07/12,185.43
2017/07/13,187.219
2017/07/14,188.868
2017/07/15,190.376
2017/07/16,191.578
2017/07/17,192.932
2017/07/18,194.603
2017/07/19,196.517
2017/07/20,198.378
2017/07/21,200.314
2017/07/22,202.257
2017/07/23,204.226
2017/07/24,206.177
2017/07/25,207.941
2017/07/26,209.528
2017/07/27,211.037
2017/07/28,212.45
2017/07/29,213.734
2017/07/30,215.065
2017/07/31,216.394
2017/08/01,217.945
2017/08/02,219.462
2017/08/03,220.91
2017/08/04,222.382
2017/08/05,223.998
2017/08/06,225.914
2017/08/07,227.941
2017/08/08,230.096
2017/08/09,232.453
2017/08/10,234.822
2017/08/11,237.219
2017/08/12,239.723
2017/08/13,242.014
2017/08/14,244.375
2017/08/15,246.625
2017/08/16,248.866
2017/08/17,251.009
2017/08/18,252.958
2017/08/19,254.724
2017/08/20,256.171
2017/08/21,257.909
2017/08/22,259.305
2017/08/23,260.696
2017/08/24,262.301
2017/08/25,264.333
2017/08/26,266.138
2017/08/27,267.918
2017/08/28,269.435
2017/08/29,270.94
2017/08/30,272.676
2017/08/31,274.493
2017/09/01,276.403
2017/09/02,277.765
2017/09/03,278.937
2017/09/04,279.622
2017/09/05,280.106
2017/09/06,280.972
2017/09/07,281.718
2017/09/08,281.973
2017/09/09,281.582
2017/09/10,280.78
2017/09/11,279.819
2017/09/12,279.051
2017/09/13,278.513
2017/09/14,277.478
2017/09/15,276.149
2017/09/16,274.985
2017/09/17,273.825
2017/09/18,273.028
2017/09/19,272.531
2017/09/20,272.123
2017/09/21,271.562
2017/09/22,270.927
2017/09/23,270.687
2017/09/24,270.965
2017/09/25,271.488
2017/09/26,271.525
2017/09/27,271.426
2017/09/28,271.568
2017/09/29,271.844
2017/09/30,272.227
2017/10/01,272.471
2017/10/02,272.731
2017/10/03,273.069
2017/10/04,273.38
2017/10/05,273.815
2017/10/06,274.476
2017/10/07,275.203
2017/10/08,276.152
2017/10/09,277.332
2017/10/10,278.398
2017/10/11,279.42
2017/10/12,280.63
2017/10/13,282.178
2017/10/14,284.234
2017/10/15,286.02
2017/10/16,287.563
2017/10/17,288.711
2017/10/18,289.681
2017/10/19,290.64
2017/10/20,291.557
2017/10/21,292.339
2017/10/22,293.117
2017/10/23,293.945
2017/10/24,295.089
2017/10/25,296.128
2017/10/26,297.232
2017/10/27,298.432
2017/10/28,299.494
2017/10/29,300.663
2017/10/30,301.66
