Date,mediantransactionvalue14stdUSD
2017/10/08,4.259
2017/10/09,6.162
2017/10/10,6.187
2017/10/11,6.521
2017/10/12,7.242
2017/10/13,11.869
2017/10/14,11.717
2017/10/15,11.721
2017/10/16,14.067
2017/10/17,15.786
2017/10/18,16.999
2017/10/19,17.974
2017/10/20,18.66
2017/10/21,18.989
2017/10/22,19.024
2017/10/23,19.386
2017/10/24,19.168
2017/10/25,19.277
2017/10/26,19.43
2017/10/27,12.325
2017/10/28,8.366
2017/10/29,0.164
2017/10/30,0.164
2017/10/31,0.165
2017/11/01,0.166
2017/11/02,0.713
2017/11/03,0.713
2017/11/04,0.713
2017/11/05,0.716
2017/11/06,0.713
2017/11/07,0.714
2017/11/08,0.879
2017/11/09,1.428
2017/11/10,3.322
2017/11/11,3.299
2017/11/12,12.601
2017/11/13,12.855
2017/11/14,13.181
2017/11/15,14.548
2017/11/16,14.445
2017/11/17,14.746
2017/11/18,14.436
2017/11/19,13.974
2017/11/20,13.884
2017/11/21,14.403
2017/11/22,14.646
2017/11/23,14.919
2017/11/24,15.66
2017/11/25,15.368
2017/11/26,14.253
2017/11/27,15.722
2017/11/28,16.883
2017/11/29,20.752
2017/11/30,20.319
2017/12/01,20.307
2017/12/02,19.239
2017/12/03,18.916
2017/12/04,17.122
2017/12/05,17.712
2017/12/06,46.95
2017/12/07,47.171
2017/12/08,47.157
2017/12/09,45.896
2017/12/10,44.903
2017/12/11,45.244
2017/12/12,45.309
2017/12/13,47.252
2017/12/14,54.127
2017/12/15,55.432
2017/12/16,54.028
2017/12/17,51.776
2017/12/18,53.174
2017/12/19,59.197
2017/12/20,77.905
2017/12/21,94.318
2017/12/22,106.711
2017/12/23,101.416
2017/12/24,94.895
2017/12/25,88.863
2017/12/26,84.257
2017/12/27,82.16
2017/12/28,82.197
2017/12/29,87.362
2017/12/30,103.928
2017/12/31,99.552
2018/01/01,99.321
2018/01/02,100.152
2018/01/03,124.421
2018/01/04,269.617
2018/01/05,299.174
2018/01/06,296.935
2018/01/07,290.086
2018/01/08,281.341
2018/01/09,280.195
2018/01/10,277.282
2018/01/11,262.729
2018/01/12,259.445
2018/01/13,267.185
2018/01/14,260.824
2018/01/15,239.829
2018/01/16,229.767
2018/01/17,229.925
2018/01/18,162.407
2018/01/19,162.828
2018/01/20,189.777
2018/01/21,189.939
2018/01/22,199.027
2018/01/23,195.29
2018/01/24,181.101
2018/01/25,179.472
2018/01/26,180.906
2018/01/27,184.303
2018/01/28,188.88
2018/01/29,180.1
2018/01/30,146.54
2018/01/31,100.835
2018/02/01,87.328
2018/02/02,88.37
2018/02/03,86.127
2018/02/04,72.841
2018/02/05,73.697
2018/02/06,74.901
2018/02/07,76.793
2018/02/08,79.238
2018/02/09,83.07
2018/02/10,88.549
2018/02/11,97.041
2018/02/12,100.163
2018/02/13,100.819
2018/02/14,98.559
2018/02/15,62.885
2018/02/16,41.681
2018/02/17,42.737
2018/02/18,43.625
2018/02/19,40.144
2018/02/20,35.775
2018/02/21,30.319
2018/02/22,29.838
2018/02/23,28.303
2018/02/24,28.894
2018/02/25,29.782
2018/02/26,29.995
2018/02/27,29.819
2018/02/28,25.019
2018/03/01,16.188
2018/03/02,10.664
2018/03/03,11.236
2018/03/04,9.98
2018/03/05,9.933
2018/03/06,10.163
2018/03/07,20.646
2018/03/08,20.654
2018/03/09,20.791
2018/03/10,20.284
2018/03/11,20.328
2018/03/12,20.574
2018/03/13,21.059
2018/03/14,20.377
2018/03/15,20.374
2018/03/16,20.426
2018/03/17,20.409
2018/03/18,20.434
2018/03/19,20.536
2018/03/20,20.658
2018/03/21,7.62
2018/03/22,7.499
2018/03/23,5.017
2018/03/24,7.272
2018/03/25,7.069
2018/03/26,7.118
2018/03/27,6.893
2018/03/28,6.707
2018/03/29,7.46
2018/03/30,7.197
2018/03/31,7.188
2018/04/01,7.168
2018/04/02,7.415
2018/04/03,7.397
2018/04/04,7.471
2018/04/05,7.663
2018/04/06,7.794
2018/04/07,5.577
2018/04/08,5.679
2018/04/09,5.491
2018/04/10,5.377
2018/04/11,5.276
2018/04/12,1.917
2018/04/13,0.34
2018/04/14,0.343
2018/04/15,0.33
2018/04/16,0.309
2018/04/17,0.278
2018/04/18,0.278
2018/04/19,0.281
2018/04/20,0.284
2018/04/21,0.285
2018/04/22,0.282
2018/04/23,0.301
2018/04/24,0.203
2018/04/25,0.201
2018/04/26,0.208
2018/04/27,0.199
2018/04/28,0.199
2018/04/29,0.202
2018/04/30,0.305
2018/05/01,0.315
2018/05/02,0.381
2018/05/03,0.518
2018/05/04,48.922
2018/05/05,48.888
2018/05/06,48.814
2018/05/07,48.822
2018/05/08,48.825
2018/05/09,48.824
2018/05/10,48.824
2018/05/11,48.812
2018/05/12,48.812
2018/05/13,48.809
2018/05/14,48.753
2018/05/15,48.749
2018/05/16,48.76
2018/05/17,48.777
2018/05/18,1.438
2018/05/19,1.444
2018/05/20,1.082
2018/05/21,1.078
2018/05/22,1.083
2018/05/23,1.074
2018/05/24,1.056
2018/05/25,1.073
2018/05/26,1.073
2018/05/27,1.078
2018/05/28,0.434
2018/05/29,0.443
2018/05/30,0.459
2018/05/31,0.527
2018/06/01,0.489
2018/06/02,0.489
2018/06/03,0.489
2018/06/04,0.486
2018/06/05,0.486
2018/06/06,0.477
2018/06/07,0.476
2018/06/08,0.476
2018/06/09,0.476
2018/06/10,0.476
2018/06/11,0.429
2018/06/12,0.429
2018/06/13,0.393
2018/06/14,0.152
2018/06/15,0.115
2018/06/16,0.115
2018/06/17,0.115
2018/06/18,0.114
2018/06/19,0.114
2018/06/20,0.077
2018/06/21,0.077
2018/06/22,0.079
2018/06/23,0.079
