Date,sentinusd3wmaUSD
2017/10/13,3865467212
2017/10/14,3773525088
2017/10/15,3422653101
2017/10/16,2846719072
2017/10/17,3148424637
2017/10/18,3841206120
2017/10/19,3993767240
2017/10/20,3756755155
2017/10/21,3351670367
2017/10/22,2985391567
2017/10/23,3257005120
2017/10/24,3577314369
2017/10/25,3381387556
2017/10/26,3080212103
2017/10/27,1463429834
2017/10/28,481090290
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,2080221002
2017/11/02,3622779588
2017/11/03,4042228430
2017/11/04,3249234926
2017/11/05,2645051457
2017/11/06,2648123540
2017/11/07,2533500600
2017/11/08,2970662493
2017/11/09,4462923193
2017/11/10,4625459795
2017/11/11,4303099699
2017/11/12,4642173455
2017/11/13,4180492211
2017/11/14,3853481987
2017/11/15,4573991650
2017/11/16,4974730716
2017/11/17,5172555966
2017/11/18,4684079975
2017/11/19,4526752859
2017/11/20,5242832010
2017/11/21,5762083185
2017/11/22,6058262752
2017/11/23,6248449446
2017/11/24,6127204353
2017/11/25,6822515390
2017/11/26,7090707852
2017/11/27,8342805415
2017/11/28,10029287927
2017/11/29,11871367629
2017/11/30,11845614231
2017/12/01,10633232929
2017/12/02,10219800862
2017/12/03,10006257960
2017/12/04,9818671698
2017/12/05,7112224255
2017/12/06,6239589677
2017/12/07,5170307704
2017/12/08,4631653317
2017/12/09,3710667158
2017/12/10,3158886870
2017/12/11,3007419709
2017/12/12,5141945639
2017/12/13,6481417055
2017/12/14,7889975330
2017/12/15,7439262401
2017/12/16,6572856388
2017/12/17,5940393184
2017/12/18,6077400367
2017/12/19,7731038745
2017/12/20,9352593418
2017/12/21,10370772259
2017/12/22,10208391265
2017/12/23,8526270906
2017/12/24,6409165146
2017/12/25,5043673593
2017/12/26,5617835647
2017/12/27,6757218045
2017/12/28,8111385512
2017/12/29,9676148587
2017/12/30,10859841838
2017/12/31,8909411429
2018/01/01,7193821363
2018/01/02,9104334051
2018/01/03,11205450780
2018/01/04,15749115914
2018/01/05,17571200297
2018/01/06,16947487531
2018/01/07,14798908782
2018/01/08,15736314019
2018/01/09,17864396653
2018/01/10,20946425965
2018/01/11,20609011582
2018/01/12,18019533808
2018/01/13,14874599425
2018/01/14,23695219636
2018/01/15,21164353192
2018/01/16,19472211164
2018/01/17,16032669092
2018/01/18,15199008995
2018/01/19,12155043125
2018/01/20,9993334455
2018/01/21,8578588143
2018/01/22,8763617073
2018/01/23,8659617700
2018/01/24,8737672078
2018/01/25,6530391389
2018/01/26,8151914178
2018/01/27,7692511411
2018/01/28,8411015344
2018/01/29,8803577043
2018/01/30,9457671324
2018/01/31,9333244554
2018/02/01,9236790432
2018/02/02,9756123415
2018/02/03,7971356958
2018/02/04,6023140180
2018/02/05,5333214347
2018/02/06,5663887641
2018/02/07,5762160287
2018/02/08,4370728909
2018/02/09,4073890053
2018/02/10,4445615094
2018/02/11,4044713929
2018/02/12,3937451042
2018/02/13,4611554811
2018/02/14,4650760875
2018/02/15,4918783947
2018/02/16,4466563125
2018/02/17,4236109236
2018/02/18,3993335934
2018/02/19,3780299925
2018/02/20,3944751655
2018/02/21,3886977986
2018/02/22,4316372101
2018/02/23,3537854762
2018/02/24,2904271381
2018/02/25,2054753055
2018/02/26,1999021511
2018/02/27,1654130868
2018/02/28,1492682487
2018/03/01,1421914306
2018/03/02,1393934157
2018/03/03,1144428592
2018/03/04,984722420
2018/03/05,1139063240
2018/03/06,1424110963
2018/03/07,1549817201
2018/03/08,1411172500
2018/03/09,1297064058
2018/03/10,1036724495
2018/03/11,866609237
2018/03/12,928543959
2018/03/13,1433425122
2018/03/14,1449499579
2018/03/15,1308660980
2018/03/16,1013666390
2018/03/17,832770778
2018/03/18,1110543256
2018/03/19,1235094913
2018/03/20,1182681145
2018/03/21,1063801575
2018/03/22,936422759
2018/03/23,982047866
2018/03/24,817179462
2018/03/25,650741288
2018/03/26,768644868
2018/03/27,988377062
2018/03/28,1103309385
2018/03/29,1097376416
2018/03/30,989745753
2018/03/31,779160080
2018/04/01,593607837
2018/04/02,540445233
2018/04/03,602656266
2018/04/04,624655564
2018/04/05,562822907
2018/04/06,511754344
2018/04/07,415127990
2018/04/08,441842311
2018/04/09,536292103
2018/04/10,547730495
2018/04/11,587072437
2018/04/12,803358690
2018/04/13,1005667143
2018/04/14,787503845
2018/04/15,653835074
2018/04/16,642096891
2018/04/17,711059624
2018/04/18,817044570
2018/04/19,917301942
2018/04/20,1115665161
2018/04/21,1102678990
2018/04/22,947307441
2018/04/23,1422054302
2018/04/24,1727700907
2018/04/25,1767441774
2018/04/26,1494401225
2018/04/27,1398108351
2018/04/28,1288179934
2018/04/29,1207107635
2018/04/30,1269054160
2018/05/01,1267857337
2018/05/02,1549340927
2018/05/03,1864671839
2018/05/04,2017612989
2018/05/05,1729779941
2018/05/06,1412034329
2018/05/07,1737061397
2018/05/08,1726842331
2018/05/09,1720506120
2018/05/10,1625158617
2018/05/11,1584122599
2018/05/12,1321581016
2018/05/13,1033052985
2018/05/14,1238707537
2018/05/15,1374332333
2018/05/16,1324597512
2018/05/17,1228067475
2018/05/18,1158902468
2018/05/19,999402834
2018/05/20,922705986
2018/05/21,1029281032
2018/05/22,1296016037
2018/05/23,1540955359
2018/05/24,1435795579
2018/05/25,1237104097
2018/05/26,965033472
2018/05/27,1013524404
2018/05/28,1249476001
2018/05/29,1290453052
2018/05/30,1263994733
2018/05/31,1262120556
2018/06/01,1352819968
2018/06/02,1076684380
2018/06/03,836746428
2018/06/04,968458660
2018/06/05,1139085240
2018/06/06,1294136427
2018/06/07,1312393739
2018/06/08,1362148528
2018/06/09,1045348133
2018/06/10,976412009
2018/06/11,1030486941
2018/06/12,1327290603
2018/06/13,1696331321
2018/06/14,1921582171
2018/06/15,1898993009
2018/06/16,1335468518
2018/06/17,863674735
2018/06/18,730827821
2018/06/19,876743008
2018/06/20,1022673297
2018/06/21,1032929024
2018/06/22,1103886862
2018/06/23,862356066
2018/06/24,848518611
2018/06/25,953174884
2018/06/26,955679698
2018/06/27,896538663
2018/06/28,819104933
2018/06/29,855088650
2018/06/30,712733046
2018/07/01,565026171
2018/07/02,572790939
2018/07/03,720814514
2018/07/04,756412243
2018/07/05,772689096
