Date,sentbyaddress30roc
2018/01/29,-25.03
2018/01/30,-1.443
2018/01/31,-3.279
2018/02/01,-18.356
2018/02/02,-19.028
2018/02/03,-44.132
2018/02/04,-33.692
2018/02/05,-31.65
2018/02/06,-27.107
2018/02/07,-34.052
2018/02/08,-54.987
2018/02/09,-39.775
2018/02/10,-39.746
2018/02/11,-37.471
2018/02/12,-37.857
2018/02/13,-43.38
2018/02/14,-47.728
2018/02/15,-50.124
2018/02/16,-58.115
2018/02/17,-55.921
2018/02/18,-39.997
2018/02/19,-18.642
2018/02/20,-41.858
2018/02/21,-26.664
2018/02/22,-29.232
2018/02/23,-29.782
2018/02/24,-27.505
2018/02/25,-42.906
2018/02/26,-17.207
2018/02/27,-17.409
2018/02/28,-23.306
2018/03/01,-24.211
2018/03/02,-23.611
2018/03/03,-45.374
2018/03/04,-48.353
2018/03/05,-13.72
2018/03/06,-15.202
2018/03/07,21.268
2018/03/08,-26.447
2018/03/09,-24.436
2018/03/10,-14.802
2018/03/11,-32.882
2018/03/12,-32.067
2018/03/13,-16.585
2018/03/14,-11.46
2018/03/15,-9.283
2018/03/16,-27.388
2018/03/17,-31.134
2018/03/18,-8.729
2018/03/19,6.037
2018/03/20,-10.779
2018/03/21,-8.548
2018/03/22,-30.921
2018/03/23,10.033
2018/03/24,2.202
2018/03/25,-28.835
2018/03/26,4.202
2018/03/27,-3.788
2018/03/28,-29.853
2018/03/29,-15.915
2018/03/30,-15.427
2018/03/31,-27.826
2018/04/01,-34.104
2018/04/02,-10.34
2018/04/03,12.802
2018/04/04,-19.086
2018/04/05,-10.093
2018/04/06,-43.914
2018/04/07,-25.265
2018/04/08,-10.322
2018/04/09,6.044
2018/04/10,8.258
2018/04/11,8.486
2018/04/12,7.121
2018/04/13,-6.086
2018/04/14,-9.284
2018/04/15,1.319
2018/04/16,11.667
2018/04/17,4.607
2018/04/18,-6.652
2018/04/19,19.161
2018/04/20,8.953
2018/04/21,23.566
