Date,fee_to_reward7rsiUSD
2017/07/24,52.161
2017/07/25,58.12
2017/07/26,47.805
2017/07/27,44.329
2017/07/28,46.688
2017/07/29,36.002
2017/07/30,36.265
2017/07/31,43.249
2017/08/01,56.008
2017/08/02,50.753
2017/08/03,51.134
2017/08/04,45.699
2017/08/05,51.255
2017/08/06,53.248
2017/08/07,68.606
2017/08/08,70.921
2017/08/09,50.577
2017/08/10,59.621
2017/08/11,64.825
2017/08/12,62.097
2017/08/13,52.078
2017/08/14,59.606
2017/08/15,65.767
2017/08/16,86.774
2017/08/17,63.318
2017/08/18,70.621
2017/08/19,51.193
2017/08/20,41.43
2017/08/21,43.501
2017/08/22,43.085
2017/08/23,42.47
2017/08/24,43.49
2017/08/25,48.582
2017/08/26,47.235
2017/08/27,44.492
2017/08/28,53.206
2017/08/29,70.549
2017/08/30,59.528
2017/08/31,73.543
2017/09/01,57.727
2017/09/02,47.298
2017/09/03,42.439
2017/09/04,56.488
2017/09/05,62.201
2017/09/06,70.069
2017/09/07,65.94
2017/09/08,67.005
2017/09/09,44.023
2017/09/10,41.9
2017/09/11,41.151
2017/09/12,49.689
2017/09/13,46.978
2017/09/14,42.682
2017/09/15,59.543
2017/09/16,61.529
2017/09/17,40.671
2017/09/18,43.582
2017/09/19,41.953
2017/09/20,55.883
2017/09/21,40.871
2017/09/22,44.141
2017/09/23,45.681
2017/09/24,55.745
2017/09/25,52.047
2017/09/26,52.616
2017/09/27,50.125
2017/09/28,50.141
2017/09/29,46.265
2017/09/30,51.996
2017/10/01,45.682
2017/10/02,47.209
2017/10/03,54.866
2017/10/04,54.202
2017/10/05,54.643
2017/10/06,64.831
2017/10/07,41.236
2017/10/08,48.52
2017/10/09,52.675
2017/10/10,55.288
2017/10/11,61.615
2017/10/12,56.831
2017/10/13,63.126
2017/10/14,49.358
2017/10/15,46.518
2017/10/16,35.901
2017/10/17,26.754
2017/10/18,24.467
2017/10/19,23.487
2017/10/20,45.709
2017/10/21,31.209
2017/10/22,28.733
2017/10/23,38.206
2017/10/24,48.38
2017/10/25,42.762
2017/10/26,40.531
2017/10/27,43.623
2017/10/28,37.291
2017/10/29,37.425
2017/10/30,47.96
2017/10/31,50.38
2017/11/01,57.974
2017/11/02,59.552
2017/11/03,43.58
2017/11/04,35.315
2017/11/05,33.539
2017/11/06,44.027
2017/11/07,50.397
2017/11/08,56.838
2017/11/09,54.471
2017/11/10,47.336
2017/11/11,40.815
2017/11/12,51.166
2017/11/13,54.569
2017/11/14,61.593
2017/11/15,68.836
2017/11/16,53.438
2017/11/17,57.38
2017/11/18,41.268
2017/11/19,45.658
2017/11/20,58.57
2017/11/21,57.256
2017/11/22,57.67
2017/11/23,55.692
2017/11/24,46.033
2017/11/25,41.417
2017/11/26,52.911
2017/11/27,60.543
2017/11/28,65.835
2017/11/29,70.086
2017/11/30,60.57
2017/12/01,60.859
2017/12/02,46.24
2017/12/03,57.195
2017/12/04,83.881
2017/12/05,90.116
2017/12/06,93.123
2017/12/07,95.927
2017/12/08,96.191
2017/12/09,86.671
2017/12/10,75.357
2017/12/11,57.766
2017/12/12,57.396
2017/12/13,49.176
2017/12/14,59.95
2017/12/15,50.631
2017/12/16,51.629
2017/12/17,41.501
2017/12/18,40.615
2017/12/19,53.613
2017/12/20,61.645
2017/12/21,63.409
2017/12/22,56.867
2017/12/23,40.08
2017/12/24,35.533
2017/12/25,28.831
2017/12/26,28.635
2017/12/27,33.604
2017/12/28,34.278
2017/12/29,45.149
2017/12/30,43.067
2017/12/31,38.56
2018/01/01,33.664
2018/01/02,51.694
2018/01/03,58.988
2018/01/04,66.569
2018/01/05,85.713
2018/01/06,88.02
2018/01/07,69.701
2018/01/08,71.157
2018/01/09,72.747
2018/01/10,77.456
2018/01/11,62.962
2018/01/12,48.106
2018/01/13,50.565
2018/01/14,46.601
2018/01/15,48.84
2018/01/16,46.62
2018/01/17,43.488
2018/01/18,47.368
2018/01/19,38.947
2018/01/20,35.715
2018/01/21,27.472
2018/01/22,24.653
2018/01/23,34.915
2018/01/24,32.026
2018/01/25,27.211
2018/01/26,25.116
2018/01/27,22.055
2018/01/28,26.842
2018/01/29,46.65
2018/01/30,40.611
2018/01/31,40.219
2018/02/01,58.738
2018/02/02,46.368
2018/02/03,37.66
2018/02/04,36.741
2018/02/05,37.783
2018/02/06,41.466
2018/02/07,37.924
2018/02/08,30.726
2018/02/09,35.409
2018/02/10,38.624
2018/02/11,33.827
2018/02/12,33.519
2018/02/13,32.999
2018/02/14,35.924
2018/02/15,34.136
2018/02/16,32.202
2018/02/17,42.394
2018/02/18,53.825
2018/02/19,42.109
2018/02/20,51.653
2018/02/21,49.035
2018/02/22,39.494
2018/02/23,39.46
2018/02/24,40.843
2018/02/25,34.145
2018/02/26,33.332
2018/02/27,37.113
2018/02/28,60.866
2018/03/01,42.33
2018/03/02,55.206
2018/03/03,40.3
2018/03/04,42.815
2018/03/05,49.047
2018/03/06,42.031
2018/03/07,50.328
2018/03/08,45.312
2018/03/09,41.829
2018/03/10,34.218
2018/03/11,31.834
2018/03/12,49.167
2018/03/13,39.77
2018/03/14,42.422
2018/03/15,40.3
2018/03/16,38.997
2018/03/17,33.292
2018/03/18,41.732
2018/03/19,43.846
2018/03/20,42.95
2018/03/21,54.105
2018/03/22,50.549
2018/03/23,55.394
2018/03/24,43.51
2018/03/25,38.079
2018/03/26,48.456
2018/03/27,43.609
2018/03/28,44.481
2018/03/29,48.326
2018/03/30,42.223
2018/03/31,32.306
2018/04/01,29.298
2018/04/02,42.182
2018/04/03,47.046
2018/04/04,39.368
2018/04/05,66.281
2018/04/06,47.139
2018/04/07,39.843
2018/04/08,44.574
2018/04/09,47.577
2018/04/10,45.58
2018/04/11,50.982
2018/04/12,57.687
2018/04/13,63.228
2018/04/14,46.624
2018/04/15,43.953
2018/04/16,49.473
2018/04/17,53.16
2018/04/18,61.395
2018/04/19,63.166
2018/04/20,64.261
2018/04/21,45.838
2018/04/22,48.096
2018/04/23,53.371
2018/04/24,65.357
2018/04/25,59.942
2018/04/26,60.026
2018/04/27,64.841
2018/04/28,58.531
2018/04/29,69.319
2018/04/30,71.729
2018/05/01,47.986
2018/05/02,51.148
2018/05/03,63.677
2018/05/04,59.783
2018/05/05,42.903
2018/05/06,38.177
2018/05/07,47.079
2018/05/08,51.79
2018/05/09,58.163
2018/05/10,75.044
2018/05/11,71.211
2018/05/12,47.011
2018/05/13,49.838
2018/05/14,61.181
2018/05/15,61.29
2018/05/16,64.578
2018/05/17,68.843
2018/05/18,62.794
2018/05/19,51.576
2018/05/20,46.077
2018/05/21,55.072
2018/05/22,62.901
2018/05/23,62.027
2018/05/24,56.868
2018/05/25,49.798
2018/05/26,40.021
2018/05/27,35.694
2018/05/28,64.979
2018/05/29,61.994
2018/05/30,64.911
2018/05/31,75.306
2018/06/01,57.261
2018/06/02,39.72
2018/06/03,39.209
2018/06/04,49.446
2018/06/05,44.165
2018/06/06,54.101
2018/06/07,43.695
2018/06/08,39.516
2018/06/09,34.024
2018/06/10,35.008
2018/06/11,37.383
2018/06/12,37.523
2018/06/13,40.661
2018/06/14,45.753
2018/06/15,54.558
2018/06/16,35.141
2018/06/17,30.862
2018/06/18,33.849
2018/06/19,48.997
2018/06/20,46.276
2018/06/21,44.621
2018/06/22,63.162
2018/06/23,41.229
2018/06/24,44.63
2018/06/25,53.674
2018/06/26,44.883
2018/06/27,45.004
2018/06/28,43.904
2018/06/29,46.391
2018/06/30,85.852
2018/07/01,91.868
2018/07/02,95.289
2018/07/03,74.134
2018/07/04,61.066
2018/07/05,56.65
2018/07/06,63.476
2018/07/07,58.742
2018/07/08,41.13
2018/07/09,38.668
2018/07/10,35.362
2018/07/11,37.021
2018/07/12,46.142
