Date,activeaddresses14std
2018/04/12,61882
2018/04/13,69152
2018/04/14,65706
2018/04/15,54581
2018/04/16,51826
2018/04/17,54408
2018/04/18,53047
2018/04/19,55926
2018/04/20,66552
2018/04/21,68743
2018/04/22,76778
2018/04/23,92618
2018/04/24,99178
2018/04/25,93941
2018/04/26,93842
2018/04/27,93815
2018/04/28,83818
2018/04/29,76835
2018/04/30,69740
2018/05/01,70125
2018/05/02,63559
2018/05/03,67220
2018/05/04,160834
2018/05/05,160651
2018/05/06,160943
2018/05/07,160352
2018/05/08,160327
2018/05/09,162173
2018/05/10,162703
2018/05/11,159278
2018/05/12,155481
2018/05/13,145731
2018/05/14,142292
2018/05/15,129462
2018/05/16,125023
2018/05/17,125594
2018/05/18,52313
2018/05/19,63546
2018/05/20,52083
2018/05/21,49242
2018/05/22,48606
2018/05/23,49766
2018/05/24,49601
2018/05/25,49146
2018/05/26,50950
2018/05/27,47788
2018/05/28,53418
2018/05/29,50770
2018/05/30,50709
2018/05/31,49967
2018/06/01,59514
2018/06/02,50524
2018/06/03,50605
2018/06/04,51040
2018/06/05,54184
2018/06/06,55853
2018/06/07,56075
2018/06/08,66578
2018/06/09,220326
2018/06/10,333578
2018/06/11,325451
2018/06/12,320410
2018/06/13,315629
2018/06/14,310896
2018/06/15,311024
2018/06/16,307927
2018/06/17,299928
2018/06/18,294660
2018/06/19,292369
2018/06/20,292088
2018/06/21,289616
2018/06/22,292040
2018/06/23,244095
2018/06/24,58604
2018/06/25,81112
2018/06/26,80815
2018/06/27,80734
2018/06/28,81523
2018/06/29,80783
2018/06/30,107015
2018/07/01,155251
2018/07/02,176554
2018/07/03,191321
2018/07/04,200605
2018/07/05,201858
2018/07/06,203593
2018/07/07,207959
2018/07/08,204262
2018/07/09,167239
2018/07/10,157949
2018/07/11,141290
2018/07/12,111850
2018/07/13,73782
2018/07/14,75791
2018/07/15,69567
2018/07/16,94540
2018/07/17,112696
2018/07/18,146939
2018/07/19,160393
2018/07/20,156742
2018/07/21,146898
2018/07/22,148576
2018/07/23,158039
2018/07/24,170467
2018/07/25,178860
2018/07/26,173158
2018/07/27,162264
2018/07/28,132135
2018/07/29,86262
2018/07/30,85165
2018/07/31,83358
2018/08/01,80189
2018/08/02,80394
2018/08/03,76039
2018/08/04,52227
2018/08/05,54442
2018/08/06,57752
2018/08/07,66842
2018/08/08,84574
2018/08/09,99040
2018/08/10,248724
2018/08/11,325912
2018/08/12,375396
2018/08/13,369916
2018/08/14,364201
2018/08/15,356994
2018/08/16,355505
2018/08/17,343713
2018/08/18,338902
2018/08/19,334622
2018/08/20,331709
2018/08/21,329112
2018/08/22,330013
2018/08/23,330241
2018/08/24,282012
2018/08/25,210475
2018/08/26,58195
2018/08/27,50853
2018/08/28,47805
2018/08/29,55872
2018/08/30,42375
2018/08/31,43719
2018/09/01,46047
2018/09/02,50874
2018/09/03,50495
2018/09/04,49686
2018/09/05,50008
2018/09/06,49409
2018/09/07,49417
2018/09/08,51297
2018/09/09,53143
2018/09/10,52886
2018/09/11,56510
2018/09/12,55611
2018/09/13,56983
2018/09/14,62996
2018/09/15,76309
2018/09/16,80720
2018/09/17,70816
2018/09/18,71217
2018/09/19,68061
2018/09/20,63774
2018/09/21,56979
2018/09/22,56607
2018/09/23,53800
2018/09/24,49313
2018/09/25,47070
2018/09/26,44896
2018/09/27,36368
2018/09/28,34230
2018/09/29,38319
2018/09/30,36664
2018/10/01,29998
2018/10/02,30848
2018/10/03,38975
2018/10/04,47271
2018/10/05,58779
