Date,sentinusd90rocUSD
2017/05/02,11441
2017/05/03,13261
2017/05/04,10982
2017/05/05,10722
2017/05/06,16793
2017/05/07,11852
2017/05/08,11786
2017/05/09,11972
2017/05/10,10828
2017/05/11,10882
2017/05/12,15040
2017/05/13,8295
2017/05/14,8016
2017/05/15,3456
2017/05/16,3474
2017/05/17,3929
2017/05/18,2550
2017/05/19,5438
2017/05/20,3931
2017/05/21,5392
2017/05/22,8884
2017/05/23,7659
2017/05/24,8699
2017/05/25,4149
2017/05/26,6780
2017/05/27,3298
2017/05/28,1140
2017/05/29,939.801
2017/05/30,1226
2017/05/31,1565
2017/06/01,1044
2017/06/02,1651
2017/06/03,1879
2017/06/04,1004
2017/06/05,2019
2017/06/06,2485
2017/06/07,1714
2017/06/08,1518
2017/06/09,1257
2017/06/10,523.27
2017/06/11,707.387
2017/06/12,4201
2017/06/13,3371
2017/06/14,289.878
2017/06/15,814.822
2017/06/16,591.802
2017/06/17,1684
2017/06/18,1102
2017/06/19,604.036
2017/06/20,1008
2017/06/21,297.33
2017/06/22,271.168
2017/06/23,444.099
2017/06/24,647.947
2017/06/25,117.001
2017/06/26,402.699
2017/06/27,311.652
2017/06/28,234.845
2017/06/29,363.589
2017/06/30,499.702
2017/07/01,220.404
2017/07/02,143.291
2017/07/03,1771
2017/07/04,894.372
2017/07/05,142.482
2017/07/06,900.968
2017/07/07,670.147
2017/07/08,508.184
2017/07/09,124.073
2017/07/10,546.416
2017/07/11,616.405
2017/07/12,816.652
2017/07/13,1221
2017/07/14,2786
2017/07/15,5074
2017/07/16,3355
2017/07/17,831.442
2017/07/18,990.104
2017/07/19,857.211
2017/07/20,1067
2017/07/21,1280
2017/07/22,199.455
2017/07/23,267.689
2017/07/24,1097
2017/07/25,740.878
2017/07/26,331.666
2017/07/27,342.087
2017/07/28,390.646
2017/07/29,256.779
2017/07/30,46.496
2017/07/31,10.347
2017/08/01,18.598
2017/08/02,1.851
2017/08/03,-21.553
2017/08/04,23.692
2017/08/05,17.841
2017/08/06,31.165
2017/08/07,59.554
2017/08/08,89.787
2017/08/09,67.259
2017/08/10,337.967
2017/08/11,1120
2017/08/12,687.274
2017/08/13,490.803
2017/08/14,279.12
2017/08/15,355.835
2017/08/16,419.488
2017/08/17,174.783
2017/08/18,289.913
2017/08/19,100.567
2017/08/20,-30.913
2017/08/21,50.314
2017/08/22,21.572
2017/08/23,46.779
2017/08/24,30.516
2017/08/25,91.149
2017/08/26,6.484
2017/08/27,257.416
2017/08/28,288.76
2017/08/29,45.623
2017/08/30,264.734
2017/08/31,75.819
2017/09/01,78.407
2017/09/02,49.986
2017/09/03,-11.715
2017/09/04,-1.163
2017/09/05,2.643
2017/09/06,35.739
2017/09/07,-10.86
2017/09/08,26.442
2017/09/09,44.637
2017/09/10,-47.958
2017/09/11,-46.089
2017/09/12,-7.694
2017/09/13,-60.452
2017/09/14,-40.437
2017/09/15,14.497
2017/09/16,-25.43
2017/09/17,-24.361
2017/09/18,1.486
2017/09/19,120.454
2017/09/20,0.389
2017/09/21,-23.208
2017/09/22,-39.317
2017/09/23,69.802
2017/09/24,-32.41
2017/09/25,-15.524
2017/09/26,-18.312
2017/09/27,-21.586
2017/09/28,0.55
2017/09/29,-1.23
