Date,confirmationtime7sma
2016/04/28,0.239
2016/04/29,0.239
2016/04/30,0.239
2016/05/01,0.239
2016/05/02,0.239
2016/05/03,0.239
2016/05/04,0.239
2016/05/05,0.239
2016/05/06,0.239
2016/05/07,0.239
2016/05/08,0.239
2016/05/09,0.239
2016/05/10,0.239
2016/05/11,0.24
2016/05/12,0.239
2016/05/13,0.239
2016/05/14,0.239
2016/05/15,0.239
2016/05/16,0.24
2016/05/17,0.24
2016/05/18,0.239
2016/05/19,0.239
2016/05/20,0.239
2016/05/21,0.239
2016/05/22,0.239
2016/05/23,0.239
2016/05/24,0.239
2016/05/25,0.239
2016/05/26,0.239
2016/05/27,0.239
2016/05/28,0.239
2016/05/29,0.239
2016/05/30,0.239
2016/05/31,0.24
2016/06/01,0.24
2016/06/02,0.239
2016/06/03,0.239
2016/06/04,0.239
2016/06/05,0.24
2016/06/06,0.239
2016/06/07,0.239
2016/06/08,0.238
2016/06/09,0.238
2016/06/10,0.239
2016/06/11,0.239
2016/06/12,0.238
2016/06/13,0.238
2016/06/14,0.238
2016/06/15,0.238
2016/06/16,0.239
2016/06/17,0.239
2016/06/18,0.24
2016/06/19,0.24
2016/06/20,0.24
2016/06/21,0.24
2016/06/22,0.24
2016/06/23,0.24
2016/06/24,0.239
2016/06/25,0.238
2016/06/26,0.239
2016/06/27,0.238
2016/06/28,0.238
2016/06/29,0.239
2016/06/30,0.239
2016/07/01,0.238
2016/07/02,0.238
2016/07/03,0.238
2016/07/04,0.238
2016/07/05,0.239
2016/07/06,0.239
2016/07/07,0.238
2016/07/08,0.239
2016/07/09,0.238
2016/07/10,0.238
2016/07/11,0.238
2016/07/12,0.238
2016/07/13,0.238
2016/07/14,0.238
2016/07/15,0.238
2016/07/16,0.239
2016/07/17,0.239
2016/07/18,0.238
2016/07/19,0.239
2016/07/20,0.239
2016/07/21,0.238
2016/07/22,0.239
2016/07/23,0.239
2016/07/24,0.239
2016/07/25,0.24
2016/07/26,0.24
2016/07/27,0.239
2016/07/28,0.24
2016/07/29,0.239
2016/07/30,0.24
2016/07/31,0.24
2016/08/01,0.24
2016/08/02,0.239
2016/08/03,0.241
2016/08/04,0.24
2016/08/05,0.239
2016/08/06,0.239
2016/08/07,0.239
2016/08/08,0.239
2016/08/09,0.237
2016/08/10,0.237
2016/08/11,0.238
2016/08/12,0.238
2016/08/13,0.238
2016/08/14,0.238
2016/08/15,0.238
2016/08/16,0.238
2016/08/17,0.238
2016/08/18,0.238
2016/08/19,0.238
2016/08/20,0.238
2016/08/21,0.238
2016/08/22,0.238
2016/08/23,0.238
2016/08/24,0.238
2016/08/25,0.238
2016/08/26,0.238
2016/08/27,0.238
2016/08/28,0.238
2016/08/29,0.238
2016/08/30,0.238
2016/08/31,0.238
2016/09/01,0.239
2016/09/02,0.238
2016/09/03,0.239
2016/09/04,0.239
2016/09/05,0.239
2016/09/06,0.239
2016/09/07,0.239
2016/09/08,0.239
2016/09/09,0.239
2016/09/10,0.238
2016/09/11,0.238
2016/09/12,0.238
2016/09/13,0.238
2016/09/14,0.238
2016/09/15,0.238
2016/09/16,0.238
2016/09/17,0.238
2016/09/18,0.241
2016/09/19,0.239
2016/09/20,0.238
2016/09/21,0.238
2016/09/22,0.24
2016/09/23,0.239
2016/09/24,0.24
2016/09/25,0.236
2016/09/26,0.239
2016/09/27,0.24
2016/09/28,0.24
2016/09/29,0.237
2016/09/30,0.239
2016/10/01,0.239
2016/10/02,0.24
2016/10/03,0.238
2016/10/04,0.238
2016/10/05,0.24
2016/10/06,0.241
2016/10/07,0.241
2016/10/08,0.239
2016/10/09,0.239
2016/10/10,0.24
2016/10/11,0.24
2016/10/12,0.24
2016/10/13,0.239
2016/10/14,0.238
2016/10/15,0.238
2016/10/16,0.238
2016/10/17,0.239
2016/10/18,0.239
2016/10/19,0.239
2016/10/20,0.238
2016/10/21,0.238
2016/10/22,0.238
2016/10/23,0.239
2016/10/24,0.238
2016/10/25,0.238
2016/10/26,0.237
2016/10/27,0.238
2016/10/28,0.239
2016/10/29,0.241
2016/10/30,0.241
2016/10/31,0.241
2016/11/01,0.242
2016/11/02,0.243
2016/11/03,0.243
2016/11/04,0.243
2016/11/05,0.241
2016/11/06,0.241
2016/11/07,0.24
2016/11/08,0.238
2016/11/09,0.238
2016/11/10,0.238
2016/11/11,0.238
2016/11/12,0.237
2016/11/13,0.236
2016/11/14,0.238
2016/11/15,0.239
2016/11/16,0.238
2016/11/17,0.239
2016/11/18,0.237
2016/11/19,0.237
2016/11/20,0.237
2016/11/21,0.237
2016/11/22,0.237
2016/11/23,0.238
2016/11/24,0.238
2016/11/25,0.239
2016/11/26,0.24
2016/11/27,0.242
2016/11/28,0.242
2016/11/29,0.241
2016/11/30,0.24
2016/12/01,0.239
2016/12/02,0.239
2016/12/03,0.238
2016/12/04,0.238
2016/12/05,0.238
2016/12/06,0.238
2016/12/07,0.238
2016/12/08,0.237
2016/12/09,0.237
2016/12/10,0.238
2016/12/11,0.237
2016/12/12,0.237
2016/12/13,0.237
2016/12/14,0.237
2016/12/15,0.238
2016/12/16,0.238
2016/12/17,0.238
2016/12/18,0.238
2016/12/19,0.237
2016/12/20,0.237
2016/12/21,0.237
2016/12/22,0.238
2016/12/23,0.238
2016/12/24,0.239
2016/12/25,0.239
2016/12/26,0.239
2016/12/27,0.239
2016/12/28,0.239
2016/12/29,0.238
2016/12/30,0.238
2016/12/31,0.238
2017/01/01,0.238
2017/01/02,0.238
2017/01/03,0.238
2017/01/04,0.237
2017/01/05,0.237
2017/01/06,0.238
2017/01/07,0.237
2017/01/08,0.237
2017/01/09,0.237
2017/01/10,0.237
2017/01/11,0.238
2017/01/12,0.238
2017/01/13,0.237
2017/01/14,0.237
2017/01/15,0.237
2017/01/16,0.237
2017/01/17,0.238
2017/01/18,0.238
2017/01/19,0.237
2017/01/20,0.238
2017/01/21,0.238
2017/01/22,0.238
2017/01/23,0.238
2017/01/24,0.238
2017/01/25,0.238
2017/01/26,0.239
2017/01/27,0.238
2017/01/28,0.238
2017/01/29,0.239
2017/01/30,0.239
2017/01/31,0.239
2017/02/01,0.239
2017/02/02,0.239
2017/02/03,0.239
2017/02/04,0.239
2017/02/05,0.238
2017/02/06,0.238
2017/02/07,0.239
2017/02/08,0.238
2017/02/09,0.238
2017/02/10,0.238
2017/02/11,0.238
2017/02/12,0.238
2017/02/13,0.238
2017/02/14,0.238
2017/02/15,0.238
2017/02/16,0.238
2017/02/17,0.238
2017/02/18,0.238
2017/02/19,0.239
2017/02/20,0.239
2017/02/21,0.239
2017/02/22,0.239
2017/02/23,0.24
2017/02/24,0.24
2017/02/25,0.239
2017/02/26,0.239
2017/02/27,0.239
2017/02/28,0.239
2017/03/01,0.239
2017/03/02,0.239
2017/03/03,0.239
2017/03/04,0.239
2017/03/05,0.239
2017/03/06,0.239
2017/03/07,0.24
2017/03/08,0.239
2017/03/09,0.24
2017/03/10,0.241
2017/03/11,0.24
2017/03/12,0.241
2017/03/13,0.241
2017/03/14,0.241
2017/03/15,0.241
2017/03/16,0.241
2017/03/17,0.24
2017/03/18,0.24
2017/03/19,0.24
2017/03/20,0.24
2017/03/21,0.24
2017/03/22,0.24
2017/03/23,0.24
2017/03/24,0.241
2017/03/25,0.241
2017/03/26,0.241
2017/03/27,0.242
2017/03/28,0.242
2017/03/29,0.242
2017/03/30,0.242
2017/03/31,0.242
2017/04/01,0.242
2017/04/02,0.243
2017/04/03,0.243
2017/04/04,0.243
2017/04/05,0.243
2017/04/06,0.243
2017/04/07,0.243
2017/04/08,0.243
2017/04/09,0.243
2017/04/10,0.244
2017/04/11,0.245
2017/04/12,0.246
2017/04/13,0.247
2017/04/14,0.247
2017/04/15,0.248
2017/04/16,0.248
2017/04/17,0.247
2017/04/18,0.247
2017/04/19,0.248
2017/04/20,0.247
2017/04/21,0.248
2017/04/22,0.247
2017/04/23,0.247
2017/04/24,0.248
2017/04/25,0.248
2017/04/26,0.248
2017/04/27,0.249
2017/04/28,0.251
2017/04/29,0.252
2017/04/30,0.253
2017/05/01,0.254
2017/05/02,0.255
2017/05/03,0.255
2017/05/04,0.255
2017/05/05,0.255
2017/05/06,0.255
2017/05/07,0.254
2017/05/08,0.254
2017/05/09,0.254
2017/05/10,0.254
2017/05/11,0.254
2017/05/12,0.254
2017/05/13,0.254
2017/05/14,0.256
2017/05/15,0.258
2017/05/16,0.259
2017/05/17,0.262
2017/05/18,0.263
2017/05/19,0.265
2017/05/20,0.266
2017/05/21,0.265
2017/05/22,0.265
2017/05/23,0.265
2017/05/24,0.264
2017/05/25,0.264
2017/05/26,0.264
2017/05/27,0.264
2017/05/28,0.264
2017/05/29,0.263
2017/05/30,0.262
2017/05/31,0.262
2017/06/01,0.264
2017/06/02,0.267
2017/06/03,0.268
2017/06/04,0.271
2017/06/05,0.273
2017/06/06,0.276
2017/06/07,0.277
2017/06/08,0.277
2017/06/09,0.276
2017/06/10,0.275
2017/06/11,0.275
2017/06/12,0.275
2017/06/13,0.274
2017/06/14,0.274
2017/06/15,0.273
2017/06/16,0.272
2017/06/17,0.273
2017/06/18,0.272
2017/06/19,0.271
2017/06/20,0.274
2017/06/21,0.277
2017/06/22,0.28
2017/06/23,0.283
2017/06/24,0.286
2017/06/25,0.289
2017/06/26,0.292
2017/06/27,0.292
2017/06/28,0.291
2017/06/29,0.29
2017/06/30,0.289
2017/07/01,0.289
2017/07/02,0.288
2017/07/03,0.287
2017/07/04,0.286
2017/07/05,0.286
2017/07/06,0.286
2017/07/07,0.286
2017/07/08,0.285
2017/07/09,0.285
2017/07/10,0.289
2017/07/11,0.294
2017/07/12,0.298
2017/07/13,0.303
2017/07/14,0.308
2017/07/15,0.312
2017/07/16,0.317
2017/07/17,0.318
2017/07/18,0.318
2017/07/19,0.317
2017/07/20,0.315
2017/07/21,0.315
2017/07/22,0.315
2017/07/23,0.314
2017/07/24,0.313
2017/07/25,0.311
2017/07/26,0.311
2017/07/27,0.311
2017/07/28,0.31
2017/07/29,0.31
2017/07/30,0.309
2017/07/31,0.31
2017/08/01,0.316
2017/08/02,0.323
2017/08/03,0.33
2017/08/04,0.337
2017/08/05,0.344
2017/08/06,0.351
2017/08/07,0.356
2017/08/08,0.356
2017/08/09,0.355
2017/08/10,0.355
2017/08/11,0.354
2017/08/12,0.353
2017/08/13,0.352
2017/08/14,0.351
2017/08/15,0.351
2017/08/16,0.35
2017/08/17,0.349
2017/08/18,0.348
2017/08/19,0.347
2017/08/20,0.347
2017/08/21,0.345
2017/08/22,0.345
2017/08/23,0.344
2017/08/24,0.344
2017/08/25,0.352
2017/08/26,0.362
2017/08/27,0.371
2017/08/28,0.382
2017/08/29,0.391
2017/08/30,0.4
2017/08/31,0.411
2017/09/01,0.411
2017/09/02,0.41
2017/09/03,0.41
2017/09/04,0.409
2017/09/05,0.408
2017/09/06,0.409
2017/09/07,0.407
2017/09/08,0.406
2017/09/09,0.406
2017/09/10,0.405
2017/09/11,0.405
2017/09/12,0.404
2017/09/13,0.404
2017/09/14,0.403
2017/09/15,0.403
2017/09/16,0.402
2017/09/17,0.401
2017/09/18,0.401
2017/09/19,0.4
2017/09/20,0.399
2017/09/21,0.399
2017/09/22,0.41
2017/09/23,0.425
2017/09/24,0.438
2017/09/25,0.453
2017/09/26,0.467
2017/09/27,0.481
2017/09/28,0.496
2017/09/29,0.501
2017/09/30,0.502
2017/10/01,0.504
2017/10/02,0.503
2017/10/03,0.504
2017/10/04,0.505
2017/10/05,0.502
2017/10/06,0.502
2017/10/07,0.502
2017/10/08,0.501
2017/10/09,0.5
2017/10/10,0.499
2017/10/11,0.498
2017/10/12,0.499
2017/10/13,0.498
2017/10/14,0.497
2017/10/15,0.496
2017/10/16,0.47
2017/10/17,0.433
2017/10/18,0.396
2017/10/19,0.358
2017/10/20,0.32
2017/10/21,0.282
2017/10/22,0.244
2017/10/23,0.232
2017/10/24,0.231
2017/10/25,0.231
2017/10/26,0.231
2017/10/27,0.198
2017/10/28,0.165
2017/10/29,0.133
2017/10/30,0.1
2017/10/31,0.067
2017/11/01,0.067
2017/11/02,0.067
2017/11/03,0.1
2017/11/04,0.133
2017/11/05,0.166
2017/11/06,0.199
2017/11/07,0.232
2017/11/08,0.232
2017/11/09,0.231
2017/11/10,0.231
2017/11/11,0.231
2017/11/12,0.231
2017/11/13,0.231
2017/11/14,0.231
2017/11/15,0.231
2017/11/16,0.231
2017/11/17,0.232
2017/11/18,0.232
2017/11/19,0.232
2017/11/20,0.232
2017/11/21,0.232
2017/11/22,0.232
2017/11/23,0.232
2017/11/24,0.232
2017/11/25,0.232
2017/11/26,0.232
2017/11/27,0.233
2017/11/28,0.233
2017/11/29,0.234
2017/11/30,0.234
2017/12/01,0.235
2017/12/02,0.236
2017/12/03,0.236
2017/12/04,0.239
2017/12/05,0.242
2017/12/06,0.246
2017/12/07,0.248
2017/12/08,0.25
2017/12/09,0.251
2017/12/10,0.253
2017/12/11,0.252
2017/12/12,0.251
2017/12/13,0.25
2017/12/14,0.251
2017/12/15,0.251
2017/12/16,0.251
2017/12/17,0.251
2017/12/18,0.251
2017/12/19,0.251
2017/12/20,0.252
2017/12/21,0.253
2017/12/22,0.254
2017/12/23,0.253
2017/12/24,0.252
2017/12/25,0.25
2017/12/26,0.248
2017/12/27,0.245
2017/12/28,0.243
2017/12/29,0.242
2017/12/30,0.243
2017/12/31,0.244
2018/01/01,0.244
2018/01/02,0.246
2018/01/03,0.249
2018/01/04,0.251
2018/01/05,0.254
2018/01/06,0.257
2018/01/07,0.259
2018/01/08,0.262
2018/01/09,0.265
2018/01/10,0.266
2018/01/11,0.266
2018/01/12,0.265
2018/01/13,0.265
2018/01/14,0.265
2018/01/15,0.265
2018/01/16,0.264
2018/01/17,0.263
2018/01/18,0.262
2018/01/19,0.26
2018/01/20,0.257
2018/01/21,0.256
2018/01/22,0.253
2018/01/23,0.25
2018/01/24,0.248
2018/01/25,0.246
2018/01/26,0.244
2018/01/27,0.244
2018/01/28,0.242
2018/01/29,0.242
2018/01/30,0.242
2018/01/31,0.243
2018/02/01,0.244
2018/02/02,0.244
2018/02/03,0.244
2018/02/04,0.244
2018/02/05,0.244
2018/02/06,0.243
2018/02/07,0.243
2018/02/08,0.242
2018/02/09,0.242
2018/02/10,0.241
2018/02/11,0.241
2018/02/12,0.242
2018/02/13,0.242
2018/02/14,0.242
2018/02/15,0.242
2018/02/16,0.242
2018/02/17,0.242
2018/02/18,0.242
2018/02/19,0.242
2018/02/20,0.243
2018/02/21,0.243
2018/02/22,0.243
2018/02/23,0.244
2018/02/24,0.245
2018/02/25,0.245
2018/02/26,0.246
2018/02/27,0.246
2018/02/28,0.245
2018/03/01,0.245
2018/03/02,0.246
2018/03/03,0.245
2018/03/04,0.245
2018/03/05,0.244
2018/03/06,0.244
2018/03/07,0.244
2018/03/08,0.244
2018/03/09,0.244
2018/03/10,0.245
2018/03/11,0.244
2018/03/12,0.244
2018/03/13,0.245
2018/03/14,0.245
2018/03/15,0.245
2018/03/16,0.245
2018/03/17,0.245
2018/03/18,0.245
2018/03/19,0.244
2018/03/20,0.244
2018/03/21,0.243
2018/03/22,0.242
2018/03/23,0.242
2018/03/24,0.241
2018/03/25,0.24
2018/03/26,0.24
2018/03/27,0.24
2018/03/28,0.24
2018/03/29,0.241
2018/03/30,0.241
2018/03/31,0.241
2018/04/01,0.241
2018/04/02,0.241
2018/04/03,0.241
2018/04/04,0.24
2018/04/05,0.239
2018/04/06,0.238
2018/04/07,0.239
2018/04/08,0.238
2018/04/09,0.239
2018/04/10,0.238
2018/04/11,0.239
2018/04/12,0.24
2018/04/13,0.24
2018/04/14,0.241
2018/04/15,0.242
2018/04/16,0.242
2018/04/17,0.243
2018/04/18,0.244
2018/04/19,0.245
2018/04/20,0.246
2018/04/21,0.246
2018/04/22,0.247
2018/04/23,0.248
2018/04/24,0.248
2018/04/25,0.248
2018/04/26,0.248
2018/04/27,0.248
2018/04/28,0.249
2018/04/29,0.249
2018/04/30,0.25
2018/05/01,0.25
2018/05/02,0.251
2018/05/03,0.252
2018/05/04,0.253
2018/05/05,0.252
2018/05/06,0.253
2018/05/07,0.252
2018/05/08,0.251
2018/05/09,0.251
2018/05/10,0.251
2018/05/11,0.251
2018/05/12,0.25
2018/05/13,0.25
2018/05/14,0.252
2018/05/15,0.252
2018/05/16,0.252
2018/05/17,0.252
2018/05/18,0.253
2018/05/19,0.254
2018/05/20,0.255
2018/05/21,0.254
2018/05/22,0.255
2018/05/23,0.255
2018/05/24,0.256
2018/05/25,0.256
2018/05/26,0.255
2018/05/27,0.255
2018/05/28,0.255
2018/05/29,0.255
2018/05/30,0.255
2018/05/31,0.255
2018/06/01,0.255
2018/06/02,0.255
2018/06/03,0.255
2018/06/04,0.256
2018/06/05,0.256
2018/06/06,0.256
2018/06/07,0.256
2018/06/08,0.255
2018/06/09,0.256
2018/06/10,0.255
2018/06/11,0.256
2018/06/12,0.255
2018/06/13,0.254
2018/06/14,0.253
2018/06/15,0.253
2018/06/16,0.251
2018/06/17,0.249
2018/06/18,0.247
2018/06/19,0.247
2018/06/20,0.246
2018/06/21,0.246
2018/06/22,0.246
2018/06/23,0.245
2018/06/24,0.245
2018/06/25,0.247
2018/06/26,0.248
2018/06/27,0.247
2018/06/28,0.248
2018/06/29,0.248
2018/06/30,0.249
2018/07/01,0.249
2018/07/02,0.247
2018/07/03,0.247
2018/07/04,0.247
2018/07/05,0.247
2018/07/06,0.246
2018/07/07,0.247
2018/07/08,0.247
2018/07/09,0.248
2018/07/10,0.248
2018/07/11,0.247
2018/07/12,0.246
2018/07/13,0.246
2018/07/14,0.245
2018/07/15,0.242
2018/07/16,0.242
2018/07/17,0.242
2018/07/18,0.243
2018/07/19,0.244
2018/07/20,0.245
2018/07/21,0.245
2018/07/22,0.245
2018/07/23,0.245
2018/07/24,0.246
2018/07/25,0.245
2018/07/26,0.244
2018/07/27,0.244
2018/07/28,0.244
2018/07/29,0.244
2018/07/30,0.243
2018/07/31,0.243
2018/08/01,0.243
2018/08/02,0.243
2018/08/03,0.243
2018/08/04,0.243
2018/08/05,0.243
2018/08/06,0.243
2018/08/07,0.244
2018/08/08,0.243
2018/08/09,0.243
2018/08/10,0.243
2018/08/11,0.243
2018/08/12,0.244
2018/08/13,0.244
2018/08/14,0.243
2018/08/15,0.243
2018/08/16,0.243
2018/08/17,0.244
2018/08/18,0.244
2018/08/19,0.244
2018/08/20,0.243
2018/08/21,0.243
2018/08/22,0.243
2018/08/23,0.244
2018/08/24,0.243
2018/08/25,0.243
2018/08/26,0.243
2018/08/27,0.243
2018/08/28,0.243
2018/08/29,0.243
2018/08/30,0.243
2018/08/31,0.243
2018/09/01,0.243
2018/09/02,0.243
2018/09/03,0.243
2018/09/04,0.243
2018/09/05,0.242
2018/09/06,0.242
2018/09/07,0.242
2018/09/08,0.242
2018/09/09,0.242
2018/09/10,0.242
2018/09/11,0.241
2018/09/12,0.241
2018/09/13,0.241
2018/09/14,0.24
2018/09/15,0.24
2018/09/16,0.238
2018/09/17,0.238
2018/09/18,0.238
2018/09/19,0.238
2018/09/20,0.238
2018/09/21,0.238
2018/09/22,0.238
2018/09/23,0.238
2018/09/24,0.238
2018/09/25,0.237
2018/09/26,0.237
2018/09/27,0.237
2018/09/28,0.237
2018/09/29,0.236
2018/09/30,0.236
2018/10/01,0.236
2018/10/02,0.236
2018/10/03,0.236
2018/10/04,0.236
2018/10/05,0.235
2018/10/06,0.235
2018/10/07,0.234
2018/10/08,0.234
2018/10/09,0.234
2018/10/10,0.233
2018/10/11,0.233
2018/10/12,0.233
2018/10/13,0.233
2018/10/14,0.234
2018/10/15,0.234
2018/10/16,0.234
2018/10/17,0.234
2018/10/18,0.234
2018/10/19,0.235
2018/10/20,0.235
2018/10/21,0.235
2018/10/22,0.236
2018/10/23,0.235
2018/10/24,0.235
2018/10/25,0.235
2018/10/26,0.235
2018/10/27,0.235
2018/10/28,0.235
2018/10/29,0.235
2018/10/30,0.236
2018/10/31,0.236
2018/11/01,0.236
2018/11/02,0.236
2018/11/03,0.236
2018/11/04,0.236
2018/11/05,0.236
2018/11/06,0.236
2018/11/07,0.236
2018/11/08,0.236
2018/11/09,0.236
2018/11/10,0.236
2018/11/11,0.236
2018/11/12,0.236
2018/11/13,0.236
2018/11/14,0.236
2018/11/15,0.236
2018/11/16,0.235
2018/11/17,0.235
2018/11/18,0.235
2018/11/19,0.236
2018/11/20,0.237
2018/11/21,0.236
2018/11/22,0.236
2018/11/23,0.237
2018/11/24,0.237
2018/11/25,0.237
2018/11/26,0.236
2018/11/27,0.236
2018/11/28,0.237
2018/11/29,0.237
2018/11/30,0.237
2018/12/01,0.237
2018/12/02,0.238
2018/12/03,0.238
2018/12/04,0.238
2018/12/05,0.238
2018/12/06,0.238
2018/12/07,0.239
2018/12/08,0.239
2018/12/09,0.239
2018/12/10,0.238
2018/12/11,0.238
2018/12/12,0.238
2018/12/13,0.238
2018/12/14,0.237
2018/12/15,0.237
2018/12/16,0.237
2018/12/17,0.239
2018/12/18,0.24
2018/12/19,0.241
2018/12/20,0.242
2018/12/21,0.243
2018/12/22,0.244
2018/12/23,0.245
2018/12/24,0.245
2018/12/25,0.245
2018/12/26,0.244
2018/12/27,0.244
2018/12/28,0.243
2018/12/29,0.243
2018/12/30,0.243
2018/12/31,0.243
2019/01/01,0.243
2019/01/02,0.244
2019/01/03,0.246
2019/01/04,0.248
2019/01/05,0.25
2019/01/06,0.252
2019/01/07,0.254
2019/01/08,0.256
2019/01/09,0.258
2019/01/10,0.258
2019/01/11,0.258
2019/01/12,0.258
2019/01/13,0.258
2019/01/14,0.258
2019/01/15,0.257
2019/01/16,0.258
2019/01/17,0.258
2019/01/18,0.258
2019/01/19,0.257
2019/01/20,0.257
2019/01/21,0.261
2019/01/22,0.265
2019/01/23,0.269
2019/01/24,0.272
2019/01/25,0.276
2019/01/26,0.28
2019/01/27,0.285
2019/01/28,0.286
2019/01/29,0.288
2019/01/30,0.288
2019/01/31,0.29
2019/02/01,0.292
2019/02/02,0.293
2019/02/03,0.294
2019/02/04,0.294
2019/02/05,0.293
2019/02/06,0.294
2019/02/07,0.294
2019/02/08,0.293
2019/02/09,0.294
2019/02/10,0.299
2019/02/11,0.307
2019/02/12,0.313
2019/02/13,0.32
2019/02/14,0.328
2019/02/15,0.335
2019/02/16,0.342
2019/02/17,0.344
2019/02/18,0.344
2019/02/19,0.344
2019/02/20,0.343
2019/02/21,0.342
2019/02/22,0.341
2019/02/23,0.339
2019/02/24,0.338
2019/02/25,0.338
2019/02/26,0.338
2019/02/27,0.337
2019/02/28,0.336
2019/03/01,0.322
2019/03/02,0.307
2019/03/03,0.29
2019/03/04,0.274
2019/03/05,0.258
2019/03/06,0.242
2019/03/07,0.227
2019/03/08,0.225
2019/03/09,0.225
2019/03/10,0.224
2019/03/11,0.224
2019/03/12,0.224
2019/03/13,0.224
2019/03/14,0.224
2019/03/15,0.224
2019/03/16,0.223
2019/03/17,0.224
2019/03/18,0.224
2019/03/19,0.224
2019/03/20,0.224
2019/03/21,0.224
2019/03/22,0.224
2019/03/23,0.225
2019/03/24,0.224
2019/03/25,0.224
2019/03/26,0.224
2019/03/27,0.225
2019/03/28,0.225
2019/03/29,0.225
2019/03/30,0.225
2019/03/31,0.225
2019/04/01,0.225
2019/04/02,0.225
2019/04/03,0.226
2019/04/04,0.226
2019/04/05,0.225
2019/04/06,0.225
2019/04/07,0.225
2019/04/08,0.225
2019/04/09,0.224
2019/04/10,0.224
2019/04/11,0.224
2019/04/12,0.224
2019/04/13,0.224
2019/04/14,0.224
2019/04/15,0.224
2019/04/16,0.224
2019/04/17,0.224
2019/04/18,0.224
2019/04/19,0.224
2019/04/20,0.225
2019/04/21,0.224
2019/04/22,0.224
2019/04/23,0.225
2019/04/24,0.225
2019/04/25,0.225
2019/04/26,0.225
2019/04/27,0.224
2019/04/28,0.225
2019/04/29,0.224
2019/04/30,0.224
2019/05/01,0.223
2019/05/02,0.224
2019/05/03,0.224
2019/05/04,0.224
2019/05/05,0.224
2019/05/06,0.224
2019/05/07,0.224
2019/05/08,0.225
2019/05/09,0.225
2019/05/10,0.225
2019/05/11,0.226
2019/05/12,0.225
2019/05/13,0.225
2019/05/14,0.225
2019/05/15,0.224
2019/05/16,0.224
2019/05/17,0.224
2019/05/18,0.224
2019/05/19,0.225
2019/05/20,0.225
2019/05/21,0.225
2019/05/22,0.226
2019/05/23,0.226
2019/05/24,0.226
2019/05/25,0.225
2019/05/26,0.225
2019/05/27,0.225
2019/05/28,0.225
2019/05/29,0.224
2019/05/30,0.224
2019/05/31,0.224
2019/06/01,0.225
2019/06/02,0.225
2019/06/03,0.225
2019/06/04,0.225
2019/06/05,0.226
2019/06/06,0.225
2019/06/07,0.226
2019/06/08,0.226
2019/06/09,0.226
2019/06/10,0.225
2019/06/11,0.225
2019/06/12,0.225
2019/06/13,0.226
2019/06/14,0.225
2019/06/15,0.225
2019/06/16,0.225
2019/06/17,0.225
2019/06/18,0.225
2019/06/19,0.225
2019/06/20,0.225
2019/06/21,0.226
2019/06/22,0.225
2019/06/23,0.225
