Date,sentinusd3trxUSD
2018/08/17,-2.822
2018/08/18,-7.253
2018/08/19,-11.839
2018/08/20,-9.161
2018/08/21,-5.692
2018/08/22,-0.651
2018/08/23,-0.359
2018/08/24,-0.949
2018/08/25,-4.06
2018/08/26,-6.671
2018/08/27,-1.53
2018/08/28,1.595
2018/08/29,3.895
2018/08/30,2.594
2018/08/31,1.829
2018/09/01,-1.268
2018/09/02,-5.142
2018/09/03,1.323
2018/09/04,16.199
2018/09/05,14.316
2018/09/06,10.538
2018/09/07,4.646
2018/09/08,-1.417
2018/09/09,-4.779
2018/09/10,-4.596
2018/09/11,-3.709
2018/09/12,1.952
2018/09/13,0.219
2018/09/14,-1.743
2018/09/15,-5.994
2018/09/16,-9.39
2018/09/17,-6.292
2018/09/18,-4.067
2018/09/19,-3.985
2018/09/20,-1.384
2018/09/21,9.573
2018/09/22,4.668
2018/09/23,-0.905
2018/09/24,-0.474
2018/09/25,-0.739
2018/09/26,-1.073
2018/09/27,-2.094
2018/09/28,-1.927
2018/09/29,-3.299
2018/09/30,-4.166
2018/10/01,-4.981
2018/10/02,-6.259
2018/10/03,-2.572
2018/10/04,0.671
2018/10/05,1.071
2018/10/06,-2.529
2018/10/07,-5.642
2018/10/08,-0.434
2018/10/09,1.595
2018/10/10,2.386
2018/10/11,13.958
2018/10/12,8.913
2018/10/13,-1.067
2018/10/14,-6.582
2018/10/15,7.889
2018/10/16,8.308
2018/10/17,3.647
2018/10/18,2.935
2018/10/19,-1.527
2018/10/20,-5.356
2018/10/21,-3.49
2018/10/22,-3.756
2018/10/23,-3.117
2018/10/24,-2.715
2018/10/25,1.651
2018/10/26,0.785
2018/10/27,-5.384
2018/10/28,-8.773
2018/10/29,-2.179
2018/10/30,0.427
2018/10/31,1.7
2018/11/01,1.058
2018/11/02,2.569
2018/11/03,-2.8
2018/11/04,-2.541
2018/11/05,5.86
2018/11/06,6.234
2018/11/07,7.083
2018/11/08,3.244
2018/11/09,-0.115
2018/11/10,-5.406
2018/11/11,-8.023
2018/11/12,-2.609
2018/11/13,0.465
2018/11/14,10.358
2018/11/15,12.616
2018/11/16,5.571
2018/11/17,-3.517
2018/11/18,-5.455
2018/11/19,8.773
2018/11/20,16.043
2018/11/21,8.092
2018/11/22,-1.291
2018/11/23,-5.478
2018/11/24,-9.043
2018/11/25,-6.014
2018/11/26,-3.986
2018/11/27,-5.078
2018/11/28,-2.746
2018/11/29,0.529
2018/11/30,53.272
2018/12/01,47.39
2018/12/02,7.04
2018/12/03,-8.72
2018/12/04,-15.671
2018/12/05,-17.294
2018/12/06,-14.719
2018/12/07,-9.588
2018/12/08,-9.972
2018/12/09,-11.181
2018/12/10,-10.863
2018/12/11,-9.478
2018/12/12,-8.373
2018/12/13,-4.358
2018/12/14,-2.904
2018/12/15,-6.103
2018/12/16,-7.952
2018/12/17,0.978
2018/12/18,6.78
2018/12/19,15.588
2018/12/20,17.502
2018/12/21,15.639
2018/12/22,2.37
2018/12/23,0.115
2018/12/24,6.485
2018/12/25,1.088
2018/12/26,-3.876
2018/12/27,-3.811
2018/12/28,-2.053
2018/12/29,4.597
2018/12/30,-2.185
2018/12/31,-4.886
2019/01/01,-7.471
2019/01/02,-1.352
2019/01/03,2.239
2019/01/04,10.945
2019/01/05,15.856
2019/01/06,5.918
2019/01/07,0.574
2019/01/08,-3.148
2019/01/09,-5.165
2019/01/10,-2.603
2019/01/11,1.675
2019/01/12,-5.477
2019/01/13,-9.433
2019/01/14,-3.37
2019/01/15,-2.28
2019/01/16,-1.412
2019/01/17,-3.165
2019/01/18,-5.967
2019/01/19,-8.548
2019/01/20,-8.004
2019/01/21,-6.045
2019/01/22,-3.992
2019/01/23,-1.468
2019/01/24,2.488
2019/01/25,1.6
2019/01/26,-3.795
2019/01/27,-3.279
2019/01/28,5.743
2019/01/29,4.301
2019/01/30,2.631
2019/01/31,1.467
2019/02/01,-1.525
2019/02/02,-7.026
2019/02/03,-9.368
2019/02/04,-11.306
2019/02/05,-11.859
2019/02/06,-5.125
2019/02/07,-1.838
2019/02/08,6.588
2019/02/09,2.248
2019/02/10,1.128
2019/02/11,5.243
2019/02/12,3.697
2019/02/13,4.304
2019/02/14,3.044
2019/02/15,1.198
2019/02/16,-3.758
2019/02/17,-0.584
2019/02/18,15.644
2019/02/19,19.293
2019/02/20,11.73
2019/02/21,5.637
2019/02/22,2.196
2019/02/23,-2.653
2019/02/24,3.582
2019/02/25,10.288
2019/02/26,2.12
2019/02/27,1.586
2019/02/28,-0.702
2019/03/01,-4.375
2019/03/02,-8.081
2019/03/03,-8.484
2019/03/04,-3.39
2019/03/05,0.149
2019/03/06,1.492
2019/03/07,1.256
2019/03/08,2.332
2019/03/09,-0.672
2019/03/10,-3.27
2019/03/11,0.009
2019/03/12,1.788
2019/03/13,0.407
2019/03/14,0.524
2019/03/15,0.419
2019/03/16,-0.707
2019/03/17,-2.54
2019/03/18,1.808
2019/03/19,0.305
2019/03/20,4.722
2019/03/21,4.426
2019/03/22,0.777
2019/03/23,1.195
2019/03/24,-2.454
2019/03/25,1.171
2019/03/26,1.917
2019/03/27,0.713
2019/03/28,0.032
2019/03/29,1.312
2019/03/30,1.888
2019/03/31,-0.175
2019/04/01,0.046
2019/04/02,10.872
2019/04/03,17.23
2019/04/04,8.932
2019/04/05,2.428
2019/04/06,-4.128
2019/04/07,-4.691
2019/04/08,4.071
2019/04/09,6.451
2019/04/10,3.702
2019/04/11,0.997
2019/04/12,-2.393
2019/04/13,-7.886
2019/04/14,-9.933
2019/04/15,-5.68
2019/04/16,-3.381
2019/04/17,-1.792
2019/04/18,1.891
2019/04/19,1.878
2019/04/20,-1.129
2019/04/21,-2.397
2019/04/22,-0.261
2019/04/23,3.496
2019/04/24,8.211
