Date,transactionvalue14momUSD
2017/02/21,535.989
2017/02/22,411.662
2017/02/23,386.535
2017/02/24,887.005
2017/02/25,571.43
2017/02/26,719.331
2017/02/27,2301
2017/02/28,2209
2017/03/01,2165
2017/03/02,3813
2017/03/03,4388
2017/03/04,2915
2017/03/05,2405
2017/03/06,4612
2017/03/07,2352
2017/03/08,2963
2017/03/09,3299
2017/03/10,2535
2017/03/11,4059
2017/03/12,7047
2017/03/13,3717
2017/03/14,-43.209
2017/03/15,-211.684
2017/03/16,7161
2017/03/17,1877
2017/03/18,6703
2017/03/19,-591.466
2017/03/20,-1666
2017/03/21,3524
2017/03/22,2348
2017/03/23,1872
2017/03/24,4617
2017/03/25,2397
2017/03/26,-1970
2017/03/27,-376.274
2017/03/28,3609
2017/03/29,4529
2017/03/30,-2112
2017/03/31,217.914
2017/04/01,-4213
2017/04/02,6068
2017/04/03,4179
2017/04/04,-2434
2017/04/05,413.404
2017/04/06,2171
2017/04/07,-6005
2017/04/08,-3082
2017/04/09,-2114
2017/04/10,-939.836
2017/04/11,-1580
2017/04/12,-3078
2017/04/13,-6080
2017/04/14,-2919
2017/04/15,-3735
2017/04/16,-7265
2017/04/17,-6151
2017/04/18,808.047
2017/04/19,-703.023
2017/04/20,-1725
2017/04/21,2326
2017/04/22,445.959
2017/04/23,448.816
2017/04/24,389.48
2017/04/25,-693.187
2017/04/26,2102
2017/04/27,5027
2017/04/28,4842
2017/04/29,8474
2017/04/30,11007
2017/05/01,15581
2017/05/02,9042
2017/05/03,12239
2017/05/04,10649
2017/05/05,15080
2017/05/06,10193
2017/05/07,12831
2017/05/08,9328
2017/05/09,10212
2017/05/10,8297
2017/05/11,8528
2017/05/12,5797
2017/05/13,580.375
2017/05/14,-1366
2017/05/15,-4787
2017/05/16,2380
2017/05/17,-9207
2017/05/18,-10618
2017/05/19,-9405
2017/05/20,-5616
2017/05/21,-5830
2017/05/22,9626
2017/05/23,-323.651
2017/05/24,797.468
2017/05/25,-1461
2017/05/26,2336
2017/05/27,672.562
2017/05/28,-185.2
2017/05/29,-756.416
2017/05/30,-3654
2017/05/31,15613
2017/06/01,12325
2017/06/02,8241
2017/06/03,10241
2017/06/04,6849
2017/06/05,-2210
2017/06/06,11864
2017/06/07,6910
2017/06/08,5663
2017/06/09,2580
2017/06/10,3699
2017/06/11,6481
2017/06/12,21214
2017/06/13,16590
2017/06/14,-4504
2017/06/15,7178
2017/06/16,7041
2017/06/17,-4258
2017/06/18,-4291
2017/06/19,-8203
2017/06/20,-9038
2017/06/21,-13796
2017/06/22,-11538
2017/06/23,-7718
2017/06/24,-1231
2017/06/25,-11951
2017/06/26,-24135
2017/06/27,-18138
2017/06/28,-8711
2017/06/29,-12892
2017/06/30,-14153
2017/07/01,-5102
2017/07/02,-6394
2017/07/03,8882
2017/07/04,2816
2017/07/05,-1854
2017/07/06,-1061
2017/07/07,-4222
2017/07/08,-7197
2017/07/09,-1509
2017/07/10,-722.134
2017/07/11,-2652
2017/07/12,-1911
2017/07/13,4443
2017/07/14,8259
2017/07/15,9414
2017/07/16,8454
2017/07/17,-6940
2017/07/18,-120.448
2017/07/19,12286
2017/07/20,9308
2017/07/21,12304
2017/07/22,-2304
2017/07/23,2349
2017/07/24,9938
2017/07/25,11463
2017/07/26,7817
2017/07/27,1496
2017/07/28,-212.764
2017/07/29,1433
2017/07/30,-2387
2017/07/31,-8948
2017/08/01,-10174
2017/08/02,-10527
2017/08/03,-10731
2017/08/04,-13381
2017/08/05,3322
2017/08/06,2461
2017/08/07,-8669
2017/08/08,-10453
2017/08/09,-5183
2017/08/10,1755
2017/08/11,19725
2017/08/12,4706
2017/08/13,13326
2017/08/14,10865
2017/08/15,4021
2017/08/16,2359
2017/08/17,3641
2017/08/18,3818
2017/08/19,797.175
2017/08/20,1019
2017/08/21,852.803
2017/08/22,77.171
2017/08/23,-749.128
2017/08/24,-9829
2017/08/25,-29551
2017/08/26,-19857
2017/08/27,-6656
2017/08/28,8828
2017/08/29,5740
2017/08/30,22935
2017/08/31,5832
2017/09/01,4991
2017/09/02,5791
2017/09/03,2719
2017/09/04,1526
2017/09/05,1033
2017/09/06,-246.298
2017/09/07,-2329
2017/09/08,-589.922
2017/09/09,9798
2017/09/10,-4934
2017/09/11,-14404
2017/09/12,-7911
2017/09/13,-26570
2017/09/14,-6631
2017/09/15,-6056
2017/09/16,-8022
2017/09/17,-1886
2017/09/18,2988
2017/09/19,1790
2017/09/20,-2417
2017/09/21,-423.519
2017/09/22,-1031
2017/09/23,-7690
2017/09/24,-8762
2017/09/25,-4292
2017/09/26,-3177
2017/09/27,1358
2017/09/28,-1088
2017/09/29,-2191
2017/09/30,-360.097
2017/10/01,-5634
2017/10/02,-7749
2017/10/03,7577
2017/10/04,5796
2017/10/05,676.38
2017/10/06,708.208
2017/10/07,57.684
2017/10/08,2269
2017/10/09,1608
2017/10/10,1316
2017/10/11,-78.073
2017/10/12,259.193
2017/10/13,4620
2017/10/14,3789
2017/10/15,4549
2017/10/16,-713.046
2017/10/17,-12999
2017/10/18,-4791
2017/10/19,-1003
2017/10/20,-2449
2017/10/21,-1227
2017/10/22,-2620
2017/10/23,-1672
2017/10/24,-1728
2017/10/25,-2060
2017/10/26,-2952
2017/10/27,-11949
2017/10/28,-10295
2017/10/29,-9289
2017/10/30,-6164
2017/10/31,-7121
2017/11/01,-1480
2017/11/02,640.972
2017/11/03,1237
2017/11/04,-366.062
2017/11/05,-620.283
2017/11/06,-2180
2017/11/07,-2713
2017/11/08,562.596
2017/11/09,6369
2017/11/10,9190
2017/11/11,9758
2017/11/12,12242
2017/11/13,7972
2017/11/14,7519
2017/11/15,2367
2017/11/16,1860
2017/11/17,2477
2017/11/18,2947
2017/11/19,4010
2017/11/20,5817
2017/11/21,6397
2017/11/22,4080
2017/11/23,-582.279
2017/11/24,2098
2017/11/25,3692
2017/11/26,980.551
2017/11/27,7451
2017/11/28,10336
2017/11/29,9271
2017/11/30,6871
2017/12/01,5097
2017/12/02,7272
2017/12/03,4632
2017/12/04,2171
2017/12/05,-4856
2017/12/06,-3263
2017/12/07,-4921
2017/12/08,-5970
2017/12/09,-8989
2017/12/10,-9237
2017/12/11,-11732
2017/12/12,-9495
2017/12/13,-11817
2017/12/14,-7959
2017/12/15,-7698
2017/12/16,-10164
2017/12/17,-7710
2017/12/18,-7128
2017/12/19,1937
2017/12/20,2626
2017/12/21,2940
2017/12/22,3568
2017/12/23,3094
2017/12/24,2505
2017/12/25,2280
2017/12/26,-246.211
2017/12/27,559.869
2017/12/28,266.53
2017/12/29,2471
2017/12/30,3721
2017/12/31,297.632
2018/01/01,337.477
2018/01/02,1814
2018/01/03,-512.345
2018/01/04,4272
2018/01/05,5401
2018/01/06,4974
2018/01/07,5046
2018/01/08,8414
2018/01/09,7520
2018/01/10,11161
2018/01/11,7068
2018/01/12,3882
2018/01/13,883.843
2018/01/14,24147
2018/01/15,6126
2018/01/16,3257
2018/01/17,1954
2018/01/18,-2302
2018/01/19,-5087
2018/01/20,-3608
2018/01/21,-3486
2018/01/22,-4931
