Date,mediantransactionvalue7rsiUSD
2017/08/31,72.306
2017/09/01,51.042
2017/09/02,49.174
2017/09/03,47.599
2017/09/04,47.006
2017/09/05,44.874
2017/09/06,35.154
2017/09/07,34.299
2017/09/08,31.039
2017/09/09,28.278
2017/09/10,40.944
2017/09/11,55.594
2017/09/12,56.266
2017/09/13,50.405
2017/09/14,50.665
2017/09/15,62.318
2017/09/16,48.914
2017/09/17,37.935
2017/09/18,41.769
2017/09/19,54.722
2017/09/20,54.912
2017/09/21,42.312
2017/09/22,44.702
2017/09/23,45.412
2017/09/24,40.004
2017/09/25,42.419
2017/09/26,40.674
2017/09/27,42.52
2017/09/28,42.627
2017/09/29,34.811
2017/09/30,34.395
2017/10/01,47.788
2017/10/02,54.495
2017/10/03,49.69
2017/10/04,50.92
2017/10/05,45.735
2017/10/06,45.934
2017/10/07,49.689
2017/10/08,49.725
2017/10/09,26.553
2017/10/10,51.337
2017/10/11,41.97
2017/10/12,37.986
2017/10/13,70.008
2017/10/14,52.977
2017/10/15,50.123
2017/10/16,36.095
2017/10/17,36.175
2017/10/18,36.148
2017/10/19,36.118
2017/10/20,36.118
2017/10/21,36.118
2017/10/22,36.654
2017/10/23,36.901
2017/10/24,36.386
2017/10/25,36.312
2017/10/26,36.312
2017/10/27,36.312
2017/10/28,36.312
2017/10/29,36.312
2017/10/30,36.312
2017/10/31,36.312
2017/11/01,36.312
2017/11/02,51.654
2017/11/03,40.322
2017/11/04,40.322
2017/11/05,40.322
2017/11/06,40.322
2017/11/07,40.322
2017/11/08,56.738
2017/11/09,68.404
2017/11/10,83.739
2017/11/11,48.193
2017/11/12,84.399
2017/11/13,54.093
2017/11/14,55.947
2017/11/15,63.272
2017/11/16,45.41
2017/11/17,56.486
2017/11/18,45.844
2017/11/19,49.972
2017/11/20,43.464
2017/11/21,59.758
2017/11/22,59.804
2017/11/23,61.007
2017/11/24,62.868
2017/11/25,41.126
2017/11/26,42.188
2017/11/27,61.256
2017/11/28,61.283
2017/11/29,69.624
2017/11/30,55.166
2017/12/01,47.258
2017/12/02,45.807
2017/12/03,43.343
2017/12/04,57.537
2017/12/05,59.658
2017/12/06,85.249
2017/12/07,51.473
2017/12/08,47.215
2017/12/09,44.6
2017/12/10,43.716
2017/12/11,45.905
2017/12/12,53.781
2017/12/13,62.25
2017/12/14,69.991
2017/12/15,61.108
2017/12/16,52.325
2017/12/17,53.315
2017/12/18,62.775
2017/12/19,70.759
2017/12/20,80.94
2017/12/21,81.096
2017/12/22,82.738
2017/12/23,46.085
2017/12/24,42.671
2017/12/25,40.893
2017/12/26,46.982
2017/12/27,50.917
2017/12/28,48.615
2017/12/29,68.703
2017/12/30,77.582
2017/12/31,45.866
2018/01/01,44.526
2018/01/02,55.871
2018/01/03,69.311
2018/01/04,84.204
2018/01/05,63.851
2018/01/06,51.108
2018/01/07,49.174
2018/01/08,51.85
2018/01/09,59.084
2018/01/10,60.202
2018/01/11,53.785
2018/01/12,43.25
2018/01/13,39.051
2018/01/14,37.931
2018/01/15,53.201
2018/01/16,59.419
2018/01/17,57.794
2018/01/18,48.591
2018/01/19,36.988
2018/01/20,33.506
2018/01/21,50.304
2018/01/22,42.405
2018/01/23,41.197
2018/01/24,40.765
2018/01/25,37.197
2018/01/26,45.762
2018/01/27,42.986
2018/01/28,40.85
2018/01/29,48.766
2018/01/30,47.781
2018/01/31,47.235
2018/02/01,61.841
2018/02/02,50.522
2018/02/03,41.031
2018/02/04,38.78
2018/02/05,43.753
2018/02/06,43.248
2018/02/07,41.626
2018/02/08,36.985
2018/02/09,37.43
2018/02/10,35.156
2018/02/11,30.682
2018/02/12,33.663
2018/02/13,37.381
2018/02/14,46.564
2018/02/15,47.729
2018/02/16,42.162
2018/02/17,34.368
2018/02/18,39.037
2018/02/19,35.611
2018/02/20,33.608
2018/02/21,37.303
2018/02/22,37.326
2018/02/23,37.207
2018/02/24,33.296
2018/02/25,33.7
2018/02/26,43.521
2018/02/27,43.732
2018/02/28,54.011
2018/03/01,45.157
2018/03/02,37.769
2018/03/03,37.161
2018/03/04,37.778
2018/03/05,46.999
2018/03/06,53.558
2018/03/07,75.268
2018/03/08,46.119
2018/03/09,50.66
2018/03/10,45.632
2018/03/11,42.03
2018/03/12,44.851
2018/03/13,42.639
2018/03/14,48.961
2018/03/15,47.807
2018/03/16,42.748
2018/03/17,42.736
2018/03/18,42.689
2018/03/19,47.798
2018/03/20,43.32
2018/03/21,43.934
2018/03/22,53.634
2018/03/23,53.106
2018/03/24,65.915
2018/03/25,46.273
2018/03/26,50.189
2018/03/27,48.237
2018/03/28,47.759
2018/03/29,59.708
2018/03/30,47.518
2018/03/31,41.857
2018/04/01,41.924
2018/04/02,41.932
2018/04/03,41.982
2018/04/04,41.048
2018/04/05,41.022
2018/04/06,41.02
2018/04/07,41.29
2018/04/08,41.079
2018/04/09,42.37
2018/04/10,45.03
2018/04/11,41.605
2018/04/12,42.26
2018/04/13,43.753
2018/04/14,41.572
2018/04/15,42.162
2018/04/16,45.715
2018/04/17,42.415
2018/04/18,42.88
2018/04/19,42.126
2018/04/20,42.126
2018/04/21,44
2018/04/22,45.128
2018/04/23,53.131
2018/04/24,46.87
2018/04/25,44.068
2018/04/26,42.108
2018/04/27,42.108
2018/04/28,42.108
2018/04/29,42.108
2018/04/30,67.377
2018/05/01,53.579
2018/05/02,62.344
2018/05/03,70.173
2018/05/04,99.589
2018/05/05,46.333
2018/05/06,46.783
2018/05/07,46.043
2018/05/08,46.02
2018/05/09,46.019
2018/05/10,45.979
2018/05/11,46.199
2018/05/12,45.98
2018/05/13,46.037
2018/05/14,48.412
2018/05/15,46.393
2018/05/16,46.254
2018/05/17,46.515
2018/05/18,46.864
2018/05/19,45.695
2018/05/20,45.695
2018/05/21,46.848
2018/05/22,45.716
2018/05/23,47.156
2018/05/24,47.09
2018/05/25,45.546
2018/05/26,45.519
2018/05/27,45.519
2018/05/28,49.589
2018/05/29,45.614
2018/05/30,49.556
2018/05/31,52.256
2018/06/01,47.164
2018/06/02,44.901
2018/06/03,44.901
2018/06/04,46.006
2018/06/05,44.955
2018/06/06,48.462
2018/06/07,45.108
2018/06/08,45.108
2018/06/09,45.108
2018/06/10,45.108
2018/06/11,46.881
2018/06/12,45.179
2018/06/13,45.179
2018/06/14,51.847
2018/06/15,48.501
2018/06/16,44.926
2018/06/17,44.926
2018/06/18,44.926
2018/06/19,44.926
2018/06/20,44.926
2018/06/21,44.932
2018/06/22,52.449
2018/06/23,45.243
2018/06/24,51.766
2018/06/25,48.156
2018/06/26,46.944
2018/06/27,44.717
2018/06/28,52.65
2018/06/29,59.497
2018/06/30,44.541
2018/07/01,44.541
2018/07/02,99.257
2018/07/03,46.144
2018/07/04,67.21
2018/07/05,49.295
2018/07/06,57.245
2018/07/07,47.493
2018/07/08,45.168
2018/07/09,45.041
2018/07/10,45.041
2018/07/11,45.041
2018/07/12,45.041
2018/07/13,45.041
2018/07/14,46.023
2018/07/15,54.109
2018/07/16,45.262
2018/07/17,45.262
2018/07/18,45.262
2018/07/19,45.262
2018/07/20,45.283
2018/07/21,45.283
2018/07/22,45.26
2018/07/23,45.26
2018/07/24,45.26
2018/07/25,45.26
2018/07/26,45.26
2018/07/27,45.26
2018/07/28,45.26
2018/07/29,45.26
2018/07/30,45.26
2018/07/31,45.684
2018/08/01,45.275
2018/08/02,45.275
2018/08/03,45.275
2018/08/04,45.275
2018/08/05,45.275
2018/08/06,45.275
2018/08/07,86.575
2018/08/08,98.376
2018/08/09,80.328
2018/08/10,53.409
