Date,transactions90sma
2017/08/07,223347
2017/08/08,225672
2017/08/09,227484
2017/08/10,230051
2017/08/11,232888
2017/08/12,235525
2017/08/13,237860
2017/08/14,241124
2017/08/15,244159
2017/08/16,247228
2017/08/17,250188
2017/08/18,253660
2017/08/19,256190
2017/08/20,257675
2017/08/21,259961
2017/08/22,261933
2017/08/23,264063
2017/08/24,266092
2017/08/25,268350
2017/08/26,270027
2017/08/27,271868
2017/08/28,273757
2017/08/29,275763
2017/08/30,277997
2017/08/31,280103
2017/09/01,282496
2017/09/02,284181
2017/09/03,285428
2017/09/04,288117
2017/09/05,290755
2017/09/06,294185
2017/09/07,296768
2017/09/08,299549
2017/09/09,301140
2017/09/10,301498
2017/09/11,302446
2017/09/12,304163
2017/09/13,305319
2017/09/14,306789
2017/09/15,309008
2017/09/16,310428
2017/09/17,310465
2017/09/18,311069
2017/09/19,312363
2017/09/20,312816
2017/09/21,313272
2017/09/22,313504
2017/09/23,313826
2017/09/24,313428
2017/09/25,314024
2017/09/26,314377
2017/09/27,314880
2017/09/28,315731
2017/09/29,316687
2017/09/30,317211
2017/10/01,317009
2017/10/02,317283
2017/10/03,317908
2017/10/04,318447
2017/10/05,318663
2017/10/06,319460
2017/10/07,320193
2017/10/08,320128
2017/10/09,320534
2017/10/10,321264
2017/10/11,322193
2017/10/12,323460
2017/10/13,325095
2017/10/14,326018
2017/10/15,326912
2017/10/16,328437
2017/10/17,331053
2017/10/18,333502
2017/10/19,336409
2017/10/20,340201
2017/10/21,342450
2017/10/22,344365
2017/10/23,346868
2017/10/24,349860
2017/10/25,352471
2017/10/26,354915
2017/10/27,352706
2017/10/28,350410
2017/10/29,347632
2017/10/30,345203
2017/10/31,342636
2017/11/01,345814
2017/11/02,348885
2017/11/03,351410
2017/11/04,352895
2017/11/05,354405
2017/11/06,356547
2017/11/07,358660
2017/11/08,360239
2017/11/09,361467
2017/11/10,362787
2017/11/11,363469
2017/11/12,363739
2017/11/13,364071
2017/11/14,364764
2017/11/15,366015
2017/11/16,366549
2017/11/17,368007
2017/11/18,369671
2017/11/19,370467
2017/11/20,372305
2017/11/21,373964
2017/11/22,376120
2017/11/23,378170
2017/11/24,380605
2017/11/25,383238
2017/11/26,385225
2017/11/27,387603
2017/11/28,390256
2017/11/29,393358
2017/11/30,396296
2017/12/01,399529
2017/12/02,403143
2017/12/03,405934
2017/12/04,408792
2017/12/05,410978
2017/12/06,414794
2017/12/07,416965
2017/12/08,421218
2017/12/09,425463
2017/12/10,429365
2017/12/11,434076
2017/12/12,439706
2017/12/13,445588
2017/12/14,451152
2017/12/15,457048
2017/12/16,463829
2017/12/17,469538
2017/12/18,476719
2017/12/19,485244
2017/12/20,492678
2017/12/21,501580
2017/12/22,510951
2017/12/23,518039
2017/12/24,523057
2017/12/25,528016
2017/12/26,533621
2017/12/27,540105
2017/12/28,547027
2017/12/29,555854
2017/12/30,565329
2017/12/31,572450
2018/01/01,578906
2018/01/02,588313
2018/01/03,598571
2018/01/04,610015
2018/01/05,620909
2018/01/06,631238
2018/01/07,640400
2018/01/08,650021
2018/01/09,660153
2018/01/10,669201
2018/01/11,678032
2018/01/12,686772
2018/01/13,696221
2018/01/14,703702
2018/01/15,711489
2018/01/16,720461
2018/01/17,729160
2018/01/18,736475
2018/01/19,742923
2018/01/20,749023
2018/01/21,755005
2018/01/22,760345
2018/01/23,765546
2018/01/24,770515
2018/01/25,779277
2018/01/26,789870
2018/01/27,799114
2018/01/28,808993
2018/01/29,819402
2018/01/30,823671
2018/01/31,827490
2018/02/01,833269
2018/02/02,839737
2018/02/03,844153
2018/02/04,847366
2018/02/05,851870
2018/02/06,856401
2018/02/07,860306
2018/02/08,862794
2018/02/09,867188
2018/02/10,871788
2018/02/11,875458
2018/02/12,879381
2018/02/13,881661
2018/02/14,884493
2018/02/15,887479
2018/02/16,890202
2018/02/17,893619
2018/02/18,896130
2018/02/19,899322
2018/02/20,903105
2018/02/21,906587
2018/02/22,909214
2018/02/23,911125
2018/02/24,913240
2018/02/25,914150
2018/02/26,915244
2018/02/27,915589
2018/02/28,916310
2018/03/01,916995
2018/03/02,918294
2018/03/03,918068
2018/03/04,917417
2018/03/05,918080
2018/03/06,917200
2018/03/07,918586
2018/03/08,917738
2018/03/09,917103
2018/03/10,915712
2018/03/11,913268
2018/03/12,911107
2018/03/13,908768
2018/03/14,905753
2018/03/15,902977
2018/03/16,900252
2018/03/17,897103
2018/03/18,893769
2018/03/19,889454
2018/03/20,885851
2018/03/21,881687
2018/03/22,876308
2018/03/23,873622
2018/03/24,872010
2018/03/25,869499
2018/03/26,867422
2018/03/27,863770
2018/03/28,859663
2018/03/29,854035
2018/03/30,848446
2018/03/31,844418
2018/04/01,840375
2018/04/02,834204
2018/04/03,827625
2018/04/04,819609
2018/04/05,813212
2018/04/06,806785
2018/04/07,799931
2018/04/08,793045
2018/04/09,785862
2018/04/10,779126
2018/04/11,772850
2018/04/12,768115
2018/04/13,763126
2018/04/14,757899
2018/04/15,751383
2018/04/16,744566
2018/04/17,738630
2018/04/18,733053
2018/04/19,730510
2018/04/20,728818
2018/04/21,725924
2018/04/22,723435
2018/04/23,722039
2018/04/24,720957
2018/04/25,721073
2018/04/26,719301
2018/04/27,718552
2018/04/28,717287
2018/04/29,715285
2018/04/30,713858
2018/05/01,712042
2018/05/02,709586
2018/05/03,708016
2018/05/04,710083
2018/05/05,709954
2018/05/06,707904
2018/05/07,706811
2018/05/08,706828
2018/05/09,708492
2018/05/10,709214
2018/05/11,708967
2018/05/12,709133
2018/05/13,708393
2018/05/14,709014
2018/05/15,709379
2018/05/16,709712
2018/05/17,711167
2018/05/18,711831
2018/05/19,712833
2018/05/20,712454
2018/05/21,711514
2018/05/22,711201
2018/05/23,711996
2018/05/24,712863
2018/05/25,713619
2018/05/26,714411
2018/05/27,714840
2018/05/28,716689
2018/05/29,717709
2018/05/30,719183
2018/05/31,720161
2018/06/01,721102
2018/06/02,722488
2018/06/03,723124
2018/06/04,724175
2018/06/05,724140
2018/06/06,724851
2018/06/07,726248
2018/06/08,727677
2018/06/09,729461
2018/06/10,730499
2018/06/11,731275
2018/06/12,732375
2018/06/13,733965
2018/06/14,735202
2018/06/15,737098
2018/06/16,736607
2018/06/17,735992
2018/06/18,736369
2018/06/19,737268
2018/06/20,739308
2018/06/21,740141
2018/06/22,741888
2018/06/23,743550
2018/06/24,744054
2018/06/25,746867
2018/06/26,748560
2018/06/27,750652
2018/06/28,751887
2018/06/29,753561
2018/06/30,754537
2018/07/01,754805
2018/07/02,753068
2018/07/03,752458
2018/07/04,749694
2018/07/05,748356
2018/07/06,747503
2018/07/07,746263
2018/07/08,746504
2018/07/09,747399
2018/07/10,748317
2018/07/11,747776
2018/07/12,745951
