Date,transactions90mom
2018/05/02,-221037
2018/05/03,-141332
2018/05/04,186040
2018/05/05,-11604
2018/05/06,-184488
2018/05/07,-98356
2018/05/08,1473
2018/05/09,149783
2018/05/10,65020
2018/05/11,-22291
2018/05/12,14991
2018/05/13,-66581
2018/05/14,55889
2018/05/15,32826
2018/05/16,29939
2018/05/17,131003
2018/05/18,59752
2018/05/19,90196
2018/05/20,-34101
2018/05/21,-84686
2018/05/22,-28095
2018/05/23,71484
2018/05/24,78083
2018/05/25,67977
2018/05/26,71350
2018/05/27,38571
2018/05/28,166419
2018/05/29,91815
2018/05/30,132614
2018/05/31,88050
2018/06/01,84652
2018/06/02,124776
2018/06/03,57241
2018/06/04,94574
2018/06/05,-3103
2018/06/06,63931
2018/06/07,125770
2018/06/08,128640
2018/06/09,160528
2018/06/10,93372
2018/06/11,69892
2018/06/12,99001
2018/06/13,143106
2018/06/14,111332
2018/06/15,170600
2018/06/16,-44189
2018/06/17,-55343
2018/06/18,33962
2018/06/19,80893
2018/06/20,183623
2018/06/21,74932
2018/06/22,157254
2018/06/23,149546
2018/06/24,45379
2018/06/25,253210
2018/06/26,152312
2018/06/27,188265
2018/06/28,111168
2018/06/29,150696
2018/06/30,87840
2018/07/01,24128
2018/07/02,-156365
2018/07/03,-54909
2018/07/04,-248759
2018/07/05,-120395
2018/07/06,-76790
2018/07/07,-111628
2018/07/08,21706
2018/07/09,80538
2018/07/10,82669
2018/07/11,-48686
2018/07/12,-164286
2018/07/13,-47871
2018/07/14,-111034
2018/07/15,-210696
2018/07/16,-38824
2018/07/17,-2001
2018/07/18,-68173
2018/07/19,-97518
2018/07/20,-74496
2018/07/21,-128224
2018/07/22,-127514
2018/07/23,-57629
2018/07/24,-14149
2018/07/25,-6346
2018/07/26,-38849
2018/07/27,13394
2018/07/28,-52678
2018/07/29,-61825
2018/07/30,43873
2018/07/31,-42659
2018/08/01,-81828
2018/08/02,-220598
2018/08/03,-36071
2018/08/04,29275
2018/08/05,-85614
2018/08/06,-120562
2018/08/07,-194785
2018/08/08,-289164
2018/08/09,-287569
2018/08/10,-174595
2018/08/11,-105127
2018/08/12,-159723
2018/08/13,-84269
2018/08/14,-116909
2018/08/15,-187196
2018/08/16,-115099
2018/08/17,-239018
2018/08/18,-149761
2018/08/19,-202551
2018/08/20,-158640
2018/08/21,-227738
2018/08/22,-216295
2018/08/23,-201281
2018/08/24,-165705
2018/08/25,-198785
2018/08/26,-286930
2018/08/27,-166293
2018/08/28,-203174
2018/08/29,-285875
2018/08/30,-165270
2018/08/31,-190759
2018/09/01,-153743
2018/09/02,-186898
2018/09/03,-149225
2018/09/04,-164549
2018/09/05,-148871
2018/09/06,-131058
2018/09/07,-187243
2018/09/08,-227943
2018/09/09,-203354
2018/09/10,-208619
2018/09/11,-240320
2018/09/12,-195243
2018/09/13,-208079
2018/09/14,-125381
2018/09/15,-168853
2018/09/16,-237321
2018/09/17,-225045
2018/09/18,-302563
2018/09/19,-244780
2018/09/20,-272311
2018/09/21,-131232
2018/09/22,-201685
2018/09/23,-368638
2018/09/24,-251833
2018/09/25,-252830
2018/09/26,-251277
2018/09/27,-231045
2018/09/28,-132611
2018/09/29,-188318
2018/09/30,-10208
2018/10/01,-97224
2018/10/02,43150
2018/10/03,31420
2018/10/04,100106
2018/10/05,111256
2018/10/06,-34640
2018/10/07,-154159
2018/10/08,-148929
2018/10/09,-106892
2018/10/10,-49286
2018/10/11,7208
2018/10/12,53189
2018/10/13,88091
2018/10/14,-192280
2018/10/15,-139281
2018/10/16,-170724
2018/10/17,-154360
2018/10/18,-105817
2018/10/19,-19515
2018/10/20,-141276
2018/10/21,-250643
2018/10/22,-207551
2018/10/23,-231296
2018/10/24,-192921
2018/10/25,-251517
2018/10/26,-152755
2018/10/27,-217143
2018/10/28,-247850
2018/10/29,-130368
2018/10/30,-149361
2018/10/31,-194221
2018/11/01,-164094
2018/11/02,-172014
2018/11/03,-199248
2018/11/04,-188688
2018/11/05,-53988
2018/11/06,31503
2018/11/07,26072
2018/11/08,-58500
2018/11/09,-109464
2018/11/10,-152807
2018/11/11,-167142
2018/11/12,-119186
2018/11/13,-94975
2018/11/14,-134551
2018/11/15,-44219
2018/11/16,-75490
2018/11/17,-94079
2018/11/18,-178968
2018/11/19,17303
2018/11/20,30880
2018/11/21,-20026
2018/11/22,-27332
2018/11/23,-17247
2018/11/24,-77031
2018/11/25,-116852
2018/11/26,-56480
2018/11/27,18984
2018/11/28,29733
2018/11/29,-21667
2018/11/30,-57215
2018/12/01,-94619
2018/12/02,-139019
2018/12/03,-41421
2018/12/04,-61755
2018/12/05,6978
2018/12/06,8739
2018/12/07,29080
2018/12/08,-13042
2018/12/09,-54025
2018/12/10,-1938
2018/12/11,-34667
2018/12/12,-21804
2018/12/13,51295
2018/12/14,87611
2018/12/15,93484
2018/12/16,-37023
2018/12/17,69538
2018/12/18,49065
2018/12/19,99579
2018/12/20,57743
2018/12/21,136217
2018/12/22,26924
2018/12/23,63318
2018/12/24,96443
2018/12/25,41494
2018/12/26,56000
2018/12/27,48041
2018/12/28,137874
2018/12/29,64395
2018/12/30,-15913
2018/12/31,31778
2019/01/01,-110838
2019/01/02,30778
2019/01/03,1232
2019/01/04,-47467
2019/01/05,13422
2019/01/06,-55470
2019/01/07,13936
2019/01/08,36595
2019/01/09,-11678
2019/01/10,20699
2019/01/11,41
2019/01/12,-59012
2019/01/13,-80664
2019/01/14,1818
2019/01/15,-40446
2019/01/16,-58104
2019/01/17,-84037
2019/01/18,4819
2019/01/19,31111
2019/01/20,-39609
2019/01/21,26520
2019/01/22,72849
2019/01/23,-3379
2019/01/24,-31088
2019/01/25,5738
2019/01/26,-45482
2019/01/27,-125881
2019/01/28,-39833
2019/01/29,-19681
2019/01/30,-33749
2019/01/31,-31477
2019/02/01,-6145
2019/02/02,-60534
2019/02/03,-157976
2019/02/04,-180772
2019/02/05,-149787
2019/02/06,-126327
2019/02/07,-119172
2019/02/08,-17168
2019/02/09,-110670
2019/02/10,-190011
2019/02/11,-124583
2019/02/12,-144070
2019/02/13,-71697
2019/02/14,-77250
2019/02/15,-36982
2019/02/16,-30492
2019/02/17,-174997
2019/02/18,-113297
2019/02/19,-45929
2019/02/20,-38627
2019/02/21,-15175
2019/02/22,33798
2019/02/23,-52813
2019/02/24,-17163
2019/02/25,7931
2019/02/26,-68655
2019/02/27,-16075
2019/02/28,-57581
2019/03/01,21974
2019/03/02,34502
2019/03/03,-55718
2019/03/04,55009
2019/03/05,2148
2019/03/06,-11991
2019/03/07,268
2019/03/08,9772
2019/03/09,48259
2019/03/10,-71341
2019/03/11,406
2019/03/12,30386
2019/03/13,7592
2019/03/14,6522
2019/03/15,1096
2019/03/16,-12514
2019/03/17,-75179
2019/03/18,17620
2019/03/19,38215
2019/03/20,27884
2019/03/21,11792
2019/03/22,133149
2019/03/23,18123
2019/03/24,-66478
2019/03/25,113669
2019/03/26,68963
2019/03/27,77537
2019/03/28,62178
2019/03/29,96606
2019/03/30,207572
2019/03/31,124190
2019/04/01,239406
2019/04/02,168941
2019/04/03,150012
2019/04/04,124122
2019/04/05,110735
2019/04/06,71667
2019/04/07,21922
2019/04/08,114633
2019/04/09,98028
2019/04/10,91231
2019/04/11,187194
2019/04/12,242064
2019/04/13,132944
2019/04/14,-26184
2019/04/15,82162
2019/04/16,148774
2019/04/17,164814
2019/04/18,158751
2019/04/19,154058
2019/04/20,149119
2019/04/21,48439
2019/04/22,113748
2019/04/23,195449
2019/04/24,148787
2019/04/25,175909
2019/04/26,196401
2019/04/27,73873
2019/04/28,24918
2019/04/29,62963
2019/04/30,152424
2019/05/01,186733
2019/05/02,127452
2019/05/03,220568
2019/05/04,199017
2019/05/05,221070
2019/05/06,291320
2019/05/07,228979
2019/05/08,258320
2019/05/09,246488
2019/05/10,319633
2019/05/11,361186
2019/05/12,286820
2019/05/13,320426
2019/05/14,339248
2019/05/15,372824
2019/05/16,439609
2019/05/17,356011
2019/05/18,287475
2019/05/19,239976
2019/05/20,326559
2019/05/21,282531
2019/05/22,328567
2019/05/23,315885
2019/05/24,427832
2019/05/25,299748
2019/05/26,189338
2019/05/27,387808
2019/05/28,371019
2019/05/29,406051
2019/05/30,344285
2019/05/31,343764
2019/06/01,464369
2019/06/02,270683
2019/06/03,290982
2019/06/04,313023
2019/06/05,226707
2019/06/06,262456
2019/06/07,202640
2019/06/08,508615
2019/06/09,179329
2019/06/10,399388
2019/06/11,356720
2019/06/12,286854
2019/06/13,196746
2019/06/14,321181
2019/06/15,444080
2019/06/16,315039
2019/06/17,308154
2019/06/18,219676
2019/06/19,267718
2019/06/20,356324
2019/06/21,215849
2019/06/22,209060
2019/06/23,124829
2019/06/24,180627
2019/06/25,306246
2019/06/26,214234
2019/06/27,173766
2019/06/28,336203
2019/06/29,87107
2019/06/30,-1616
2019/07/01,193085
2019/07/02,148449
2019/07/03,79707
2019/07/04,125590
2019/07/05,290041
2019/07/06,181154
2019/07/07,-85933
2019/07/08,152921
2019/07/09,97885
2019/07/10,7064
2019/07/11,280517
2019/07/12,112101
2019/07/13,36228
2019/07/14,-8568
2019/07/15,86833
2019/07/16,321382
2019/07/17,132379
