Date,median_transaction_fee7rsiUSD
2017/08/15,63.068
2017/08/16,81.401
2017/08/17,62.201
2017/08/18,75.818
2017/08/19,47.041
2017/08/20,46.587
2017/08/21,50.514
2017/08/22,49.103
2017/08/23,47.964
2017/08/24,48.683
2017/08/25,54.074
2017/08/26,50.25
2017/08/27,51.918
2017/08/28,54.432
2017/08/29,70.079
2017/08/30,75.553
2017/08/31,88.33
2017/09/01,67.988
2017/09/02,57.3
2017/09/03,44.588
2017/09/04,48.229
2017/09/05,50.922
2017/09/06,69.677
2017/09/07,70.147
2017/09/08,76.045
2017/09/09,49.015
2017/09/10,42.579
2017/09/11,36.492
2017/09/12,40.369
2017/09/13,36.044
2017/09/14,36.861
2017/09/15,45.225
2017/09/16,59.123
2017/09/17,54.796
2017/09/18,47.592
2017/09/19,39.003
2017/09/20,45.326
2017/09/21,39.061
2017/09/22,37.843
2017/09/23,37.836
2017/09/24,47.805
2017/09/25,44.687
2017/09/26,49.351
2017/09/27,45.898
2017/09/28,45.341
2017/09/29,42.469
2017/09/30,61.134
2017/10/01,51.648
2017/10/02,49.236
2017/10/03,50.519
2017/10/04,52.271
2017/10/05,44.409
2017/10/06,59.544
2017/10/07,49.709
2017/10/08,50.698
2017/10/09,50.697
2017/10/10,43.188
2017/10/11,48.496
2017/10/12,51.175
2017/10/13,63.655
2017/10/14,65.802
2017/10/15,53.864
2017/10/16,40.005
2017/10/17,26.05
2017/10/18,26.234
2017/10/19,21.434
2017/10/20,24.435
2017/10/21,21.15
2017/10/22,18.603
2017/10/23,43.497
2017/10/24,46.223
2017/10/25,35.248
2017/10/26,32.947
2017/10/27,21.448
2017/10/28,21.448
2017/10/29,21.448
2017/10/30,21.448
2017/10/31,21.448
2017/11/01,68.643
2017/11/02,70.131
2017/11/03,56.016
2017/11/04,48.538
2017/11/05,45.322
2017/11/06,38.787
2017/11/07,51.481
2017/11/08,63.512
2017/11/09,67.553
2017/11/10,59.437
2017/11/11,63.505
2017/11/12,63.695
2017/11/13,64.354
2017/11/14,65.92
2017/11/15,66.952
2017/11/16,64.963
2017/11/17,56.347
2017/11/18,44.973
2017/11/19,63.463
2017/11/20,64.295
2017/11/21,64.925
2017/11/22,65.191
2017/11/23,70.537
2017/11/24,75.027
2017/11/25,51.533
2017/11/26,67.506
2017/11/27,69.31
2017/11/28,68.117
2017/11/29,68.232
2017/11/30,57.412
2017/12/01,59.256
2017/12/02,49.758
2017/12/03,61.994
2017/12/04,65.143
2017/12/05,83.232
2017/12/06,89.955
2017/12/07,94.832
2017/12/08,95.152
2017/12/09,95.706
2017/12/10,63.336
2017/12/11,51.64
2017/12/12,62.288
2017/12/13,53.776
2017/12/14,71.007
2017/12/15,66.855
2017/12/16,57.297
2017/12/17,41.905
2017/12/18,38.815
2017/12/19,57.136
2017/12/20,61.547
2017/12/21,62.077
2017/12/22,52.923
