Date,transactionvalue3rsiUSD
2018/03/15,42.955
2018/03/16,29.681
2018/03/17,27.57
2018/03/18,69.014
2018/03/19,52.155
2018/03/20,42.453
2018/03/21,36.696
2018/03/22,32.243
2018/03/23,52.659
2018/03/24,23.927
2018/03/25,21.635
2018/03/26,65.023
2018/03/27,78.148
2018/03/28,72.711
2018/03/29,62.386
2018/03/30,30.95
2018/03/31,18.332
2018/04/01,14.877
2018/04/02,20.792
2018/04/03,39.554
2018/04/04,33.059
2018/04/05,15.936
2018/04/06,26.771
2018/04/07,18.302
2018/04/08,53.198
2018/04/09,71.957
2018/04/10,50.997
2018/04/11,65.159
2018/04/12,86.06
2018/04/13,87.637
2018/04/14,29.462
2018/04/15,43.631
2018/04/16,51.094
2018/04/17,43.836
2018/04/18,68.107
2018/04/19,58.761
2018/04/20,78.793
2018/04/21,58.396
2018/04/22,31.78
2018/04/23,82.693
2018/04/24,73.048
2018/04/25,57.29
2018/04/26,37.686
2018/04/27,50.845
2018/04/28,36.821
2018/04/29,33.396
2018/04/30,57.39
2018/05/01,54.093
2018/05/02,82.551
2018/05/03,86.987
2018/05/04,45.982
2018/05/05,33.945
2018/05/06,32.364
2018/05/07,80.006
2018/05/08,42.748
2018/05/09,45.23
2018/05/10,40.829
2018/05/11,38.643
2018/05/12,18.247
2018/05/13,12.698
2018/05/14,64.05
2018/05/15,57.331
2018/05/16,37.591
2018/05/17,36.314
2018/05/18,31.676
2018/05/19,16.497
2018/05/20,37.051
2018/05/21,62.654
2018/05/22,78.745
2018/05/23,83.978
2018/05/24,42.907
2018/05/25,33.601
2018/05/26,21.694
2018/05/27,54.664
2018/05/28,66.924
2018/05/29,49.541
2018/05/30,49.462
2018/05/31,57.084
2018/06/01,79.659
2018/06/02,25.067
2018/06/03,21.342
2018/06/04,60.473
2018/06/05,63.087
2018/06/06,72.553
2018/06/07,60.491
2018/06/08,74.678
2018/06/09,24.044
2018/06/10,44.541
2018/06/11,54.285
2018/06/12,73.302
2018/06/13,82.783
2018/06/14,85.317
2018/06/15,61.118
2018/06/16,22.122
2018/06/17,17.123
2018/06/18,32.897
2018/06/19,44.149
2018/06/20,48.283
2018/06/21,44.095
2018/06/22,65.265
2018/06/23,24.067
2018/06/24,54.197
2018/06/25,52.863
2018/06/26,42.452
2018/06/27,33.92
2018/06/28,30.817
2018/06/29,59.126
2018/06/30,26.84
2018/07/01,19.729
2018/07/02,68.858
2018/07/03,74.526
