Date,hashrate14std
2019/03/10,4696302489898
2019/03/11,5152839103495
2019/03/12,5231521388161
2019/03/13,5460340516330
2019/03/14,4523537668819
2019/03/15,4615593704108
2019/03/16,4618256708402
2019/03/17,4578312672528
2019/03/18,4646245890048
2019/03/19,5266992204312
2019/03/20,5184478448287
2019/03/21,5030695173301
2019/03/22,4530055220526
2019/03/23,4571588900913
2019/03/24,4107526329697
2019/03/25,4139341496249
2019/03/26,5042685140683
2019/03/27,5923357438693
2019/03/28,6652433279516
2019/03/29,7106216807642
2019/03/30,7722083332108
2019/03/31,7982679800877
2019/04/01,7647725021123
2019/04/02,7656946188171
2019/04/03,6907302148420
2019/04/04,6679025256903
2019/04/05,6518519080460
2019/04/06,6383326558183
2019/04/07,6157776942174
2019/04/08,6083521962421
2019/04/09,6510062968166
2019/04/10,7472535416237
2019/04/11,7948849056695
2019/04/12,8101314853603
2019/04/13,7276997475524
2019/04/14,6498914482717
2019/04/15,7202048030389
2019/04/16,6877703099621
2019/04/17,5815934193941
2019/04/18,5716917435751
2019/04/19,5332302319741
2019/04/20,5056448058882
2019/04/21,4500722435040
2019/04/22,4098395015258
2019/04/23,3764544929310
2019/04/24,4109635863003
2019/04/25,4317731604224
2019/04/26,4357314248920
2019/04/27,4310042948520
2019/04/28,3843807166592
2019/04/29,3331774960140
2019/04/30,3845790004278
2019/05/01,4057791641161
2019/05/02,3795124832922
2019/05/03,3841180326130
2019/05/04,4999863791940
2019/05/05,5575168961372
2019/05/06,5579826824763
2019/05/07,5800435336978
2019/05/08,5281822763162
2019/05/09,4705289754574
2019/05/10,4180790288678
2019/05/11,4125320725516
2019/05/12,4107580000364
2019/05/13,4058831389959
2019/05/14,5226274586917
2019/05/15,6612440331529
2019/05/16,6962052442359
2019/05/17,9419580587467
2019/05/18,11831261656110
2019/05/19,12671692587659
2019/05/20,12323027188822
2019/05/21,12011021359861
2019/05/22,11409039811900
2019/05/23,10581751516148
2019/05/24,9823587946140
2019/05/25,8826859068938
2019/05/26,8383132478207
2019/05/27,7193961725279
2019/05/28,7133942397607
2019/05/29,7964483774050
2019/05/30,7838024652453
2019/05/31,7517889201447
2019/06/01,6977016811628
2019/06/02,7351270209227
2019/06/03,7428233135908
2019/06/04,7351265129306
2019/06/05,7527720450079
2019/06/06,7566502863680
2019/06/07,6920943717769
2019/06/08,6806440047135
2019/06/09,7095020642539
2019/06/10,7188976500202
2019/06/11,7150281404454
2019/06/12,6774623456124
2019/06/13,7313410001275
2019/06/14,7201799076403
2019/06/15,6800263420337
2019/06/16,5543882132333
2019/06/17,5542215361817
2019/06/18,5535464899973
2019/06/19,5555962655919
2019/06/20,4327023764986
2019/06/21,2925082930780
2019/06/22,2776558030060
2019/06/23,2807868297326
2019/06/24,3626236321809
2019/06/25,4711367661693
2019/06/26,8116243599877
2019/06/27,9310790994237
2019/06/28,9629428627323
2019/06/29,10709397144340
2019/06/30,11371336562501
2019/07/01,11488700413021
2019/07/02,11489998425528
2019/07/03,11140059686056
2019/07/04,10542194299637
2019/07/05,9087090939967
2019/07/06,7489388778445
2019/07/07,5843738029000
2019/07/08,5075485461543
2019/07/09,4496783813719
2019/07/10,4615912485394
2019/07/11,5844125187397
2019/07/12,6462970635422
2019/07/13,6982447764984
2019/07/14,8175754915891
2019/07/15,8583374144118
2019/07/16,8582258105641
2019/07/17,8330687694038
2019/07/18,7691282893436
2019/07/19,6739440374555
2019/07/20,6626671208265
2019/07/21,6387769362173
2019/07/22,5870341021200
2019/07/23,5770284304133
2019/07/24,5662600747000
2019/07/25,5645563632801
2019/07/26,5668437292421
2019/07/27,5739334317988
2019/07/28,4939681399226
2019/07/29,4524039340933
2019/07/30,4949027564791
2019/07/31,4675993740216
2019/08/01,4432243975559
2019/08/02,4289814324780
2019/08/03,4373084296358
2019/08/04,4759862671889
2019/08/05,5465281644637
2019/08/06,6088730005150
2019/08/07,6945449655866
2019/08/08,7138713519129
2019/08/09,6795167151740
2019/08/10,7688456929002
2019/08/11,7517053324087
2019/08/12,7390581505223
2019/08/13,7566649704587
2019/08/14,6806749705725
2019/08/15,4991144507088
2019/08/16,3625507875298
2019/08/17,3256335811090
2019/08/18,3568140122212
2019/08/19,3951024448374
2019/08/20,4516743391755
2019/08/21,5134213049056
2019/08/22,7597478300119
2019/08/23,7848495212992
2019/08/24,8324999746060
2019/08/25,8727098720685
2019/08/26,8392651675745
2019/08/27,9059684724370
2019/08/28,8939308751496
2019/08/29,8516447318253
2019/08/30,8181252541744
2019/08/31,6343969173205
2019/09/01,6122558447066
2019/09/02,5928755107627
2019/09/03,5964659640394
2019/09/04,5945800708518
2019/09/05,5394918346734
2019/09/06,5705741624298
2019/09/07,5935531971312
2019/09/08,6101487898037
2019/09/09,6101388099049
2019/09/10,4820256146893
2019/09/11,4292510733398
2019/09/12,5733948969062
2019/09/13,5841924082887
2019/09/14,6617918127274
2019/09/15,6835504015768
2019/09/16,8404873560671
2019/09/17,10251475295904
2019/09/18,12105724483590
2019/09/19,12410167672364
2019/09/20,11786454241345
2019/09/21,13470815384234
2019/09/22,13381025241967
2019/09/23,13414679121122
2019/09/24,12097010151098
2019/09/25,10942600792078
2019/09/26,10900567899848
2019/09/27,9247061742446
2019/09/28,8155344782707
2019/09/29,5927039284451
2019/09/30,5249535834717
2019/10/01,5043003973890
2019/10/02,6081751299731
2019/10/03,6955523618746
2019/10/04,7581904937007
2019/10/05,7373981402441
2019/10/06,7563447480945
2019/10/07,7054865534520
2019/10/08,7636721276123
2019/10/09,7634171486979
2019/10/10,6757174412393
2019/10/11,6615223668303
2019/10/12,5987412464357
2019/10/13,5662375033126
2019/10/14,5231536409327
2019/10/15,7159468465284
2019/10/16,7481080720265
2019/10/17,7467125681925
2019/10/18,7588708043643
2019/10/19,7684200166569
2019/10/20,7818174451639
2019/10/21,8036853680800
2019/10/22,7848049574829
2019/10/23,7491451142824
2019/10/24,7434247716496
2019/10/25,8491300827892
2019/10/26,8434673173421
2019/10/27,9364466345540
2019/10/28,9738757994496
2019/10/29,8203747131256
2019/10/30,7666435253275
2019/10/31,7198103080062
2019/11/01,7277852806058
2019/11/02,6760909949263
2019/11/03,6011783709373
2019/11/04,6369632529097
2019/11/05,6409814221030
2019/11/06,5010679221072
2019/11/07,4804211048914
2019/11/08,4399431659666
2019/11/09,4398922174994
2019/11/10,3752604250992
2019/11/11,3917431297913
2019/11/12,3877817885440
2019/11/13,4037852109925
2019/11/14,3901226992465
2019/11/15,3431393839593
2019/11/16,4348411751159
2019/11/17,4332640774383
2019/11/18,4101432065752
2019/11/19,6806502033240
2019/11/20,8767986325053
2019/11/21,8518965609033
2019/11/22,8883026829825
2019/11/23,8871333090325
2019/11/24,8764853066290
2019/11/25,8755557103316
2019/11/26,10848245328530
2019/11/27,10146072199118
2019/11/28,10031603977552
2019/11/29,9949562274433
2019/11/30,9927921112630
2019/12/01,9435475377620
2019/12/02,8046855957695
2019/12/03,8105074162818
2019/12/04,7986747925810
2019/12/05,7450824675767
2019/12/06,7775730170560
2019/12/07,7307609959404
2019/12/08,7326644603592
2019/12/09,5420070961961
2019/12/10,5404806928735
2019/12/11,5558458472010
2019/12/12,5558620229784
2019/12/13,5558057988807
2019/12/14,5515671218317
2019/12/15,5410011623324
2019/12/16,5410377311453
2019/12/17,6560239223158
2019/12/18,10163451240837
2019/12/19,12636361246317
2019/12/20,15873154388001
2019/12/21,16747183718003
2019/12/22,18274586565201
2019/12/23,19101544292125
2019/12/24,18297681653600
2019/12/25,18918358713256
2019/12/26,18725179614904
2019/12/27,17641268559168
2019/12/28,15035939077336
2019/12/29,11705565256851
2019/12/30,7223001880994
2019/12/31,4555035139728
2020/01/01,5124545639992
2020/01/02,4598962686236
2020/01/03,5240199212121
2020/01/04,8346824179333
2020/01/05,9047156586819
2020/01/06,10154749463006
2020/01/07,11873243777857
2020/01/08,12092727863130
2020/01/09,11516185827846
2020/01/10,11576621185297
2020/01/11,11998167215610
2020/01/12,12012261463839
2020/01/13,11811648565201
2020/01/14,10965956077238
2020/01/15,7792894695441
2020/01/16,5535419545209
2020/01/17,4441399516746
2020/01/18,4397726188081
2020/01/19,3826808928565
2020/01/20,3730664399688
2020/01/21,3771773575964
2020/01/22,3697827844117
2020/01/23,2034674975810
2020/01/24,2355466597180
2020/01/25,2330065001959
2020/01/26,2561661868856
2020/01/27,2540356683757
2020/01/28,3155352503268
2020/01/29,2985353130015
2020/01/30,3526209668796
2020/01/31,3467779838899
2020/02/01,3999837808224
2020/02/02,4045720780041
2020/02/03,4048574677009
2020/02/04,4440301049152
2020/02/05,4473469485641
2020/02/06,4538692308156
2020/02/07,4345401772840
2020/02/08,4940523192706
2020/02/09,4916316857723
2020/02/10,5213885710442
2020/02/11,5367093589208
2020/02/12,6026942239623
2020/02/13,6524222790663
2020/02/14,7382969524902
2020/02/15,6964163706131
2020/02/16,7688134888829
2020/02/17,7875395037040
2020/02/18,8482855866213
2020/02/19,10623665119291
2020/02/20,10459427654747
2020/02/21,9660758822606
2020/02/22,9719214547259
2020/02/23,8596298514157
2020/02/24,7853670240862
2020/02/25,6890890404744
2020/02/26,5962759713530
2020/02/27,6527341251040
2020/02/28,6315646995236
2020/02/29,5940879340782
2020/03/01,5706431487846
2020/03/02,5464289423985
2020/03/03,5270515442363
2020/03/04,4483084232888
2020/03/05,4448943270824
