Date,fee_to_reward30rocUSD
2017/07/03,85.4
2017/07/04,44.562
2017/07/05,87.502
2017/07/06,16.041
2017/07/07,28.046
2017/07/08,51.541
2017/07/09,4.027
2017/07/10,39.571
2017/07/11,5.111
2017/07/12,-20.208
2017/07/13,32.038
2017/07/14,27.947
2017/07/15,18.776
2017/07/16,25.705
2017/07/17,39.146
2017/07/18,97.427
2017/07/19,32.694
2017/07/20,-59.473
2017/07/21,-66.233
2017/07/22,-63.409
2017/07/23,-34.147
2017/07/24,-41.743
2017/07/25,-7.533
2017/07/26,-39.341
2017/07/27,-13.166
2017/07/28,-45.954
2017/07/29,-50.996
2017/07/30,-34.944
2017/07/31,-18.47
2017/08/01,3.754
2017/08/02,-27.449
2017/08/03,-16.961
2017/08/04,-31.053
2017/08/05,-0.401
2017/08/06,-10.245
2017/08/07,12.936
2017/08/08,64.581
2017/08/09,14.919
2017/08/10,22.622
2017/08/11,17.109
2017/08/12,13.898
2017/08/13,19.638
2017/08/14,32.026
2017/08/15,50.345
2017/08/16,174.896
2017/08/17,40.12
2017/08/18,132.876
2017/08/19,98.085
2017/08/20,18.57
2017/08/21,55.908
2017/08/22,20.859
2017/08/23,9.487
2017/08/24,-0.696
2017/08/25,36.63
2017/08/26,43.874
2017/08/27,28.885
2017/08/28,107.303
2017/08/29,209.736
2017/08/30,132.619
2017/08/31,169.976
2017/09/01,129.989
2017/09/02,71.259
2017/09/03,53.746
2017/09/04,125.491
2017/09/05,162.58
2017/09/06,161.299
2017/09/07,135.387
2017/09/08,205.965
2017/09/09,57.248
2017/09/10,30.641
2017/09/11,30.421
2017/09/12,82.588
2017/09/13,51.617
2017/09/14,21.298
2017/09/15,-2.658
2017/09/16,34.637
2017/09/17,-38.373
2017/09/18,0.454
2017/09/19,46.622
2017/09/20,96.813
2017/09/21,17.188
2017/09/22,36.326
2017/09/23,39.351
2017/09/24,65.548
2017/09/25,56.538
2017/09/26,69.487
2017/09/27,35.737
2017/09/28,-9.625
2017/09/29,-1.865
2017/09/30,-27.406
2017/10/01,-16.063
2017/10/02,14.51
2017/10/03,55.953
2017/10/04,-3.074
2017/10/05,-18.703
2017/10/06,-28.284
2017/10/07,-43.409
2017/10/08,-38.665
2017/10/09,7.758
2017/10/10,21.767
2017/10/11,36.718
2017/10/12,5.215
2017/10/13,22.12
2017/10/14,20.484
2017/10/15,-22.473
2017/10/16,-37.772
2017/10/17,-17.247
2017/10/18,-32.06
2017/10/19,-31.021
2017/10/20,-33.053
2017/10/21,-31.949
2017/10/22,-49.525
2017/10/23,-36.917
