Date,size14sma
2017/04/14,2549
2017/04/15,2545
2017/04/16,2513
2017/04/17,2479
2017/04/18,2485
2017/04/19,2493
2017/04/20,2477
2017/04/21,2471
2017/04/22,2484
2017/04/23,2487
2017/04/24,2493
2017/04/25,2524
2017/04/26,2526
2017/04/27,2562
2017/04/28,2614
2017/04/29,2645
2017/04/30,2706
2017/05/01,2794
2017/05/02,2855
2017/05/03,2881
2017/05/04,2936
2017/05/05,2970
2017/05/06,3006
2017/05/07,3073
2017/05/08,3134
2017/05/09,3175
2017/05/10,3211
2017/05/11,3229
2017/05/12,3227
2017/05/13,3247
2017/05/14,3252
2017/05/15,3273
2017/05/16,3286
2017/05/17,3377
2017/05/18,3441
2017/05/19,3558
2017/05/20,3646
2017/05/21,3737
2017/05/22,3874
2017/05/23,4106
2017/05/24,4352
2017/05/25,4537
2017/05/26,4709
2017/05/27,4856
2017/05/28,5016
2017/05/29,5094
2017/05/30,5339
2017/05/31,5520
2017/06/01,5684
2017/06/02,5880
2017/06/03,6055
2017/06/04,6189
2017/06/05,6269
2017/06/06,6322
2017/06/07,6373
2017/06/08,6443
2017/06/09,6581
2017/06/10,6685
2017/06/11,6920
2017/06/12,7243
2017/06/13,7367
2017/06/14,7446
2017/06/15,7564
2017/06/16,7599
2017/06/17,7693
2017/06/18,7799
2017/06/19,7978
2017/06/20,8113
2017/06/21,8028
2017/06/22,8153
2017/06/23,8271
2017/06/24,8438
2017/06/25,8461
2017/06/26,8468
2017/06/27,8404
2017/06/28,8551
2017/06/29,8642
2017/06/30,8696
2017/07/01,8707
2017/07/02,8748
2017/07/03,8832
2017/07/04,8895
2017/07/05,9173
2017/07/06,9183
2017/07/07,9225
2017/07/08,9221
2017/07/09,9079
2017/07/10,9153
2017/07/11,9337
2017/07/12,9389
2017/07/13,9476
2017/07/14,9564
2017/07/15,9610
2017/07/16,9662
2017/07/17,9638
2017/07/18,9721
2017/07/19,9734
2017/07/20,9773
2017/07/21,9698
2017/07/22,9634
2017/07/23,9799
2017/07/24,9797
2017/07/25,9745
2017/07/26,9579
2017/07/27,9412
2017/07/28,9357
2017/07/29,9264
2017/07/30,9150
2017/07/31,9112
2017/08/01,8985
2017/08/02,8924
2017/08/03,8940
2017/08/04,9072
2017/08/05,9246
2017/08/06,9330
2017/08/07,9423
2017/08/08,9674
2017/08/09,9886
2017/08/10,10260
2017/08/11,10630
2017/08/12,11072
2017/08/13,11456
2017/08/14,11910
2017/08/15,12403
2017/08/16,12970
2017/08/17,13522
2017/08/18,14010
2017/08/19,14433
2017/08/20,14602
2017/08/21,14838
2017/08/22,14908
2017/08/23,15121
2017/08/24,15136
2017/08/25,15232
2017/08/26,15303
2017/08/27,15442
2017/08/28,15592
2017/08/29,15738
2017/08/30,15843
2017/08/31,15851
2017/09/01,15929
2017/09/02,15857
2017/09/03,15932
2017/09/04,16259
2017/09/05,16648
2017/09/06,17237
2017/09/07,17761
2017/09/08,18133
2017/09/09,18313
2017/09/10,18294
2017/09/11,18223
2017/09/12,18194
2017/09/13,18058
2017/09/14,18048
2017/09/15,18110
2017/09/16,18208
2017/09/17,18242
2017/09/18,18083
2017/09/19,17861
2017/09/20,17391
2017/09/21,17032
2017/09/22,16746
2017/09/23,16661
2017/09/24,16896
2017/09/25,17097
2017/09/26,17132
2017/09/27,17272
2017/09/28,17506
2017/09/29,17665
2017/09/30,18043
2017/10/01,18574
2017/10/02,18832
2017/10/03,19141
2017/10/04,19452
2017/10/05,19753
2017/10/06,20088
2017/10/07,20352
2017/10/08,20436
2017/10/09,20442
2017/10/10,20650
2017/10/11,20733
2017/10/12,20774
2017/10/13,20796
2017/10/14,20650
2017/10/15,20452
2017/10/16,20106
2017/10/17,19641
2017/10/18,19117
2017/10/19,18593
2017/10/20,18136
2017/10/21,17588
2017/10/22,17002
2017/10/23,16513
2017/10/24,15978
2017/10/25,15571
2017/10/26,15091
2017/10/27,13531
2017/10/28,12106
2017/10/29,10748
2017/10/30,9584
2017/10/31,8554
2017/11/01,8740
2017/11/02,8937
2017/11/03,8980
2017/11/04,8992
2017/11/05,9042
2017/11/06,9111
2017/11/07,9134
2017/11/08,9125
2017/11/09,9090
2017/11/10,10048
2017/11/11,10952
2017/11/12,11898
2017/11/13,12929
2017/11/14,14089
2017/11/15,14145
2017/11/16,14113
2017/11/17,14073
2017/11/18,14250
2017/11/19,14458
2017/11/20,14662
2017/11/21,14799
2017/11/22,14924
2017/11/23,15074
2017/11/24,15195
2017/11/25,15447
2017/11/26,15652
2017/11/27,16205
2017/11/28,16401
2017/11/29,16550
2017/11/30,16749
2017/12/01,16955
2017/12/02,17192
2017/12/03,17533
2017/12/04,17754
2017/12/05,18012
2017/12/06,18383
2017/12/07,18517
2017/12/08,18954
2017/12/09,19218
2017/12/10,19558
2017/12/11,19656
2017/12/12,20129
2017/12/13,20678
2017/12/14,21248
2017/12/15,21820
2017/12/16,22422
2017/12/17,22896
2017/12/18,23481
2017/12/19,24315
2017/12/20,24764
2017/12/21,25644
2017/12/22,26214
2017/12/23,26664
2017/12/24,26640
2017/12/25,26509
2017/12/26,26282
2017/12/27,26176
2017/12/28,26170
2017/12/29,26411
2017/12/30,26622
2017/12/31,26556
2018/01/01,26277
2018/01/02,26183
2018/01/03,26541
2018/01/04,26788
2018/01/05,27089
2018/01/06,27551
2018/01/07,28318
2018/01/08,29088
2018/01/09,29846
2018/01/10,30268
2018/01/11,30649
2018/01/12,30729
2018/01/13,30865
2018/01/14,31171
2018/01/15,31730
2018/01/16,31916
2018/01/17,31913
2018/01/18,31772
2018/01/19,31446
2018/01/20,31071
2018/01/21,30752
2018/01/22,30278
2018/01/23,29709
2018/01/24,29275
2018/01/25,28730
2018/01/26,28402
2018/01/27,27773
2018/01/28,27406
2018/01/29,26935
2018/01/30,26396
2018/01/31,25859
2018/02/01,25475
2018/02/02,25285
2018/02/03,24940
2018/02/04,24651
2018/02/05,24530
2018/02/06,24520
2018/02/07,24406
2018/02/08,24150
2018/02/09,23867
2018/02/10,23844
2018/02/11,23614
2018/02/12,23395
2018/02/13,23053
2018/02/14,22834
2018/02/15,22511
2018/02/16,22120
2018/02/17,22070
2018/02/18,21927
2018/02/19,21758
2018/02/20,21721
2018/02/21,21745
2018/02/22,21863
2018/02/23,21770
2018/02/24,21709
2018/02/25,21679
2018/02/26,21641
2018/02/27,21679
2018/02/28,21661
2018/03/01,21579
2018/03/02,21711
2018/03/03,21659
2018/03/04,21664
2018/03/05,21718
2018/03/06,21518
2018/03/07,21484
2018/03/08,21465
2018/03/09,21435
2018/03/10,21263
2018/03/11,21123
2018/03/12,21125
2018/03/13,21123
2018/03/14,21017
2018/03/15,20974
2018/03/16,20756
2018/03/17,20485
2018/03/18,20442
2018/03/19,20305
2018/03/20,20194
2018/03/21,20037
2018/03/22,19780
2018/03/23,19671
2018/03/24,19509
2018/03/25,19250
2018/03/26,18977
2018/03/27,18711
2018/03/28,18510
2018/03/29,18328
2018/03/30,18253
2018/03/31,18228
2018/04/01,17921
2018/04/02,17651
2018/04/03,17580
2018/04/04,17441
2018/04/05,17556
2018/04/06,17479
2018/04/07,17424
2018/04/08,17585
2018/04/09,17641
2018/04/10,17666
2018/04/11,17753
2018/04/12,18020
2018/04/13,18211
2018/04/14,18292
2018/04/15,18490
2018/04/16,18768
2018/04/17,18999
2018/04/18,19270
2018/04/19,19678
2018/04/20,20293
2018/04/21,20711
2018/04/22,21128
2018/04/23,21529
2018/04/24,22101
2018/04/25,22576
2018/04/26,22824
2018/04/27,23037
2018/04/28,23494
2018/04/29,23922
2018/04/30,24288
2018/05/01,24453
2018/05/02,24678
2018/05/03,24759
2018/05/04,24858
2018/05/05,25031
2018/05/06,24982
2018/05/07,24900
2018/05/08,24776
2018/05/09,24730
2018/05/10,24876
2018/05/11,24947
2018/05/12,24890
2018/05/13,24809
2018/05/14,24812
2018/05/15,24824
2018/05/16,24761
2018/05/17,24638
2018/05/18,24415
2018/05/19,24440
2018/05/20,24538
2018/05/21,24716
2018/05/22,24821
2018/05/23,24925
