Date,difficulty30trx
2017/04/13,1.244
2017/04/14,1.241
2017/04/15,1.239
2017/04/16,1.236
2017/04/17,1.232
2017/04/18,1.229
2017/04/19,1.227
2017/04/20,1.224
2017/04/21,1.221
2017/04/22,1.218
2017/04/23,1.215
2017/04/24,1.212
2017/04/25,1.208
2017/04/26,1.204
2017/04/27,1.201
2017/04/28,1.2
2017/04/29,1.202
2017/04/30,1.205
2017/05/01,1.208
2017/05/02,1.21
2017/05/03,1.211
2017/05/04,1.212
2017/05/05,1.213
2017/05/06,1.213
2017/05/07,1.213
2017/05/08,1.212
2017/05/09,1.211
2017/05/10,1.21
2017/05/11,1.209
2017/05/12,1.208
2017/05/13,1.207
2017/05/14,1.208
2017/05/15,1.211
2017/05/16,1.216
2017/05/17,1.221
2017/05/18,1.225
2017/05/19,1.231
2017/05/20,1.237
2017/05/21,1.245
2017/05/22,1.254
2017/05/23,1.262
2017/05/24,1.27
2017/05/25,1.277
2017/05/26,1.282
2017/05/27,1.286
2017/05/28,1.289
2017/05/29,1.293
2017/05/30,1.298
2017/05/31,1.304
2017/06/01,1.314
2017/06/02,1.328
2017/06/03,1.344
2017/06/04,1.362
2017/06/05,1.382
2017/06/06,1.403
2017/06/07,1.425
2017/06/08,1.447
2017/06/09,1.469
2017/06/10,1.491
2017/06/11,1.513
2017/06/12,1.534
2017/06/13,1.555
2017/06/14,1.574
2017/06/15,1.594
2017/06/16,1.612
2017/06/17,1.631
2017/06/18,1.648
2017/06/19,1.664
2017/06/20,1.683
2017/06/21,1.705
2017/06/22,1.727
2017/06/23,1.749
2017/06/24,1.769
2017/06/25,1.788
2017/06/26,1.806
2017/06/27,1.821
2017/06/28,1.836
2017/06/29,1.848
2017/06/30,1.858
2017/07/01,1.867
2017/07/02,1.874
2017/07/03,1.878
2017/07/04,1.881
2017/07/05,1.881
2017/07/06,1.878
2017/07/07,1.873
2017/07/08,1.865
2017/07/09,1.856
2017/07/10,1.851
2017/07/11,1.848
2017/07/12,1.846
2017/07/13,1.843
2017/07/14,1.839
2017/07/15,1.833
2017/07/16,1.827
2017/07/17,1.818
2017/07/18,1.806
2017/07/19,1.793
2017/07/20,1.779
2017/07/21,1.766
2017/07/22,1.751
2017/07/23,1.735
2017/07/24,1.719
2017/07/25,1.701
2017/07/26,1.683
2017/07/27,1.664
2017/07/28,1.643
2017/07/29,1.621
2017/07/30,1.599
2017/07/31,1.578
2017/08/01,1.564
2017/08/02,1.554
2017/08/03,1.546
2017/08/04,1.54
2017/08/05,1.533
2017/08/06,1.528
2017/08/07,1.522
2017/08/08,1.516
2017/08/09,1.51
2017/08/10,1.503
2017/08/11,1.495
2017/08/12,1.486
2017/08/13,1.477
2017/08/14,1.467
2017/08/15,1.457
2017/08/16,1.446
2017/08/17,1.434
2017/08/18,1.421
2017/08/19,1.407
2017/08/20,1.394
2017/08/21,1.38
2017/08/22,1.365
2017/08/23,1.35
2017/08/24,1.335
2017/08/25,1.326
2017/08/26,1.323
2017/08/27,1.324
2017/08/28,1.326
2017/08/29,1.329
2017/08/30,1.334
2017/08/31,1.339
2017/09/01,1.344
2017/09/02,1.347
