Date,transactions
2019/04/08,668000
2019/04/09,656875
2019/04/10,674070
2019/04/11,729032
2019/04/12,694771
2019/04/13,614291
2019/04/14,551055
2019/04/15,622058
2019/04/16,656461
2019/04/17,681896
2019/04/18,697650
2019/04/19,693183
2019/04/20,686824
2019/04/21,631190
2019/04/22,719306
2019/04/23,729268
2019/04/24,668917
2019/04/25,680812
2019/04/26,660781
2019/04/27,562687
2019/04/28,593482
2019/04/29,628989
2019/04/30,707771
2019/05/01,703790
2019/05/02,626308
2019/05/03,670882
2019/05/04,623395
2019/05/05,637464
2019/05/06,706135
2019/05/07,658044
2019/05/08,686996
2019/05/09,718440
2019/05/10,736762
2019/05/11,742337
2019/05/12,715827
2019/05/13,758537
2019/05/14,830602
2019/05/15,847606
2019/05/16,908208
2019/05/17,810320
2019/05/18,735420
2019/05/19,752431
2019/05/20,860161
2019/05/21,812799
2019/05/22,873384
2019/05/23,846724
2019/05/24,904057
2019/05/25,839949
2019/05/26,763094
2019/05/27,941733
2019/05/28,910535
2019/05/29,947509
2019/05/30,891907
2019/05/31,870676
2019/06/01,956751
2019/06/02,890894
2019/06/03,889067
2019/06/04,891955
2019/06/05,799392
2019/06/06,824817
2019/06/07,758454
2019/06/08,992653
2019/06/09,715741
2019/06/10,963694
2019/06/11,930001
2019/06/12,860682
2019/06/13,749758
2019/06/14,825364
2019/06/15,938952
2019/06/16,888979
2019/06/17,944094
2019/06/18,849989
2019/06/19,886036
2019/06/20,985024
2019/06/21,777627
2019/06/22,758133
2019/06/23,773499
2019/06/24,809637
2019/06/25,932194
2019/06/26,848601
2019/06/27,814118
2019/06/28,1004170
2019/06/29,733337
2019/06/30,685958
2019/07/01,951985
2019/07/02,895054
2019/07/03,753227
2019/07/04,747514
2019/07/05,849080
2019/07/06,754040
2019/07/07,582067
2019/07/08,809796
2019/07/09,771955
2019/07/10,736096
2019/07/11,975288
2019/07/12,726392
2019/07/13,587283
2019/07/14,613490
2019/07/15,743294
2019/07/16,1003278
2019/07/17,830029
2019/07/18,667874
2019/07/19,815548
2019/07/20,584085
2019/07/21,522396
2019/07/22,640666
2019/07/23,606795
2019/07/24,907213
2019/07/25,949854
2019/07/26,640260
2019/07/27,577697
2019/07/28,572697
2019/07/29,676990
2019/07/30,715782
2019/07/31,684284
2019/08/01,877643
2019/08/02,768312
2019/08/03,783492
2019/08/04,569134
2019/08/05,718438
2019/08/06,732052
2019/08/07,742477
2019/08/08,692736
2019/08/09,721762
2019/08/10,630929
2019/08/11,582507
2019/08/12,712949
2019/08/13,698671
2019/08/14,736647
2019/08/15,689076
2019/08/16,718875
2019/08/17,641106
2019/08/18,627260
2019/08/19,724461
2019/08/20,733503
2019/08/21,731500
2019/08/22,737144
2019/08/23,733282
2019/08/24,684235
2019/08/25,677260
2019/08/26,750845
2019/08/27,748158
2019/08/28,722262
2019/08/29,724189
2019/08/30,713194
2019/08/31,679773
2019/09/01,690235
2019/09/02,757508
2019/09/03,751224
2019/09/04,714432
2019/09/05,769872
2019/09/06,768500
2019/09/07,677445
2019/09/08,675068
2019/09/09,756508
2019/09/10,691617
2019/09/11,705292
2019/09/12,723726
2019/09/13,623470
2019/09/14,628467
2019/09/15,633961
2019/09/16,733010
2019/09/17,681814
2019/09/18,708743
2019/09/19,692484
2019/09/20,717128
2019/09/21,596973
2019/09/22,576416
2019/09/23,639394
2019/09/24,709522
2019/09/25,677675
2019/09/26,657676
2019/09/27,623632
2019/09/28,607857
2019/09/29,591986
2019/09/30,683924
2019/10/01,644955
2019/10/02,627031
2019/10/03,615189
2019/10/04,590197
2019/10/05,595118
2019/10/06,571769
2019/10/07,629382
2019/10/08,710373
2019/10/09,751354
2019/10/10,706127
2019/10/11,702492
2019/10/12,634435
2019/10/13,566845
2019/10/14,650601
2019/10/15,690667
2019/10/16,694589
2019/10/17,703704
2019/10/18,733646
2019/10/19,665170
2019/10/20,612341
2019/10/21,678528
2019/10/22,726230
2019/10/23,736388
2019/10/24,724917
2019/10/25,741655
2019/10/26,716822
