Date,mediantransactionvalue30wmaUSD
2016/10/04,9.928
2016/10/05,10.001
2016/10/06,9.851
2016/10/07,10.094
2016/10/08,10.287
2016/10/09,10.462
2016/10/10,10.586
2016/10/11,10.708
2016/10/12,10.689
2016/10/13,10.111
2016/10/14,10.25
2016/10/15,10.391
2016/10/16,10.5
2016/10/17,10.58
2016/10/18,10.357
2016/10/19,10.442
2016/10/20,10.528
2016/10/21,10.047
2016/10/22,10.158
2016/10/23,10.243
2016/10/24,9.824
2016/10/25,9.679
2016/10/26,9.764
2016/10/27,9.846
2016/10/28,9.922
2016/10/29,9.964
2016/10/30,10.01
2016/10/31,10.095
2016/11/01,9.814
2016/11/02,9.632
2016/11/03,9.718
2016/11/04,9.788
2016/11/05,9.857
2016/11/06,9.914
2016/11/07,9.967
2016/11/08,10.02
2016/11/09,10.063
2016/11/10,10.104
2016/11/11,10.136
2016/11/12,10.15
2016/11/13,10.141
2016/11/14,10.133
2016/11/15,10.129
2016/11/16,10.139
2016/11/17,10.141
2016/11/18,10.119
2016/11/19,10.098
2016/11/20,10.079
2016/11/21,10.047
2016/11/22,9.533
2016/11/23,8.948
2016/11/24,8.945
2016/11/25,8.329
2016/11/26,8.214
2016/11/27,7.838
2016/11/28,7.505
2016/11/29,7.215
2016/11/30,7.023
2016/12/01,7.042
2016/12/02,7.024
2016/12/03,6.998
2016/12/04,6.897
2016/12/05,6.845
2016/12/06,6.775
2016/12/07,6.774
2016/12/08,6.827
2016/12/09,6.878
2016/12/10,6.928
2016/12/11,6.976
2016/12/12,7.04
2016/12/13,6.857
2016/12/14,6.615
2016/12/15,6.454
2016/12/16,6.315
2016/12/17,6.387
2016/12/18,6.477
2016/12/19,6.32
2016/12/20,6.258
2016/12/21,6.091
2016/12/22,5.821
2016/12/23,5.907
2016/12/24,5.985
2016/12/25,6.064
2016/12/26,6.13
2016/12/27,6.049
2016/12/28,5.953
2016/12/29,6.069
2016/12/30,5.945
2016/12/31,6.048
2017/01/01,6.168
2017/01/02,6.284
2017/01/03,6.244
2017/01/04,6.507
2017/01/05,6.765
2017/01/06,6.986
2017/01/07,7.186
2017/01/08,7.397
2017/01/09,7.633
2017/01/10,7.594
2017/01/11,7.804
2017/01/12,7.669
2017/01/13,7.433
2017/01/14,7.576
2017/01/15,7.436
2017/01/16,7.604
2017/01/17,7.555
2017/01/18,7.758
2017/01/19,7.952
2017/01/20,8.151
2017/01/21,8.35
2017/01/22,8.178
2017/01/23,8.128
2017/01/24,7.85
2017/01/25,7.685
2017/01/26,7.528
2017/01/27,7.396
2017/01/28,7.233
2017/01/29,7.331
2017/01/30,7.187
2017/01/31,7.372
2017/02/01,7.277
2017/02/02,7.464
2017/02/03,7.648
2017/02/04,7.863
2017/02/05,7.958
2017/02/06,8.08
2017/02/07,7.884
2017/02/08,7.726
2017/02/09,7.797
2017/02/10,7.743
2017/02/11,7.7
2017/02/12,7.895
2017/02/13,7.753
2017/02/14,7.736
2017/02/15,7.906
2017/02/16,8.221
2017/02/17,8.425
2017/02/18,8.724
2017/02/19,8.937
2017/02/20,8.973
2017/02/21,8.707
2017/02/22,8.611
2017/02/23,8.913
2017/02/24,9.114
2017/02/25,9.054
2017/02/26,9.372
2017/02/27,9.742
2017/02/28,10.157
2017/03/01,10.572
2017/03/02,11.105
2017/03/03,11.731
2017/03/04,12.305
2017/03/05,12.822
2017/03/06,13.366
2017/03/07,13.252
2017/03/08,13.676
2017/03/09,13.522
2017/03/10,13.935
2017/03/11,14.423
2017/03/12,15.05
2017/03/13,15.962
2017/03/14,16.905
2017/03/15,17.928
2017/03/16,19.556
2017/03/17,21.492
2017/03/18,22.891
2017/03/19,24.25
2017/03/20,25.808
2017/03/21,27.083
2017/03/22,28.372
2017/03/23,28.569
2017/03/24,30.065
2017/03/25,31.754
2017/03/26,31.988
2017/03/27,31.198
2017/03/28,31.211
2017/03/29,30.933
2017/03/30,31.283
2017/03/31,31.979
2017/04/01,31.767
2017/04/02,33.128
2017/04/03,34.156
2017/04/04,34.962
2017/04/05,35.681
2017/04/06,36.458
2017/04/07,34.97
2017/04/08,34.341
2017/04/09,33.237
2017/04/10,32.824
2017/04/11,32.032
2017/04/12,31.271
2017/04/13,30.698
2017/04/14,29.89
2017/04/15,28.998
2017/04/16,27.849
2017/04/17,27.404
2017/04/18,27.012
2017/04/19,26.68
2017/04/20,25.818
2017/04/21,24.918
2017/04/22,24.66
2017/04/23,24.209
2017/04/24,24.721
2017/04/25,23.794
2017/04/26,23.476
2017/04/27,22.917
2017/04/28,23.076
2017/04/29,23.643
2017/04/30,24.486
2017/05/01,25.34
2017/05/02,26.101
2017/05/03,26.892
2017/05/04,28.298
2017/05/05,32.545
2017/05/06,34.895
2017/05/07,37.994
2017/05/08,41.705
2017/05/09,44.963
2017/05/10,46.271
2017/05/11,46.142
2017/05/12,46.817
2017/05/13,46.483
2017/05/14,46.546
2017/05/15,45.625
2017/05/16,46.5
2017/05/17,49.434
2017/05/18,48.807
2017/05/19,50.996
2017/05/20,50.256
2017/05/21,49.887
2017/05/22,52.651
2017/05/23,53.687
2017/05/24,56.552
2017/05/25,59.557
2017/05/26,61.606
2017/05/27,62.855
2017/05/28,61.411
2017/05/29,61.401
2017/05/30,63.505
2017/05/31,74.209
2017/06/01,76.32
2017/06/02,74.917
2017/06/03,75.55
2017/06/04,74.955
2017/06/05,76.923
2017/06/06,78.296
2017/06/07,77.311
2017/06/08,76.552
2017/06/09,75.922
2017/06/10,78.79
2017/06/11,82.215
2017/06/12,92.16
2017/06/13,95.623
2017/06/14,97.777
2017/06/15,101.049
2017/06/16,100.56
2017/06/17,100.12
2017/06/18,99.017
2017/06/19,98.024
2017/06/20,115.354
2017/06/21,130.331
2017/06/22,130.922
2017/06/23,129.966
2017/06/24,129.079
2017/06/25,125.747
2017/06/26,127.068
2017/06/27,123.234
2017/06/28,118.868
2017/06/29,115.014
2017/06/30,111.477
2017/07/01,107.976
2017/07/02,103.315
