Date,mediantransactionvalueUSD
2017/06/26,132.76
2017/06/27,54.773
2017/06/28,47.199
2017/06/29,54.791
2017/06/30,58.487
2017/07/01,53.469
2017/07/02,33.962
2017/07/03,32.218
2017/07/04,34.567
2017/07/05,31.582
2017/07/06,34.58
2017/07/07,0
2017/07/08,28.221
2017/07/09,25.904
2017/07/10,24.768
2017/07/11,39.315
2017/07/12,26.449
2017/07/13,21.134
2017/07/14,25.096
2017/07/15,36.692
2017/07/16,25.648
2017/07/17,28.345
2017/07/18,31.678
2017/07/19,28.654
2017/07/20,27.094
2017/07/21,26.029
2017/07/22,24.419
2017/07/23,23.461
2017/07/24,23.707
2017/07/25,33.004
2017/07/26,28.082
2017/07/27,32.147
2017/07/28,24.377
2017/07/29,34.154
2017/07/30,22.467
2017/07/31,29.394
2017/08/01,43.56
2017/08/02,43.2
2017/08/03,29.962
2017/08/04,24.376
2017/08/05,31.462
2017/08/06,26.992
2017/08/07,36.197
2017/08/08,31.621
2017/08/09,55.715
2017/08/10,32.942
2017/08/11,30.458
2017/08/12,30.592
2017/08/13,31.208
2017/08/14,19.064
2017/08/15,46.422
2017/08/16,43.162
2017/08/17,35.572
2017/08/18,59.705
2017/08/19,17.534
2017/08/20,29.628
2017/08/21,37.656
2017/08/22,29.67
2017/08/23,34.813
2017/08/24,33.599
2017/08/25,34.886
2017/08/26,19.811
2017/08/27,16.703
2017/08/28,34.201
2017/08/29,36.705
2017/08/30,37.711
2017/08/31,66.981
2017/09/01,39.289
2017/09/02,36.224
2017/09/03,33.847
2017/09/04,33.045
2017/09/05,30.424
2017/09/06,16.722
2017/09/07,15.37
2017/09/08,10.368
2017/09/09,5.963
2017/09/10,15.066
2017/09/11,29.643
2017/09/12,30.418
2017/09/13,25.321
2017/09/14,25.541
2017/09/15,36.718
2017/09/16,25.604
2017/09/17,12.786
2017/09/18,16.008
2017/09/19,28.802
2017/09/20,29.009
2017/09/21,16.373
2017/09/22,18.414
2017/09/23,18.963
2017/09/24,14.008
2017/09/25,15.504
2017/09/26,14.138
2017/09/27,15.052
2017/09/28,15.099
2017/09/29,10.243
2017/09/30,9.969
2017/10/01,15.02
2017/10/02,18.146
