Date,mediantransactionvalue7smaUSD
2017/07/04,44.956
2017/07/05,42.725
2017/07/06,39.838
2017/07/07,31.483
2017/07/08,27.876
2017/07/09,26.725
2017/07/10,25.66
2017/07/11,26.339
2017/07/12,25.605
2017/07/13,23.685
2017/07/14,27.27
2017/07/15,28.48
2017/07/16,28.443
2017/07/17,28.954
2017/07/18,27.863
2017/07/19,28.178
2017/07/20,29.029
2017/07/21,29.163
2017/07/22,27.409
2017/07/23,27.097
2017/07/24,26.435
2017/07/25,26.624
2017/07/26,26.542
2017/07/27,27.264
2017/07/28,27.028
2017/07/29,28.419
2017/07/30,28.277
2017/07/31,29.089
2017/08/01,30.597
2017/08/02,32.757
2017/08/03,32.445
2017/08/04,32.445
2017/08/05,32.06
2017/08/06,32.707
2017/08/07,33.679
2017/08/08,31.973
2017/08/09,33.761
2017/08/10,34.186
2017/08/11,35.055
2017/08/12,34.931
2017/08/13,35.533
2017/08/14,33.086
2017/08/15,35.2
2017/08/16,33.407
2017/08/17,33.783
2017/08/18,37.961
2017/08/19,36.095
2017/08/20,35.87
2017/08/21,38.526
2017/08/22,36.133
2017/08/23,34.94
2017/08/24,34.658
2017/08/25,31.112
2017/08/26,31.438
2017/08/27,29.591
2017/08/28,29.098
2017/08/29,30.103
2017/08/30,30.517
2017/08/31,35.285
2017/09/01,35.914
2017/09/02,38.259
2017/09/03,40.708
2017/09/04,40.543
2017/09/05,39.646
2017/09/06,36.647
2017/09/07,29.274
2017/09/08,25.143
2017/09/09,20.82
2017/09/10,18.137
2017/09/11,17.651
2017/09/12,17.65
2017/09/13,18.878
2017/09/14,20.331
2017/09/15,24.096
2017/09/16,26.901
2017/09/17,26.576
2017/09/18,24.628
2017/09/19,24.397
2017/09/20,24.924
2017/09/21,23.614
2017/09/22,20.999
2017/09/23,20.051
2017/09/24,20.225
2017/09/25,20.153
2017/09/26,18.059
2017/09/27,16.065
2017/09/28,15.883
2017/09/29,14.715
2017/09/30,13.431
2017/10/01,13.575
2017/10/02,13.952
2017/10/03,14.237
2017/10/04,14.461
2017/10/05,14.399
2017/10/06,15.04
2017/10/07,15.87
2017/10/08,15.981
2017/10/09,14.251
2017/10/10,14.115
2017/10/11,13.169
2017/10/12,12.138
2017/10/13,14.612
2017/10/14,15.059
2017/10/15,15.13
2017/10/16,14.267
2017/10/17,12.108
2017/10/18,10.684
2017/10/19,9.62
2017/10/20,5.042
2017/10/21,2.34
2017/10/22,0.041
2017/10/23,0.08
2017/10/24,0.076
2017/10/25,0.071
2017/10/26,0.071
2017/10/27,0.071
2017/10/28,0.071
2017/10/29,0.043
2017/10/30,0.004
2017/10/31,0
2017/11/01,0
2017/11/02,0.198
2017/11/03,0.198
2017/11/04,0.198
2017/11/05,0.198
2017/11/06,0.198
2017/11/07,0.198
2017/11/08,0.356
2017/11/09,0.499
2017/11/10,1.387
2017/11/11,1.562
2017/11/12,5.073
2017/11/13,6.292
2017/11/14,7.741
2017/11/15,10.007
2017/11/16,10.114
2017/11/17,11.201
2017/11/18,11.503
2017/11/19,9.032
2017/11/20,7.905
2017/11/21,9.072
2017/11/22,9.272
2017/11/23,11.647
2017/11/24,12.78
2017/11/25,12.704
2017/11/26,12.189
2017/11/27,15.503
2017/11/28,16.299
2017/11/29,18.851
2017/11/30,19.365
2017/12/01,18.322
2017/12/02,19.746
2017/12/03,20.665
2017/12/04,20.736
2017/12/05,21.168
2017/12/06,30.732
2017/12/07,32.474
2017/12/08,33.602
2017/12/09,33.826
2017/12/10,34.074
2017/12/11,32.913
2017/12/12,33.742
2017/12/13,26.786
2017/12/14,33.244
