Date,mining_profitability90trx
2018/07/04,-0.337
2018/07/05,-0.338
2018/07/06,-0.34
2018/07/07,-0.341
2018/07/08,-0.342
2018/07/09,-0.344
2018/07/10,-0.345
2018/07/11,-0.347
2018/07/12,-0.348
2018/07/13,-0.35
2018/07/14,-0.351
2018/07/15,-0.352
2018/07/16,-0.354
2018/07/17,-0.355
2018/07/18,-0.356
2018/07/19,-0.357
2018/07/20,-0.359
2018/07/21,-0.36
2018/07/22,-0.361
2018/07/23,-0.362
2018/07/24,-0.363
2018/07/25,-0.364
2018/07/26,-0.366
2018/07/27,-0.367
2018/07/28,-0.368
2018/07/29,-0.369
2018/07/30,-0.37
2018/07/31,-0.371
2018/08/01,-0.372
2018/08/02,-0.373
2018/08/03,-0.374
2018/08/04,-0.375
2018/08/05,-0.376
2018/08/06,-0.378
2018/08/07,-0.379
2018/08/08,-0.38
2018/08/09,-0.381
2018/08/10,-0.383
2018/08/11,-0.384
2018/08/12,-0.386
2018/08/13,-0.388
2018/08/14,-0.389
2018/08/15,-0.391
2018/08/16,-0.393
2018/08/17,-0.395
2018/08/18,-0.398
2018/08/19,-0.4
2018/08/20,-0.402
2018/08/21,-0.404
2018/08/22,-0.407
2018/08/23,-0.409
2018/08/24,-0.412
2018/08/25,-0.415
2018/08/26,-0.417
2018/08/27,-0.42
2018/08/28,-0.423
2018/08/29,-0.425
2018/08/30,-0.428
2018/08/31,-0.431
2018/09/01,-0.433
2018/09/02,-0.436
2018/09/03,-0.439
2018/09/04,-0.441
2018/09/05,-0.444
2018/09/06,-0.447
2018/09/07,-0.449
2018/09/08,-0.452
2018/09/09,-0.455
2018/09/10,-0.458
2018/09/11,-0.461
2018/09/12,-0.464
2018/09/13,-0.467
2018/09/14,-0.471
2018/09/15,-0.474
2018/09/16,-0.477
2018/09/17,-0.48
2018/09/18,-0.483
2018/09/19,-0.486
2018/09/20,-0.489
2018/09/21,-0.492
2018/09/22,-0.495
2018/09/23,-0.498
2018/09/24,-0.501
2018/09/25,-0.503
2018/09/26,-0.506
2018/09/27,-0.509
2018/09/28,-0.511
2018/09/29,-0.514
2018/09/30,-0.517
2018/10/01,-0.519
2018/10/02,-0.522
2018/10/03,-0.524
2018/10/04,-0.526
2018/10/05,-0.528
2018/10/06,-0.531
2018/10/07,-0.533
2018/10/08,-0.535
2018/10/09,-0.537
2018/10/10,-0.539
2018/10/11,-0.541
2018/10/12,-0.543
2018/10/13,-0.545
2018/10/14,-0.546
2018/10/15,-0.548
2018/10/16,-0.55
2018/10/17,-0.552
2018/10/18,-0.553
2018/10/19,-0.555
2018/10/20,-0.557
2018/10/21,-0.558
2018/10/22,-0.56
2018/10/23,-0.561
2018/10/24,-0.562
2018/10/25,-0.564
2018/10/26,-0.565
2018/10/27,-0.566
2018/10/28,-0.567
2018/10/29,-0.568
2018/10/30,-0.569
2018/10/31,-0.57
2018/11/01,-0.571
2018/11/02,-0.572
2018/11/03,-0.572
2018/11/04,-0.573
2018/11/05,-0.574
2018/11/06,-0.574
2018/11/07,-0.574
2018/11/08,-0.575
2018/11/09,-0.575
2018/11/10,-0.575
2018/11/11,-0.575
2018/11/12,-0.575
2018/11/13,-0.575
2018/11/14,-0.574
2018/11/15,-0.574
2018/11/16,-0.574
2018/11/17,-0.574
2018/11/18,-0.573
2018/11/19,-0.573
2018/11/20,-0.573
2018/11/21,-0.573
2018/11/22,-0.573
2018/11/23,-0.573
2018/11/24,-0.573
2018/11/25,-0.573
2018/11/26,-0.574
2018/11/27,-0.574
2018/11/28,-0.575
2018/11/29,-0.575
2018/11/30,-0.575
2018/12/01,-0.576
2018/12/02,-0.576
2018/12/03,-0.577
2018/12/04,-0.577
2018/12/05,-0.578
2018/12/06,-0.578
2018/12/07,-0.579
2018/12/08,-0.579
2018/12/09,-0.58
2018/12/10,-0.581
2018/12/11,-0.582
2018/12/12,-0.583
2018/12/13,-0.584
2018/12/14,-0.584
2018/12/15,-0.585
2018/12/16,-0.586
2018/12/17,-0.587
2018/12/18,-0.588
2018/12/19,-0.589
2018/12/20,-0.59
2018/12/21,-0.591
2018/12/22,-0.591
2018/12/23,-0.592
2018/12/24,-0.592
2018/12/25,-0.592
2018/12/26,-0.593
2018/12/27,-0.593
2018/12/28,-0.593
2018/12/29,-0.592
2018/12/30,-0.592
2018/12/31,-0.592
2019/01/01,-0.591
2019/01/02,-0.59
2019/01/03,-0.59
2019/01/04,-0.589
2019/01/05,-0.587
2019/01/06,-0.586
2019/01/07,-0.585
2019/01/08,-0.583
2019/01/09,-0.582
2019/01/10,-0.58
2019/01/11,-0.579
2019/01/12,-0.577
2019/01/13,-0.575
2019/01/14,-0.574
2019/01/15,-0.572
2019/01/16,-0.571
2019/01/17,-0.569
2019/01/18,-0.567
2019/01/19,-0.566
2019/01/20,-0.564
2019/01/21,-0.563
2019/01/22,-0.561
2019/01/23,-0.56
2019/01/24,-0.558
2019/01/25,-0.557
2019/01/26,-0.555
2019/01/27,-0.554
2019/01/28,-0.553
2019/01/29,-0.551
2019/01/30,-0.55
2019/01/31,-0.549
2019/02/01,-0.547
2019/02/02,-0.546
2019/02/03,-0.545
2019/02/04,-0.543
2019/02/05,-0.542
2019/02/06,-0.54
2019/02/07,-0.539
2019/02/08,-0.537
2019/02/09,-0.536
2019/02/10,-0.534
2019/02/11,-0.532
2019/02/12,-0.531
2019/02/13,-0.529
2019/02/14,-0.527
2019/02/15,-0.526
2019/02/16,-0.524
2019/02/17,-0.522
2019/02/18,-0.52
2019/02/19,-0.518
2019/02/20,-0.516
2019/02/21,-0.514
2019/02/22,-0.511
2019/02/23,-0.509
2019/02/24,-0.506
2019/02/25,-0.504
2019/02/26,-0.501
2019/02/27,-0.499
2019/02/28,-0.496
2019/03/01,-0.493
2019/03/02,-0.491
2019/03/03,-0.488
2019/03/04,-0.485
2019/03/05,-0.483
2019/03/06,-0.48
2019/03/07,-0.477
2019/03/08,-0.474
2019/03/09,-0.472
2019/03/10,-0.469
2019/03/11,-0.466
2019/03/12,-0.463
2019/03/13,-0.46
2019/03/14,-0.457
2019/03/15,-0.454
2019/03/16,-0.451
2019/03/17,-0.448
2019/03/18,-0.445
2019/03/19,-0.441
2019/03/20,-0.438
2019/03/21,-0.435
2019/03/22,-0.431
2019/03/23,-0.428
2019/03/24,-0.424
2019/03/25,-0.421
2019/03/26,-0.417
2019/03/27,-0.414
2019/03/28,-0.41
2019/03/29,-0.406
2019/03/30,-0.403
2019/03/31,-0.399
2019/04/01,-0.395
2019/04/02,-0.391
2019/04/03,-0.386
2019/04/04,-0.382
2019/04/05,-0.377
2019/04/06,-0.373
2019/04/07,-0.368
2019/04/08,-0.363
2019/04/09,-0.358
2019/04/10,-0.352
2019/04/11,-0.347
2019/04/12,-0.341
2019/04/13,-0.335
2019/04/14,-0.33
2019/04/15,-0.324
2019/04/16,-0.318
2019/04/17,-0.312
2019/04/18,-0.306
2019/04/19,-0.3
2019/04/20,-0.293
2019/04/21,-0.287
2019/04/22,-0.281
2019/04/23,-0.275
2019/04/24,-0.269
2019/04/25,-0.263
2019/04/26,-0.257
2019/04/27,-0.251
2019/04/28,-0.245
2019/04/29,-0.239
