Date,transactionvalue7emaUSD
2017/02/03,298.192
2017/02/04,332.87
2017/02/05,294.397
2017/02/06,302.194
2017/02/07,296.513
2017/02/08,288.521
2017/02/09,293.818
2017/02/10,306.941
2017/02/11,286.762
2017/02/12,290.561
2017/02/13,278.572
2017/02/14,392.384
2017/02/15,536.816
2017/02/16,555.431
2017/02/17,583.006
2017/02/18,590.532
2017/02/19,597.701
2017/02/20,603.649
2017/02/21,656.601
2017/02/22,661.502
2017/02/23,670.188
2017/02/24,810.97
2017/02/25,807.641
2017/02/26,861.053
2017/02/27,1282
2017/02/28,1697
2017/03/01,2057
2017/03/02,2648
2017/03/03,3250
2017/03/04,3319
2017/03/05,3246
2017/03/06,3743
2017/03/07,3599
2017/03/08,3609
2017/03/09,3706
2017/03/10,3721
2017/03/11,4005
2017/03/12,5021
2017/03/13,5331
2017/03/14,4723
2017/03/15,4273
2017/03/16,6101
2017/03/17,6309
2017/03/18,7289
2017/03/19,6075
2017/03/20,5448
2017/03/21,5759
2017/03/22,5816
2017/03/23,5829
2017/03/24,6468
2017/03/25,6665
2017/03/26,6523
2017/03/27,6363
2017/03/28,6399
2017/03/29,6663
2017/03/30,7365
2017/03/31,7311
2017/04/01,6988
2017/04/02,7366
2017/04/03,7461
2017/04/04,6660
2017/04/05,6595
2017/04/06,6956
2017/04/07,5812
2017/04/08,5402
2017/04/09,5048
2017/04/10,5022
2017/04/11,4998
2017/04/12,4842
2017/04/13,4480
2017/04/14,4418
2017/04/15,3884
2017/04/16,3222
2017/04/17,2816
2017/04/18,3378
2017/04/19,3958
2017/04/20,4547
2017/04/21,4587
2017/04/22,4594
2017/04/23,4554
2017/04/24,4749
2017/04/25,4621
2017/04/26,5085
2017/04/27,5918
2017/04/28,6707
2017/04/29,7719
2017/04/30,8851
2017/05/01,10932
2017/05/02,11726
2017/05/03,13279
2017/05/04,14199
2017/05/05,15596
2017/05/06,15400
2017/05/07,15866
2017/05/08,15565
2017/05/09,15286
2017/05/10,15157
2017/05/11,15605
2017/05/12,15421
2017/05/13,14400
2017/05/14,13520
2017/05/15,13237
2017/05/16,14050
2017/05/17,12720
2017/05/18,11126
2017/05/19,10940
2017/05/20,10503
2017/05/21,10736
2017/05/22,14124
2017/05/23,14124
2017/05/24,14486
2017/05/25,14736
2017/05/26,15353
2017/05/27,14517
2017/05/28,13561
2017/05/29,13079
2017/05/30,13018
2017/05/31,15849
2017/06/01,16554
2017/06/02,17071
2017/06/03,17662
2017/06/04,17817
2017/06/05,18882
2017/06/06,20659
2017/06/07,21114
2017/06/08,21123
2017/06/09,20789
2017/06/10,19519
2017/06/11,18933
2017/06/12,22411
2017/06/13,24164
2017/06/14,23083
2017/06/15,23774
2017/06/16,24246
2017/06/17,21979
2017/06/18,19982
2017/06/19,18455
2017/06/20,18079
2017/06/21,15730
2017/06/22,14201
2017/06/23,13667
2017/06/24,13870
2017/06/25,11708
2017/06/26,10959
2017/06/27,11041
2017/06/28,11062
2017/06/29,11535
2017/06/30,11529
2017/07/01,11166
2017/07/02,10274
2017/07/03,13394
2017/07/04,14988
2017/07/05,12948
2017/07/06,11849
2017/07/07,10848
2017/07/08,9956
2017/07/09,8396
2017/07/10,8294
2017/07/11,8379
2017/07/12,8588
2017/07/13,10791
2017/07/14,13035
2017/07/15,14649
2017/07/16,14999
2017/07/17,15204
2017/07/18,16314
2017/07/19,17015
2017/07/20,17226
2017/07/21,17957
2017/07/22,14712
2017/07/23,12549
2017/07/24,13894
2017/07/25,15445
2017/07/26,15842
2017/07/27,16605
2017/07/28,17343
2017/07/29,18238
2017/07/30,17094
2017/07/31,14538
2017/08/01,13272
2017/08/02,12101
2017/08/03,10857
2017/08/04,9835
2017/08/05,9451
2017/08/06,9219
2017/08/07,9229
2017/08/08,9333
2017/08/09,9962
2017/08/10,12634
2017/08/11,19295
2017/08/12,20879
2017/08/13,22407
2017/08/14,21239
2017/08/15,19302
2017/08/16,17214
2017/08/17,15602
2017/08/18,14348
2017/08/19,13035
2017/08/20,12162
2017/08/21,11649
2017/08/22,11167
2017/08/23,11151
2017/08/24,11068
2017/08/25,10733
2017/08/26,9493
2017/08/27,12204
2017/08/28,15793
2017/08/29,16653
2017/08/30,20961
2017/08/31,19871
2017/09/01,18797
2017/09/02,17820
2017/09/03,16430
2017/09/04,15232
2017/09/05,14112
2017/09/06,13298
2017/09/07,12096
2017/09/08,11357
2017/09/09,12410
2017/09/10,13158
2017/09/11,12908
2017/09/12,12512
2017/09/13,11212
2017/09/14,10901
2017/09/15,10556
2017/09/16,9634
2017/09/17,9819
2017/09/18,11021
2017/09/19,11401
2017/09/20,10661
2017/09/21,10012
2017/09/22,9536
2017/09/23,9122
2017/09/24,8502
2017/09/25,8343
2017/09/26,8293
2017/09/27,8388
2017/09/28,8511
2017/09/29,8216
2017/09/30,7788
2017/10/01,7026
2017/10/02,6989
2017/10/03,10272
2017/10/04,11263
2017/10/05,10633
2017/10/06,10179
2017/10/07,9619
2017/10/08,9441
2017/10/09,9449
2017/10/10,9452
2017/10/11,9237
2017/10/12,9213
2017/10/13,9897
2017/10/14,9996
2017/10/15,9820
2017/10/16,8906
2017/10/17,8460
2017/10/18,8706
2017/10/19,8464
2017/10/20,7940
2017/10/21,7633
2017/10/22,7297
2017/10/23,7423
2017/10/24,7501
2017/10/25,7258
2017/10/26,6991
2017/10/27,5243
2017/10/28,3932
2017/10/29,2949
2017/10/30,2212
2017/10/31,1659
2017/11/01,3235
2017/11/02,4522
2017/11/03,5293
2017/11/04,5556
2017/11/05,5584
2017/11/06,5594
2017/11/07,5450
2017/11/08,5861
2017/11/09,7535
2017/11/10,7949
2017/11/11,8401
2017/11/12,9361
2017/11/13,9014
2017/11/14,8640
2017/11/15,9063
2017/11/16,9358
2017/11/17,9539
2017/11/18,9477
2017/11/19,9528
2017/11/20,10005
2017/11/21,10358
2017/11/22,10562
2017/11/23,10916
2017/11/24,11009
2017/11/25,11619
2017/11/26,12020
2017/11/27,12871
2017/11/28,14117
2017/11/29,15488
2017/11/30,15894
2017/12/01,15716
2017/12/02,15928
2017/12/03,15524
2017/12/04,15045
2017/12/05,12924
2017/12/06,11671
2017/12/07,10517
2017/12/08,9217
2017/12/09,8028
2017/12/10,7017
2017/12/11,6186
2017/12/12,6729
2017/12/13,6993
2017/12/14,7533
2017/12/15,7520
2017/12/16,7240
2017/12/17,7080
2017/12/18,6931
2017/12/19,7322
2017/12/20,8126
2017/12/21,8593
2017/12/22,8666
2017/12/23,8388
2017/12/24,7914
2017/12/25,7428
2017/12/26,7600
2017/12/27,7786
2017/12/28,8195
2017/12/29,8634
2017/12/30,9006
2017/12/31,8479
2018/01/01,8064
2018/01/02,8626
2018/01/03,8976
2018/01/04,10298
2018/01/05,11295
2018/01/06,11604
2018/01/07,11587
2018/01/08,12287
2018/01/09,13123
2018/01/10,14719
2018/01/11,15161
2018/01/12,14830
2018/01/13,13873
2018/01/14,18167
2018/01/15,16861
2018/01/16,16038
2018/01/17,15024
2018/01/18,14259
2018/01/19,12994
2018/01/20,11976
2018/01/21,10994
2018/01/22,10609
2018/01/23,10242
2018/01/24,10076
2018/01/25,8951
2018/01/26,9455
2018/01/27,9180
2018/01/28,9332
2018/01/29,9531
2018/01/30,9820
2018/01/31,9942
2018/02/01,9740
2018/02/02,9944
2018/02/03,9290
2018/02/04,8409
2018/02/05,7905
2018/02/06,7633
2018/02/07,7441
2018/02/08,6673
2018/02/09,6363
2018/02/10,6257
2018/02/11,5759
2018/02/12,5524
2018/02/13,5973
2018/02/14,5930
2018/02/15,6098
2018/02/16,6017
2018/02/17,5824
2018/02/18,5668
2018/02/19,5357
2018/02/20,5198
2018/02/21,5011
2018/02/22,5305
2018/02/23,4890
2018/02/24,4505
2018/02/25,3951
2018/02/26,3684
